1,4038.0859,1918.4319
269374589,1.9267,3828.1250,7375.7690
269374629,1.7156,3862.3047,6626.1030
269374668,1.6100,3852.5391,6202.6206
269374708,1.9003,3842.7734,7302.5679
269374747,1.8212,3833.0078,6980.5093
269374787,1.8739,3813.4766,7146.2427
269374827,1.7156,3847.6563,6600.9727
269374866,1.7948,3813.4766,6844.2886
269374906,1.8212,3862.3047,7033.8638
269374945,1.9795,3803.7109,7529.5161
269374985,1.9531,3833.0078,7486.3433
269375024,1.7948,4023.4375,7221.1191
269375064,1.7948,3808.5938,6835.5254
269375104,1.7420,3867.1875,6736.5493
269375142,1.9003,3842.7734,7302.5679
269375182,1.7156,3872.0703,6642.8569
269375221,2.0059,3808.5938,7639.7041
269375261,1.8212,3818.3594,6953.8325
269375301,1.7948,3847.6563,6905.6333
269375340,1.7156,3857.4219,6617.7266
269375380,1.8476,3847.6563,7108.7397
269375419,1.8476,3828.1250,7072.6548
269375459,2.0059,3818.3594,7659.2930
269375499,1.7420,3842.7734,6694.0205
269375538,1.8739,3833.0078,7182.8433
269375578,1.8739,3852.5391,7219.4434
269375617,1.8476,3847.6563,7108.7397
269375656,1.9003,3828.1250,7274.7305
269375696,1.8212,3852.5391,7016.0791
269375735,1.7948,3823.2422,6861.8159
269375775,1.7948,3847.6563,6905.6333
269375814,1.8739,3833.0078,7182.8433
269375854,1.5836,3886.7188,6155.0654
269375894,1.6892,3842.7734,6491.1714
269375933,1.6892,3852.5391,6507.6675
269375973,1.7948,3852.5391,6914.3970
269376012,1.6892,3818.3594,6449.9316
269376052,1.9003,3852.5391,7321.1255
269376092,1.8739,3837.8906,7191.9932
269376131,1.9531,3818.3594,7457.7334
269376171,1.7684,3842.7734,6795.4448
269376209,1.7156,3847.6563,6600.9727
269376249,1.9267,3823.2422,7366.3608
269376288,1.9267,3793.9453,7309.9141
269376328,2.0587,3823.2422,7870.9063
269376368,1.7156,3823.2422,6559.0884
269376407,1.7156,3857.4219,6617.7266
269376447,1.7420,3837.8906,6685.5146
269376486,1.8476,3818.3594,7054.6123
269376526,1.9795,3808.5938,7539.1821
269376566,1.8476,3818.3594,7054.6123
269376605,1.8739,3862.3047,7237.7437
269376645,1.7420,3847.6563,6702.5264
269376684,1.8476,3842.7734,7099.7183
269376723,1.9267,3813.4766,7347.5454
269376763,1.9267,3789.0625,7300.5059
269376802,2.0323,3833.0078,7789.8438
269376842,1.9267,3818.3594,7356.9531
269376881,2.0587,3779.2969,7780.4360
269376921,1.9795,3823.2422,7568.1787
269376961,2.0587,3789.0625,7800.5405
269377000,1.9531,3828.1250,7476.8066
269377040,1.8739,3823.2422,7164.5430
269377079,1.9267,3823.2422,7366.3608
269377119,1.8212,3823.2422,6962.7246
269377159,1.9003,3793.9453,7209.7778
269377198,1.6892,3847.6563,6499.4194
269377238,2.0323,3793.9453,7710.4565
269377276,1.8739,3833.0078,7182.8433
269377316,2.0323,3833.0078,7789.8438
269377356,1.7684,3828.1250,6769.5410
269377395,1.9003,3833.0078,7284.0098
269377435,2.1379,3798.8281,8121.4390
269377474,2.0851,3808.5938,7941.2725
269377514,2.0851,3798.8281,7920.9102
269377553,1.7948,3852.5391,6914.3970
269377593,2.1379,3808.5938,8142.3169
269377633,1.7156,3872.0703,6642.8569
269377672,1.7684,3823.2422,6760.9063
269377712,1.7948,3842.7734,6896.8696
269377751,1.9003,3828.1250,7274.7305
269377790,1.9003,3828.1250,7274.7305
269377830,1.7684,3842.7734,6795.4448
269377869,1.7948,3828.1250,6870.5791
269377909,1.8739,3842.7734,7201.1436
269377948,2.0059,3793.9453,7610.3208
269377988,1.9531,3823.2422,7467.2700
269378028,1.9531,3818.3594,7457.7334
269378067,1.7948,3847.6563,6905.6333
269378107,2.0587,3803.7109,7830.6973
269378146,1.8212,3901.3672,7105.0024
269378186,1.8212,3837.8906,6989.4019
269378226,1.6100,3842.7734,6186.8979
269378265,1.8739,3813.4766,7146.2427
269378305,1.9531,3833.0078,7486.3433
269378343,2.1643,3774.4141,8168.8652
269378383,1.8476,3837.8906,7090.6973
269378423,1.8739,3813.4766,7146.2427
269378462,1.9003,3833.0078,7284.0098
269378502,1.9531,3808.5938,7438.6597
269378541,1.8739,3823.2422,7164.5430
269378581,1.7684,3833.0078,6778.1758
269378621,1.9531,3813.4766,7448.1963
269378660,1.8739,3833.0078,7182.8433
269378700,2.1643,3789.0625,8200.5684
269378739,1.9267,3823.2422,7366.3608
269378779,2.0323,3808.5938,7740.2271
269378818,1.9531,3828.1250,7476.8066
269378857,1.8739,3828.1250,7173.6929
269378897,1.9795,3823.2422,7568.1787
269378936,1.9003,3833.0078,7284.0098
269378976,2.2698,3759.7656,8534.0957
269379015,1.9003,3828.1250,7274.7305
269379055,1.9531,3813.4766,7448.1963
269379095,1.6628,3867.1875,6430.3428
269379134,1.8476,3828.1250,7072.6548
269379174,1.7420,3847.6563,6702.5264
269379213,2.0323,3808.5938,7740.2271
269379253,1.9531,3808.5938,7438.6597
269379293,2.0323,3833.0078,7789.8438
269379332,2.1115,3706.0547,7825.2842
269379372,2.2171,3798.8281,8422.2334
269379410,2.5074,3759.7656,9427.2002
269379450,2.6658,3730.4688,9944.5029
269379490,2.7977,3671.8750,10272.8760
269379530,2.9561,3681.6406,10883.2290
269379571,2.9297,3666.9922,10743.1420
269379611,2.8505,3681.6406,10494.5420
269379652,2.7185,3701.1719,10061.7790
269379693,2.6394,3701.1719,9768.7178
269379732,2.4546,3730.4688,9156.8193
269379772,2.2698,3745.1172,8500.8467
269379811,2.1643,3793.9453,8211.1357
269379851,2.0059,3774.4141,7571.1426
269379891,2.0587,3842.7734,7911.1152
269379930,1.9795,3789.0625,7500.5195
269379970,2.1379,3798.8281,8121.4390
269380008,2.2698,3750.0000,8511.9297
269380048,2.2962,3779.2969,8678.1787
269380088,2.5338,3754.8828,9514.0605
269380127,2.5866,3715.8203,9611.2334
269380167,2.6921,3710.9375,9990.3828
269380206,2.6394,3730.4688,9846.0430
269380246,2.7185,3691.4063,10035.2310
269380287,2.7713,3701.1719,10257.1540
269380327,2.6130,3730.4688,9747.5830
269380367,2.4018,3720.7031,8936.4443
269380406,2.4018,3774.4141,9065.4473
269380446,2.3226,3745.1172,8698.5410
269380486,2.5074,3754.8828,9414.9570
269380525,2.2962,3730.4688,8566.0576
269380564,2.3226,3769.5313,8755.2461
269380603,2.4282,3701.1719,8987.2207
269380643,2.4810,3730.4688,9255.2803
269380682,2.4282,3627.9297,8809.3730
269380722,2.2171,3745.1172,8303.1523
269380762,2.2962,3754.8828,8622.1182
269380801,2.4810,3745.1172,9291.6230
269380841,2.2962,3759.7656,8633.3301
269380880,2.2698,3725.5859,8456.5137
269380920,2.2435,3784.1797,8489.6348
269380960,2.2435,3750.0000,8412.9541
269380999,2.2698,3764.6484,8545.1797
269381039,2.5074,3745.1172,9390.4707
269381078,2.4810,3745.1172,9291.6230
269381117,2.4018,3725.5859,8948.1719
269381157,2.3490,3754.8828,8820.3281
269381196,2.3754,3759.7656,8931.0313
269381236,2.3754,3735.3516,8873.0371
269381275,2.2962,3779.2969,8678.1787
269381315,2.2171,3759.7656,8335.6289
269381355,2.2435,3730.4688,8369.1367
269381394,2.3754,3735.3516,8873.0371
269381434,2.5074,3735.3516,9365.9844
269381473,2.3754,3730.4688,8861.4385
269381513,2.3490,3764.6484,8843.2676
269381553,2.2698,3740.2344,8489.7627
269381592,2.4018,3754.8828,9018.5371
269381632,2.3754,3759.7656,8931.0313
269381670,2.3226,3759.7656,8732.5635
269381710,2.3226,3750.0000,8709.8818
269381750,2.4810,3730.4688,9255.2803
269381789,2.3490,3764.6484,8843.2676
269381829,2.3490,3740.2344,8785.9180
269381868,2.4282,3720.7031,9034.6465
269381908,2.2171,3759.7656,8335.6289
269381947,2.4546,3745.1172,9192.7754
269381987,2.5338,3740.2344,9476.9443
269382027,2.4282,3730.4688,9058.3594
269382066,2.4018,3764.6484,9041.9922
269382106,2.4018,3710.9375,8912.9883
269382145,2.3754,3750.0000,8907.8330
269382184,2.4546,3769.5313,9252.7021
269382224,2.4018,3764.6484,9041.9922
269382263,2.5602,3730.4688,9550.6611
269382303,2.4546,3740.2344,9180.7900
269382342,2.5338,3730.4688,9452.2012
269382382,2.5338,3750.0000,9501.6885
269382422,2.3754,3740.2344,8884.6357
269382461,2.3754,3730.4688,8861.4385
269382501,2.4018,3740.2344,8983.3545
269382540,2.3490,3735.3516,8774.4482
269382580,2.2962,3774.4141,8666.9658
269382620,2.2435,3750.0000,8412.9541
269382659,2.2962,3779.2969,8678.1787
269382699,2.2698,3828.1250,8689.2617
269382737,2.3754,3759.7656,8931.0313
269382777,2.2435,3774.4141,8467.7256
269382817,2.3754,3750.0000,8907.8330
269382856,2.4546,3745.1172,9192.7754
269382896,2.4810,3730.4688,9255.2803
269382935,2.4810,3735.3516,9267.3945
269382975,2.5338,3710.9375,9402.7129
269383015,2.5074,3745.1172,9390.4707
269383054,2.6394,3710.9375,9794.4932
269383094,2.3490,3745.1172,8797.3887
269383133,2.4282,3735.3516,9070.2168
269383173,2.2962,3769.5313,8655.7539
269383213,2.5074,3754.8828,9414.9570
269383251,2.5074,3735.3516,9365.9844
269383291,2.5602,3710.9375,9500.6582
269383330,2.5602,3725.5859,9538.1602
269383370,2.5602,3691.4063,9450.6543
269383409,2.7713,3715.8203,10297.7500
269383450,2.6130,3720.7031,9722.0654
269383490,2.5074,3735.3516,9365.9844
269383529,2.3490,3725.5859,8751.5088
269383569,2.4546,3725.5859,9144.8340
269383608,2.3490,3754.8828,8820.3281
269383648,2.2698,3793.9453,8611.6787
269383688,2.1907,3662.1094,8022.4629
269383727,2.2698,3793.9453,8611.6787
269383767,2.2171,3754.8828,8324.8037
269383805,2.2698,3769.5313,8556.2627
269383845,2.4018,3750.0000,9006.8096
269383885,2.4546,3730.4688,9156.8193
269383924,2.6658,3696.2891,9853.3887
269383964,2.5866,3720.7031,9623.8623
269384003,2.5866,3725.5859,9636.4922
269384043,2.5866,3730.4688,9649.1221
269384083,2.7185,3706.0547,10075.0540
269384123,2.6130,3715.8203,9709.3066
269384163,2.5074,3735.3516,9365.9844
269384202,2.4810,3745.1172,9291.6230
269384242,2.4810,3745.1172,9291.6230
269384282,2.2962,3759.7656,8633.3301
269384321,2.2962,3750.0000,8610.9053
269384360,2.2698,3769.5313,8556.2627
269384399,2.2171,3754.8828,8324.8037
269384439,2.2171,3774.4141,8368.1055
269384479,2.4018,3715.8203,8924.7158
269384518,2.4018,3730.4688,8959.8994
269384558,2.5074,3720.7031,9329.2549
269384597,2.6658,3730.4688,9944.5029
269384637,2.7449,3666.9922,10065.6460
269384678,2.6394,3710.9375,9794.4932
269384717,2.6130,3725.5859,9734.8242
269384757,2.5074,3720.7031,9329.2549
269384796,2.4282,3759.7656,9129.4990
269384836,2.4018,3754.8828,9018.5371
269384875,2.2962,3769.5313,8655.7539
269384914,2.2171,3759.7656,8335.6289
269384954,2.1643,3750.0000,8116.0264
269384993,2.2698,3764.6484,8545.1797
269385033,2.3226,3735.3516,8675.8594
269385072,2.3754,3750.0000,8907.8330
269385112,2.3754,3720.7031,8838.2412
269385152,2.4546,3740.2344,9180.7900
269385191,2.5074,3720.7031,9329.2549
269385231,2.4546,3754.8828,9216.7461
269385270,2.2962,3745.1172,8599.6934
269385310,2.3754,3750.0000,8907.8330
269385350,2.4546,3720.7031,9132.8486
269385389,2.5074,3730.4688,9353.7412
269385428,2.4546,3740.2344,9180.7900
269385467,2.4018,3720.7031,8936.4443
269385507,2.5074,3725.5859,9341.4980
269385547,2.4810,3710.9375,9206.8232
269385586,2.4546,3740.2344,9180.7900
269385626,2.4018,3715.8203,8924.7158
269385665,2.5074,3745.1172,9390.4707
269385705,2.4282,3720.7031,9034.6465
269385745,2.4018,3735.3516,8971.6270
269385784,2.2171,3750.0000,8313.9775
269385824,2.2435,3779.2969,8478.6807
269385863,2.1907,3745.1172,8204.3057
269385903,2.3490,3750.0000,8808.8584
269385943,2.2962,3774.4141,8666.9658
269385981,2.2171,3769.5313,8357.2803
269386021,2.3226,3750.0000,8709.8818
269386060,2.5338,3715.8203,9415.0850
269386100,2.5866,3750.0000,9699.6416
269386139,2.5866,3725.5859,9636.4922
269386179,2.4546,3750.0000,9204.7607
269386219,2.6921,3730.4688,10042.9640
269386259,2.6394,3696.2891,9755.8301
269386299,2.6394,3735.3516,9858.9307
269386338,2.5338,3715.8203,9415.0850
269386378,2.6394,3818.3594,10078.0180
269386419,2.5866,3725.5859,9636.4922
269386458,2.4282,3750.0000,9105.7861
269386498,2.3226,3745.1172,8698.5410
269386536,2.3226,3764.6484,8743.9053
269386576,2.4018,3710.9375,8912.9883
269386616,2.3226,3754.8828,8721.2227
269386655,2.3226,3750.0000,8709.8818
269386695,2.3226,3784.1797,8789.2686
269386734,2.3754,3750.0000,8907.8330
269386774,2.4018,3764.6484,9041.9922
269386814,2.2435,3754.8828,8423.9082
269386853,2.3490,3857.4219,9061.1953
269386893,2.3754,3750.0000,8907.8330
269386932,2.4282,3725.5859,9046.5029
269386972,2.4282,3740.2344,9082.0732
269387012,2.4018,3730.4688,8959.8994
269387051,2.4282,3740.2344,9082.0732
269387090,2.6130,3706.0547,9683.7900
269387129,2.5338,3715.8203,9415.0850
269387169,2.4546,3725.5859,9144.8340
269387209,2.5866,3730.4688,9649.1221
269387248,2.5338,3720.7031,9427.4570
269387288,2.6658,3710.9375,9892.4375
269387327,2.4546,3710.9375,9108.8779
269387367,2.3754,3730.4688,8861.4385
269387407,2.4282,3745.1172,9093.9297
269387446,2.5338,3725.5859,9439.8291
269387486,2.4018,3715.8203,8924.7158
269387525,2.2698,3764.6484,8545.1797
269387565,2.1379,3759.7656,8037.9282
269387603,2.1379,3803.7109,8131.8779
269387643,2.2435,3745.1172,8402.0000
269387683,2.2698,3774.4141,8567.3457
269387722,2.2962,3745.1172,8599.6934
269387762,2.2698,3745.1172,8500.8467
269387801,2.4282,3735.3516,9070.2168
269387841,2.4810,3759.7656,9327.9658
269387881,2.4546,3730.4688,9156.8193
269387920,2.4810,3706.0547,9194.7090
269387960,2.6921,3725.5859,10029.8190
269388000,2.5602,3730.4688,9550.6611
269388040,2.5602,3701.1719,9475.6563
269388080,2.4810,3730.4688,9255.2803
269388119,2.6394,3706.0547,9781.6055
269388158,2.4282,3745.1172,9093.9297
269388197,2.4546,3706.0547,9096.8926
269388237,2.3754,3740.2344,8884.6357
269388277,2.4546,3740.2344,9180.7900
269388316,2.2698,3764.6484,8545.1797
269388356,2.2698,3769.5313,8556.2627
269388395,2.1907,3759.7656,8236.3955
269388435,2.1115,3793.9453,8010.8643
269388475,2.1643,3754.8828,8126.5942
269388514,2.2962,3754.8828,8622.1182
269388554,2.4018,3720.7031,8936.4443
269388593,2.4810,3735.3516,9267.3945
269388633,2.5074,3706.0547,9292.5254
269388673,2.7185,3706.0547,10075.0540
269388712,2.7185,3681.6406,10008.6830
269388753,2.7449,3676.7578,10092.4520
269388793,2.8241,3696.2891,10438.7380
269388834,2.6130,3720.7031,9722.0654
269388874,2.5602,3710.9375,9500.6582
269388913,2.4018,3754.8828,9018.5371
269388953,2.2962,3769.5313,8655.7539
269388992,2.0851,3793.9453,7910.7290
269389032,2.1643,3774.4141,8168.8652
269389072,2.1907,3759.7656,8236.3955
269389111,2.0851,3789.0625,7900.5479
269389151,2.2435,3735.3516,8380.0908
269389190,2.4018,3754.8828,9018.5371
269389230,2.4810,3710.9375,9206.8232
269389268,2.5338,3696.2891,9365.5967
269389308,2.6658,3686.5234,9827.3564
269389348,2.8241,3671.8750,10369.7900
269389388,2.8505,3691.4063,10522.3790
269389429,2.6130,3715.8203,9709.3066
269389468,2.5866,3735.3516,9661.7520
269389508,2.4282,3730.4688,9058.3594
269389548,2.4282,3720.7031,9034.6465
269389587,2.1379,3779.2969,8079.6836
269389627,2.1379,3774.4141,8069.2446
269389666,2.1643,3784.1797,8190.0005
269389706,2.2171,3774.4141,8368.1055
269389746,2.1115,3779.2969,7979.9341
269389785,1.9531,3818.3594,7457.7334
269389825,2.1643,3759.7656,8137.1621
269389863,2.3754,3808.5938,9047.0186
269389903,2.5602,3706.0547,9488.1572
269389943,2.6130,3720.7031,9722.0654
269389982,2.6921,3652.3438,9832.6406
269390022,2.8769,3666.9922,10549.5710
269390062,2.9561,3681.6406,10883.2290
269390103,2.7713,3701.1719,10257.1540
269390144,2.6658,3662.1094,9762.2744
269390183,2.5866,3710.9375,9598.6035
269390223,2.5074,3725.5859,9341.4980
269390262,2.4282,3735.3516,9070.2168
269390302,2.2435,3754.8828,8423.9082
269390342,2.1379,3779.2969,8079.6836
269390381,2.2698,3750.0000,8511.9297
269390420,2.1379,3764.6484,8048.3667
269390459,2.1115,3789.0625,8000.5542
269390499,2.1643,3798.8281,8221.7041
269390539,2.2962,3735.3516,8577.2695
269390578,2.3490,3759.7656,8831.7979
269390618,2.2171,3750.0000,8313.9775
269390657,2.3226,3750.0000,8709.8818
269390697,2.3754,3745.1172,8896.2344
269390737,2.6130,3730.4688,9747.5830
269390776,2.5602,3701.1719,9475.6563
269390816,2.4546,3730.4688,9156.8193
269390855,2.4546,3745.1172,9192.7754
269390895,2.6658,3706.0547,9879.4219
269390935,2.7713,3691.4063,10230.0910
269390974,2.7449,3710.9375,10186.2720
269391015,2.7977,3696.2891,10341.1800
269391055,2.7713,3676.7578,10189.4950
269391096,2.7713,3676.7578,10189.4950
269391137,2.5866,3715.8203,9611.2334
269391176,2.3490,3730.4688,8762.9785
