12031,1064.506038.0859,959.2159
349415809,0.2639,4028.3203,1063.2180
349415848,0.2375,4028.3203,956.8962
349415886,0.2111,4028.3203,850.5744
349415925,0.2375,4028.3203,956.8962
349415964,0.2375,4028.3203,956.8962
349416002,0.2375,4033.2031,958.0560
349416041,0.2903,4028.3203,1169.5398
349416080,0.4223,4033.2031,1703.2108
349416120,0.2375,4023.4375,955.7363
349416159,0.2375,4013.6719,953.4166
349416197,0.2375,4033.2031,958.0560
349416236,0.2375,4033.2031,958.0560
349416273,0.1848,4028.3203,744.2526
349416312,0.2903,4013.6719,1165.2870
349416351,0.3431,4033.2031,1383.8588
349416391,0.2375,4033.2031,958.0560
349416430,0.2639,4033.2031,1064.5067
349416469,0.3695,3974.6094,1468.6584
349416509,0.3959,4028.3203,1594.8269
349416548,0.2903,4033.2031,1170.9574
349416588,0.2639,4023.4375,1061.9292
349416628,0.2639,4018.5547,1060.6405
349416667,0.1848,4033.2031,745.1547
349416706,0.3167,4033.2031,1277.4081
349416744,0.2375,4038.0859,959.2159
349416783,0.2375,4052.7344,962.6956
349416822,0.2639,4028.3203,1063.2180
349416861,0.2375,4038.0859,959.2159
349416900,0.2903,4028.3203,1169.5398
349416939,0.2903,4028.3203,1169.5398
349416979,0.2375,4047.8516,961.5356
349417017,0.2375,4018.5547,954.5764
349417056,0.2639,4033.2031,1064.5067
349417096,0.2903,4028.3203,1169.5398
349417135,0.2375,4033.2031,958.0560
349417174,0.2375,4038.0859,959.2159
349417211,0.2375,4018.5547,954.5764
349417250,0.2111,4023.4375,849.5434
349417289,0.2639,4033.2031,1064.5067
349417328,0.2111,4038.0859,852.6364
349417367,0.2903,4028.3203,1169.5398
349417406,0.2375,4047.8516,961.5356
349417445,0.2375,4033.2031,958.0560
349417483,0.2111,4003.9063,845.4194
349417522,0.2375,4033.2031,958.0560
349417561,0.3695,4033.2031,1490.3094
349417600,0.2375,4018.5547,954.5764
349417638,0.3431,4028.3203,1382.1833
349417677,0.2111,4033.2031,851.6054
349417716,0.2639,4013.6719,1059.3517
349417756,0.2639,4013.6719,1059.3517
349417795,0.2639,4047.8516,1068.3729
349417835,0.3695,4028.3203,1488.5052
349417874,0.3167,4033.2031,1277.4081
349417914,0.2639,4033.2031,1064.5067
349417954,0.2639,4033.2031,1064.5067
349417993,0.3695,4023.4375,1486.7009
349418033,0.2903,4028.3203,1169.5398
349418072,0.3167,4033.2031,1277.4081
349418112,0.2903,4033.2031,1170.9574
349418150,0.2111,4013.6719,847.4814
349418189,0.2375,4028.3203,956.8962
349418228,0.2903,4033.2031,1170.9574
349418267,0.2111,4047.8516,854.6984
349418306,0.2639,4033.2031,1064.5067
349418345,0.2639,4033.2031,1064.5067
349418385,0.2111,4033.2031,851.6054
349418424,0.2639,4033.2031,1064.5067
349418463,0.2639,4033.2031,1064.5067
349418503,0.2375,4033.2031,958.0560
349418541,0.2639,4033.2031,1064.5067
349418580,0.2903,4038.0859,1172.3750
349418620,0.2111,4028.3203,850.5744
349418658,0.2903,4033.2031,1170.9574
349418698,0.4223,4023.4375,1699.0868
349418737,0.2375,4033.2031,958.0560
349418776,0.1848,4038.0859,746.0569
349418814,0.3167,4028.3203,1275.8616
349418854,0.2639,4033.2031,1064.5067
349418894,0.2639,4018.5547,1060.6405
349418933,0.2639,4028.3203,1063.2180
349418973,0.2639,4013.6719,1059.3517
349419012,0.2375,4042.9688,960.3758
349419051,0.2375,4018.5547,954.5764
349419089,0.3167,4038.0859,1278.9545
349419128,0.1848,4033.2031,745.1547
349419167,0.2903,4033.2031,1170.9574
349419206,0.2111,4038.0859,852.6364
349419245,0.2639,4033.2031,1064.5067
349419285,0.2903,4028.3203,1169.5398
349419324,0.3431,4047.8516,1388.8849
349419364,0.2111,4067.3828,858.8224
349419402,0.2111,4033.2031,851.6054
349419441,0.2375,4028.3203,956.8962
349419479,2.2435,3725.5859,8358.1826
349419518,2.4810,3735.3516,9267.3945
349419558,2.1115,3745.1172,7907.7642
349419597,1.9267,3813.4766,7347.5454
349419637,1.6892,3803.7109,6425.1875
349419676,1.5836,3862.3047,6116.4028
349419716,1.6364,3828.1250,6264.3516
349419756,1.6100,3828.1250,6163.3135
349419795,1.5572,3833.0078,5968.8413
349419835,1.5836,3837.8906,6077.7407
349419874,1.5836,3833.0078,6070.0078
349419914,1.6100,3813.4766,6139.7295
349419954,1.6364,3847.6563,6296.3125
349419993,1.5572,3852.5391,5999.2559
349420033,1.6892,3803.7109,6425.1875
349420071,1.7156,3842.7734,6592.5957
349420111,1.7156,3818.3594,6550.7114
349420151,1.5572,3867.1875,6022.0669
349420190,1.6628,3852.5391,6405.9854
349420230,1.6628,3823.2422,6357.2705
349420269,1.7420,3847.6563,6702.5264
349420309,1.9003,3808.5938,7237.6147
349420349,1.6892,3808.5938,6433.4355
349420388,1.5044,3857.4219,5803.2368
349420428,1.5572,3813.4766,5938.4268
349420467,1.6892,3823.2422,6458.1792
349420507,1.6892,3847.6563,6499.4194
349420546,1.8476,3759.7656,6946.3574
349420585,1.8212,3833.0078,6980.5093
349420625,1.7420,3823.2422,6659.9976
349420664,1.6364,3828.1250,6264.3516
349420704,1.6364,3857.4219,6312.2930
349420743,1.7948,3798.8281,6817.9985
349420783,1.7948,3798.8281,6817.9985
349420823,1.8476,3764.6484,6955.3784
349420862,1.6628,3813.4766,6341.0322
349420902,1.5308,3862.3047,5912.5234
349420941,1.5572,3828.1250,5961.2378
349420981,1.7684,3798.8281,6717.7334
349421021,1.8212,3823.2422,6962.7246
349421060,1.9003,3774.4141,7172.6616
349421100,1.7948,3828.1250,6870.5791
349421138,1.6100,3828.1250,6163.3135
349421178,1.6100,3813.4766,6139.7295
349421218,1.7684,3813.4766,6743.6372
349421257,1.8212,3818.3594,6953.8325
349421297,1.7420,3808.5938,6634.4805
349421336,1.6364,3847.6563,6296.3125
349421376,1.5836,3823.2422,6054.5430
349421416,1.7420,3833.0078,6677.0093
349421455,1.7948,3833.0078,6879.3428
349421495,1.8739,3779.2969,7082.1919
349421534,1.9531,3837.8906,7495.8799
349421574,1.6364,3935.5469,6440.1367
349421614,1.5308,3852.5391,5897.5737
349421652,1.6364,3847.6563,6296.3125
349421692,1.7420,3798.8281,6617.4688
349421731,1.8212,3793.9453,6909.3706
349421771,1.8476,3808.5938,7036.5698
349421810,1.7420,3808.5938,6634.4805
349421850,1.5572,3828.1250,5961.2378
349421890,1.5572,3842.7734,5984.0488
349421929,1.6628,3803.7109,6324.7939
349421969,1.8212,3818.3594,6953.8325
349422008,1.9531,3818.3594,7457.7334
349422048,1.8212,3784.1797,6891.5859
349422088,1.6100,3862.3047,6218.3433
349422127,1.6628,3823.2422,6357.2705
349422167,1.6628,3803.7109,6324.7939
349422205,1.7684,3828.1250,6769.5410
349422245,1.6892,3808.5938,6433.4355
349422285,1.5836,3896.4844,6170.5303
349422324,1.6892,3886.7188,6565.4033
349422364,1.6628,3808.5938,6332.9131
349422403,1.7948,3789.0625,6800.4712
349422443,1.9003,3808.5938,7237.6147
349422483,1.8476,3793.9453,7009.5059
349422522,1.6892,3852.5391,6507.6675
349422562,1.7156,3818.3594,6550.7114
349422601,1.7156,3818.3594,6550.7114
349422641,1.7420,3823.2422,6659.9976
349422681,1.7420,3793.9453,6608.9629
349422720,1.7156,3823.2422,6559.0884
349422759,1.5572,3847.6563,5991.6523
349422798,1.4780,3833.0078,5665.3413
349422838,1.5836,3862.3047,6116.4028
349422878,1.6364,3837.8906,6280.3320
349422917,1.8476,3798.8281,7018.5273
349422957,1.9003,3808.5938,7237.6147
349422996,1.5836,3833.0078,6070.0078
349423036,1.6628,3842.7734,6389.7471
349423075,1.6364,3852.5391,6304.3027
349423115,1.7420,3828.1250,6668.5034
349423155,1.8212,3803.7109,6927.1553
349423194,1.8476,3803.7109,7027.5483
349423234,1.7156,3808.5938,6533.9575
349423272,1.4780,3823.2422,5650.9072
349423312,1.5044,3872.0703,5825.2744
349423352,1.5572,3833.0078,5968.8413
349423391,1.6628,3828.1250,6365.3896
349423431,1.7156,3842.7734,6592.5957
349423470,1.7156,3793.9453,6508.8271
349423510,1.6100,3833.0078,6171.1753
349423550,1.5572,3842.7734,5984.0488
349423589,1.6364,3789.0625,6200.4297
349423629,1.7684,3798.8281,6717.7334
349423668,1.7684,3828.1250,6769.5410
349423708,1.7156,3808.5938,6533.9575
349423748,1.6628,3867.1875,6430.3428
349423787,1.4780,3828.1250,5658.1240
349423826,1.4516,3808.5938,5528.7334
349423865,1.6100,3842.7734,6186.8979
349423905,1.6892,3798.8281,6416.9395
349423945,1.8212,3808.5938,6936.0474
349423984,1.6892,3847.6563,6499.4194
349424024,1.4516,3818.3594,5542.9097
349424063,1.5836,3862.3047,6116.4028
349424103,1.6100,3837.8906,6179.0366
349424143,1.6892,3818.3594,6449.9316
349424182,1.6892,3842.7734,6491.1714
349424222,1.5572,3818.3594,5946.0308
349424261,1.5044,3862.3047,5810.5830
349424301,1.3725,3886.7188,5334.3901
349424339,1.4516,3833.0078,5564.1738
349424379,1.5572,3852.5391,5999.2559
349424419,1.7948,3818.3594,6853.0522
349424458,1.8739,3789.0625,7100.4922
349424498,1.7156,3842.7734,6592.5957
349424537,1.7156,3803.7109,6525.5806
349424577,1.6628,3833.0078,6373.5088
349424617,1.6100,3862.3047,6218.3433
349424656,1.7420,3818.3594,6651.4917
349424696,1.6100,3847.6563,6194.7593
349424735,1.5836,3828.1250,6062.2754
349424775,1.6364,3803.7109,6224.4004
349424815,1.7156,3862.3047,6626.1030
349424854,2.1115,3618.1641,7639.7041
349424893,2.2171,3735.3516,8281.5020
349424932,2.1643,3745.1172,8105.4590
349424972,2.0851,3750.0000,7819.0986
349425012,1.9003,3793.9453,7209.7778
349425051,1.9003,3779.2969,7181.9409
349425091,2.0323,3764.6484,7650.9165
349425130,1.9795,3779.2969,7481.1880
349425170,1.9267,3769.5313,7262.8745
349425210,1.9003,3789.0625,7200.4985
349425249,1.9003,3779.2969,7181.9409
349425289,2.0323,3754.8828,7631.0698
349425328,2.1643,3798.8281,8221.7041
349425368,2.1643,3735.3516,8084.3232
349425408,2.1643,3745.1172,8105.4590
349425446,2.0851,3764.6484,7849.6421
349425486,2.0059,3750.0000,7522.1704
349425525,1.9795,3798.8281,7519.8506
349425565,1.9531,3759.7656,7343.2920
349425604,2.0059,3750.0000,7522.1704
349425644,2.1643,3779.2969,8179.4331
349425684,1.9267,3769.5313,7262.8745
349425723,2.0323,3769.5313,7660.8398
349425763,2.2962,3774.4141,8666.9658
349425802,2.1115,3725.5859,7866.5239
349425842,2.2171,3759.7656,8335.6289
349425882,2.3226,3730.4688,8664.5176
349425921,2.3490,3725.5859,8751.5088
349425960,2.3754,3715.8203,8826.6426
349425999,2.2962,3740.2344,8588.4814
349426039,2.0587,3750.0000,7720.1226
349426079,2.0323,3750.0000,7621.1465
349426118,2.0059,3789.0625,7600.5264
349426158,2.0851,3740.2344,7798.7368
349426197,1.9531,3750.0000,7324.2188
349426237,2.0323,3784.1797,7690.6099
349426277,1.9531,3759.7656,7343.2920
349426316,1.9531,3745.1172,7314.6821
349426356,2.0323,3706.0547,7531.8359
349426395,2.2171,3759.7656,8335.6289
349426435,2.2698,3754.8828,8523.0127
349426475,2.3226,3725.5859,8653.1768
349426513,2.0851,3769.5313,7859.8232
349426553,2.0059,3754.8828,7531.9648
349426592,2.1115,3774.4141,7969.6240
349426632,2.2171,3750.0000,8313.9775
349426672,2.2435,3754.8828,8423.9082
349426711,2.1379,3750.0000,8017.0503
349426751,2.2698,3725.5859,8456.5137
349426790,2.0851,3759.7656,7839.4609
349426830,2.1907,3750.0000,8215.0020
349426869,2.1115,3745.1172,7907.7642
349426909,2.1379,3764.6484,8048.3667
349426949,2.1907,3735.3516,8182.9121
349426988,2.1907,3759.7656,8236.3955
349427027,2.2698,3754.8828,8523.0127
349427066,2.1115,3715.8203,7845.9043
349427106,2.0851,3793.9453,7910.7290
349427146,2.0851,3735.3516,7788.5557
349427185,2.0587,3769.5313,7760.3315
349427225,2.0851,3750.0000,7819.0986
349427264,2.1907,3759.7656,8236.3955
349427304,2.0587,3789.0625,7800.5405
349427344,1.9795,3750.0000,7423.1943
349427383,2.1379,3750.0000,8017.0503
349427423,2.2171,3725.5859,8259.8506
349427462,2.3226,3710.9375,8619.1543
349427502,2.3490,3715.8203,8728.5693
349427542,2.2962,3730.4688,8566.0576
349427580,2.2698,3750.0000,8511.9297
349427620,2.1643,3720.7031,8052.6201
349427659,2.2698,3750.0000,8511.9297
349427699,2.4018,3720.7031,8936.4443
349427739,2.1115,3754.8828,7928.3843
349427778,2.0587,3750.0000,7720.1226
349427818,2.0587,3769.5313,7760.3315
349427857,2.2171,3740.2344,8292.3271
349427897,2.2962,3706.0547,8509.9971
349427937,2.3490,3701.1719,8694.1592
349427976,2.2435,3710.9375,8325.3193
349428016,2.2962,3745.1172,8599.6934
349428055,2.2171,3740.2344,8292.3271
349428094,2.2171,3696.2891,8194.8975
349428133,2.1115,3896.4844,8227.3740
349428173,2.1379,3735.3516,7985.7339
349428213,2.1379,3774.4141,8069.2446
349428252,2.1379,3735.3516,7985.7339
349428292,2.2435,3735.3516,8380.0908
349428331,2.3226,3720.7031,8641.8359
349428371,2.4282,3715.8203,9022.7900
349428411,2.5602,3710.9375,9500.6582
349428450,2.4018,3706.0547,8901.2607
349428490,2.2698,3745.1172,8500.8467
349428529,2.3226,3730.4688,8664.5176
349428569,2.3226,3735.3516,8675.8594
349428609,2.3490,3696.2891,8682.6895
349428647,2.2962,3750.0000,8610.9053
349428687,2.2171,3730.4688,8270.6758
349428726,2.1115,3725.5859,7866.5239
349428766,2.2698,3764.6484,8545.1797
349428806,2.1115,3730.4688,7876.8340
349428845,2.4546,3779.2969,9276.6729
349428885,2.2171,3769.5313,8357.2803
349428924,2.1643,3750.0000,8116.0264
349428964,2.0587,3764.6484,7750.2793
349429004,2.1379,3725.5859,7964.8560
349429043,2.2962,3750.0000,8610.9053
349429083,2.4546,3701.1719,9084.9072
349429122,2.4282,3730.4688,9058.3594
349429161,2.3754,3706.0547,8803.4443
349429201,2.3754,3710.9375,8815.0439
349429240,2.2962,3701.1719,8498.7842
349429280,2.2962,3745.1172,8599.6934
349429319,2.3754,3725.5859,8849.8398
349429359,2.2962,3730.4688,8566.0576
349429398,2.2171,3750.0000,8313.9775
349429438,2.1907,3730.4688,8172.2153
349429478,2.2171,3759.7656,8335.6289
349429517,2.3754,3706.0547,8803.4443
349429557,2.3754,3740.2344,8884.6357
349429596,2.4018,3730.4688,8959.8994
349429636,2.2171,3627.9297,8043.3408
349429676,2.1379,3745.1172,8006.6113
349429714,2.2171,3720.7031,8249.0254
349429754,2.3226,3735.3516,8675.8594
349429793,2.4018,3706.0547,8901.2607
349429833,2.4546,3735.3516,9168.8047
349429873,2.3226,3725.5859,8653.1768
349429912,2.3226,3740.2344,8687.2002
349429952,2.2435,3745.1172,8402.0000
349429991,2.2962,3730.4688,8566.0576
349430031,2.2962,3745.1172,8599.6934
349430071,2.3490,3696.2891,8682.6895
349430110,2.3490,3740.2344,8785.9180
349430150,2.2698,3720.7031,8445.4297
349430189,2.3226,3735.3516,8675.8594
349430228,2.4018,3725.5859,8948.1719
349430268,2.3226,3725.5859,8653.1768
349430307,2.2698,3730.4688,8467.5967
349430347,2.3490,3686.5234,8659.7500
349430386,2.2171,3769.5313,8357.2803
349430426,2.1907,3735.3516,8182.9121
349430466,2.3226,3715.8203,8630.4951
349430505,2.4810,3735.3516,9267.3945
349430545,2.2962,3706.0547,8509.9971
349430584,2.5074,3725.5859,9341.4980
349430624,2.3226,3691.4063,8573.7900
349430663,2.2962,3720.7031,8543.6328
349430703,2.3754,3720.7031,8838.2412
349430743,2.3490,3740.2344,8785.9180
349430781,2.2171,3730.4688,8270.6758
349430821,2.2698,3730.4688,8467.5967
349430860,2.1379,3754.8828,8027.4893
349430900,2.2698,3720.7031,8445.4297
349430940,2.3754,3730.4688,8861.4385
349430979,2.3754,3710.9375,8815.0439
349431019,2.3490,3750.0000,8808.8584
349431058,2.2435,3715.8203,8336.2734
349431098,2.2435,3710.9375,8325.3193
349431138,2.2962,3720.7031,8543.6328
349431177,2.2435,3710.9375,8325.3193
349431217,2.3490,3735.3516,8774.4482
349431256,2.3226,3725.5859,8653.1768
349431296,2.2698,3740.2344,8489.7627
349431335,2.2435,3725.5859,8358.1826
349431374,2.1907,3779.2969,8279.1816
349431414,2.2962,3886.7188,8924.8447
349431453,2.4018,3710.9375,8912.9883
349431493,2.4282,3730.4688,9058.3594
349431533,2.4546,3701.1719,9084.9072
349431572,2.3754,3715.8203,8826.6426
349431612,2.2698,3701.1719,8401.0967
349431651,2.2962,3725.5859,8554.8447
349431691,2.3226,3720.7031,8641.8359
349431731,2.2962,3710.9375,8521.2090
349431770,2.4282,3725.5859,9046.5029
349431810,2.2435,3725.5859,8358.1826
349431848,2.2435,3740.2344,8391.0459
349431888,2.1907,3730.4688,8172.2153
349431927,2.1907,3740.2344,8193.6084
349431967,2.1907,3740.2344,8193.6084
349432007,2.2171,3715.8203,8238.1992
349432046,2.1907,3750.0000,8215.0020
349432086,2.2962,3715.8203,8532.4209
349432125,2.4546,3847.6563,9444.4688
349432165,2.4018,3569.3359,8572.8877
349432205,2.3226,3720.7031,8641.8359
349432244,2.3226,3701.1719,8596.4717
349432284,2.2698,3710.9375,8423.2637
349432323,2.2698,3745.1172,8500.8467
349432363,2.2171,3720.7031,8249.0254
349432402,2.1379,3754.8828,8027.4893
349432441,2.2962,3706.0547,8509.9971
349432481,2.2435,3730.4688,8369.1367
349432520,2.3490,3715.8203,8728.5693
349432560,2.2435,3720.7031,8347.2275
349432600,2.4546,3725.5859,9144.8340
349432639,2.2698,3715.8203,8434.3467
349432679,2.3490,3735.3516,8774.4482
349432718,2.2962,3701.1719,8498.7842
349432758,2.2962,3725.5859,8554.8447
349432798,2.2435,3725.5859,8358.1826
349432837,2.1115,3735.3516,7887.1440
349432877,2.1379,3784.1797,8090.1226
349432915,2.2435,3784.1797,8489.6348
349432955,2.2435,3754.8828,8423.9082
349432995,2.1907,3730.4688,8172.2153
349433034,2.3226,3730.4688,8664.5176
349433074,2.1379,3745.1172,8006.6113
349433113,2.1115,3730.4688,7876.8340
349433153,2.2435,3735.3516,8380.0908
349433192,2.5074,3696.2891,9268.0391
349433232,2.4546,3715.8203,9120.8633
349433272,2.4546,3701.1719,9084.9072
349433311,2.3490,3720.7031,8740.0391
349433351,2.3490,3701.1719,8694.1592
349433390,2.2698,3715.8203,8434.3467
349433430,2.4810,3691.4063,9158.3662
349433469,2.4546,3701.1719,9084.9072
349433508,2.2435,3735.3516,8380.0908
349433548,2.2962,3735.3516,8577.2695
349433587,2.1379,3750.0000,8017.0503
349433627,2.0851,3725.5859,7768.1934
349433667,2.2171,3686.5234,8173.2466
349433706,2.1907,3745.1172,8204.3057
349433746,2.2171,3725.5859,8259.8506
349433785,2.0851,3740.2344,7798.7368
349433825,2.1379,3740.2344,7996.1724
349433865,2.2435,3735.3516,8380.0908
349433904,2.4546,3710.9375,9108.8779
349433944,2.4018,3691.4063,8866.0781
349433982,2.4282,3715.8203,9022.7900
349434022,2.2962,3681.6406,8453.9365
349434062,2.2962,3730.4688,8566.0576
349434101,2.2962,3701.1719,8498.7842
349434141,2.4018,3730.4688,8959.8994
349434180,2.2962,3696.2891,8487.5723
349434220,2.1907,3730.4688,8172.2153
349434260,2.1115,3754.8828,7928.3843
349434299,2.1379,3730.4688,7975.2949
349434339,2.1907,3754.8828,8225.6982
349434378,2.3226,3696.2891,8585.1309
349434418,2.2698,3730.4688,8467.5967
349434457,2.1907,3740.2344,8193.6084
349434497,2.2171,3735.3516,8281.5020
349434536,2.1115,3764.6484,7949.0039
349434575,2.1907,3710.9375,8129.4287
349434615,2.4018,3715.8203,8924.7158
349434654,2.4018,3701.1719,8889.5332
349434694,2.3490,3710.9375,8717.0996
349434734,2.2171,3735.3516,8281.5020
349434773,2.1907,3720.7031,8150.8223
349434813,2.2171,3754.8828,8324.8037
349434852,2.2171,3730.4688,8270.6758
349434892,2.2171,3745.1172,8303.1523
349434932,2.1115,3759.7656,7938.6943
349434971,2.1379,3730.4688,7975.2949
349435011,2.1379,3759.7656,8037.9282
349435049,2.2435,3750.0000,8412.9541
349435089,2.3226,3730.4688,8664.5176
349435129,2.3754,3706.0547,8803.4443
349435168,2.2698,3715.8203,8434.3467
349435208,2.1907,3740.2344,8193.6084
349435247,2.2171,3706.0547,8216.5488
349435287,2.3226,3735.3516,8675.8594
349435327,2.3226,3710.9375,8619.1543
349435366,2.4018,3710.9375,8912.9883
349435406,2.3226,3608.3984,8380.9932
349435445,2.2171,3569.3359,7913.4346
349435485,2.2435,3745.1172,8402.0000
349435525,2.2171,3730.4688,8270.6758
349435564,2.2962,3740.2344,8588.4814
349435603,2.4018,3701.1719,8889.5332
349435642,2.3490,3725.5859,8751.5088
349435682,2.3754,3735.3516,8873.0371
349435721,2.1115,3725.5859,7866.5239
349435761,2.1643,3745.1172,8105.4590
349435801,2.2698,3720.7031,8445.4297
349435840,2.3226,3740.2344,8687.2002
349435880,2.1907,3725.5859,8161.5186
349435919,2.2435,3754.8828,8423.9082
349435959,2.1643,3740.2344,8094.8911
349435999,2.1907,3715.8203,8140.1255
349436038,2.2171,3730.4688,8270.6758
349436078,2.3226,3710.9375,8619.1543
349436116,2.2962,3740.2344,8588.4814
349436156,2.2171,3779.2969,8378.9307
349436196,2.1115,3876.9531,8186.1338
349436235,2.1115,3754.8828,7928.3843
349436275,2.0587,3735.3516,7689.9658
349436314,2.2698,3735.3516,8478.6797
349436354,2.2698,3740.2344,8489.7627
349436394,2.1643,3735.3516,8084.3232
349436433,2.2435,3750.0000,8412.9541
349436473,2.1379,3706.0547,7923.1006
349436512,2.2698,3740.2344,8489.7627
349436552,2.4018,3710.9375,8912.9883
349436592,2.4810,3715.8203,9218.9375
349436631,2.4282,3696.2891,8975.3643
349436670,2.3754,3720.7031,8838.2412
349436709,2.2962,3715.8203,8532.4209
349436749,2.3226,3725.5859,8653.1768
349436789,2.3226,3735.3516,8675.8594
349436828,2.3754,3715.8203,8826.6426
349436868,2.1643,3745.1172,8105.4590
349436907,2.2962,3784.1797,8689.3906
349436947,2.0851,3740.2344,7798.7368
349436986,2.0323,3759.7656,7640.9932
349437026,2.1379,3725.5859,7964.8560
349437066,2.2435,3759.7656,8434.8633
349437105,2.2962,3715.8203,8532.4209
349437145,2.2962,3740.2344,8588.4814
349437184,2.1643,3740.2344,8094.8911
349437223,2.1907,3725.5859,8161.5186
349437263,2.2698,3750.0000,8511.9297
349437302,2.4018,3706.0547,8901.2607
349437342,2.4810,3701.1719,9182.5947
349437381,2.3226,3686.5234,8562.4492
349437421,2.2962,3740.2344,8588.4814
349437461,2.1907,3720.7031,8150.8223
349437500,2.2698,3745.1172,8500.8467
349437540,2.1379,3740.2344,7996.1724
349437579,2.1379,3730.4688,7975.2949
349437619,2.0851,3759.7656,7839.4609
349437659,2.1115,3730.4688,7876.8340
349437698,2.0323,3750.0000,7621.1465
349437737,2.1643,3754.8828,8126.5942
349437776,2.2435,3701.1719,8303.4102
349437816,2.3754,3730.4688,8861.4385
349437856,2.3490,3706.0547,8705.6289
349437895,2.2962,3735.3516,8577.2695
349437935,2.3490,3701.1719,8694.1592
349437974,2.4018,3715.8203,8924.7158
349438014,2.2962,3720.7031,8543.6328
349438054,2.2435,3715.8203,8336.2734
349438093,2.0323,3754.8828,7631.0698
349438133,2.1643,3730.4688,8073.7554
349438172,2.1115,3750.0000,7918.0742
349438212,2.1643,3740.2344,8094.8911
349438251,2.4546,3710.9375,9108.8779
349438290,2.2962,3730.4688,8566.0576
349438330,2.2962,3720.7031,8543.6328
349438369,2.1379,3754.8828,8027.4893
349438409,2.1115,3735.3516,7887.1440
349438448,2.0851,3750.0000,7819.0986
349438488,2.1907,3725.5859,8161.5186
349438528,2.2171,3696.2891,8194.8975
349438567,2.2962,3740.2344,8588.4814
349438607,2.1643,3720.7031,8052.6201
349438646,2.1907,3750.0000,8215.0020
349438686,2.1115,3735.3516,7887.1440
349438726,2.2435,3691.4063,8281.5020
349438765,2.2171,3740.2344,8292.3271
349438804,2.2962,3735.3516,8577.2695
349438843,2.1643,3735.3516,8084.3232
349438883,2.2698,3740.2344,8489.7627
349438923,2.2171,3710.9375,8227.3740
349438962,2.4546,3720.7031,9132.8486
349439002,2.3754,3696.2891,8780.2471
349439041,2.3226,3740.2344,8687.2002
349439081,2.2698,3701.1719,8401.0967
349439121,2.3226,3710.9375,8619.1543
349439160,2.2962,3706.0547,8509.9971
349439200,2.3226,3710.9375,8619.1543
349439239,2.1643,3740.2344,8094.8911
349439279,2.1379,3730.4688,7975.2949
