24
269MM8&b0.487,4047.8516,1816.2341
269564388,1.5836,3901.3672,6178.2627
269564428,1.4780,3911.1328,5780.8130
269564468,1.5308,3876.9531,5934.9473
269564507,1.4516,3920.8984,5691.7603
269564547,1.5572,3886.7188,6052.4810
269564585,1.3989,3906.2500,5464.2959
269564625,1.5308,3891.6016,5957.3716
269564665,1.6100,3901.3672,6281.2344
269564704,1.3461,3920.8984,5277.8145
269564744,1.6100,3857.4219,6210.4819
269564783,1.3461,3925.7813,5284.3867
269564823,1.5836,3872.0703,6131.8682
269564863,1.5308,3906.2500,5979.7959
269564902,1.5044,3886.7188,5847.3125
269564942,1.5308,3906.2500,5979.7959
269564981,1.4516,3901.3672,5663.4077
269565021,1.6628,3896.4844,6479.0571
269565061,1.3989,3916.0156,5477.9565
269565100,1.6364,3872.0703,6336.2637
269565139,1.3725,3911.1328,5367.8975
269565178,1.5044,3872.0703,5825.2744
269565218,1.4253,3925.7813,5595.2329
269565258,1.4253,3901.3672,5560.4370
269565297,1.5044,3901.3672,5869.3501
269565337,1.6364,3881.8359,6352.2441
269565376,1.7156,3881.8359,6659.6108
269565416,1.6892,3876.9531,6548.9072
269565456,1.6100,3886.7188,6257.6499
269565495,1.5836,3911.1328,6193.7280
269565535,1.6100,3872.0703,6234.0659
269565574,1.3725,3901.3672,5354.4946
269565614,1.4516,3911.1328,5677.5840
269565652,1.3989,3901.3672,5457.4653
269565692,1.5044,3916.0156,5891.3877
269565732,1.4253,3901.3672,5560.4370
269565771,1.5308,3901.3672,5972.3213
269565811,1.3989,3901.3672,5457.4653
269565850,1.4516,3901.3672,5663.4077
269565890,1.4516,3911.1328,5677.5840
269565930,1.3461,3896.4844,5244.9512
269565969,1.7156,3896.4844,6684.7412
269566009,1.3989,3891.6016,5443.8047
269566048,1.5572,3896.4844,6067.6885
269566088,1.5044,3906.2500,5876.6958
269566128,1.6364,3886.7188,6360.2344
269566167,1.5572,3920.8984,6105.7065
269566206,1.3725,3876.9531,5320.9873
269566245,1.4780,3906.2500,5773.5962
269566285,1.3197,3896.4844,5142.1089
269566325,1.6100,3881.8359,6249.7886
269566364,1.5836,3901.3672,6178.2627
269566404,1.6100,3876.9531,6241.9272
269566443,1.5044,3906.2500,5876.6958
269566483,1.4253,3891.6016,5546.5186
269566523,1.4253,3920.8984,5588.2739
269566562,1.4253,3911.1328,5574.3555
269566602,1.5308,3896.4844,5964.8467
269566641,1.4516,3920.8984,5691.7603
269566681,1.5044,3837.8906,5773.8535
269566721,1.3197,3906.2500,5154.9961
269566759,1.5572,3886.7188,6052.4810
269566799,1.4253,3920.8984,5588.2739
269566838,1.5308,3906.2500,5979.7959
269566878,1.4516,3876.9531,5627.9673
269566917,1.6100,3896.4844,6273.3730
269566957,1.6364,3881.8359,6352.2441
269566997,1.3989,3925.7813,5491.6172
269567036,1.6628,3891.6016,6470.9380
269567076,1.5044,3906.2500,5876.6958
269567115,1.4780,3896.4844,5759.1621
269567155,1.4780,3901.3672,5766.3789
269567195,1.5572,3735.3516,5816.7690
269567234,1.6628,3886.7188,6462.8188
269567273,1.4516,3896.4844,5656.3193
269567312,1.6364,3901.3672,6384.2051
269567352,1.3725,3886.7188,5334.3901
269567392,1.3725,3930.6641,5394.7036
269567431,1.3197,3906.2500,5154.9961
269567471,1.5572,3896.4844,6067.6885
269567510,1.4253,3891.6016,5546.5186
269567550,1.3461,3896.4844,5244.9512
269567590,1.3725,3925.7813,5388.0020
269567629,1.4780,3896.4844,5759.1621
269567669,1.5308,3906.2500,5979.7959
269567708,1.5044,3837.8906,5773.8535
269567748,1.5572,3872.0703,6029.6704
269567788,1.3989,3920.8984,5484.7871
269567826,1.5044,3876.9531,5832.6206
269567866,1.4516,3920.8984,5691.7603
269567905,1.5572,3881.8359,6044.8774
269567945,1.4780,3901.3672,5766.3789
269567985,1.5044,3901.3672,5869.3501
269568024,1.4516,4047.8516,5876.0513
269568064,1.4780,3916.0156,5788.0298
269568103,1.5572,3876.9531,6037.2739
269568143,1.3989,3901.3672,5457.4653
269568182,1.6364,3896.4844,6376.2148
269568222,1.4516,3925.7813,5698.8481
269568262,1.4780,3886.7188,5744.7280
269568301,1.3461,3916.0156,5271.2417
269568340,1.5572,3911.1328,6090.4995
269568379,1.4516,3896.4844,5656.3193
269568419,1.5044,3916.0156,5891.3877
269568459,1.4516,3906.2500,5670.4956
269568498,1.3461,3906.2500,5258.0962
269568538,1.5044,3901.3672,5869.3501
269568577,1.4516,3891.6016,5649.2314
269568617,1.5308,3911.1328,5987.2705
269568657,1.6100,3876.9531,6241.9272
269568696,1.5044,3911.1328,5884.0415
269568736,1.5044,3916.0156,5891.3877
269568775,1.3725,3906.2500,5361.1963
269568815,1.4516,3906.2500,5670.4956
269568855,1.3197,3886.7188,5129.2212
269568893,1.6364,3901.3672,6384.2051
269568933,1.3725,3906.2500,5361.1963
269568972,1.6364,3872.0703,6336.2637
269569012,1.4516,3925.7813,5698.8481
269569052,1.5572,3862.3047,6014.4629
269569091,1.4253,3925.7813,5595.2329
269569131,1.5308,3886.7188,5949.8970
269569170,1.4516,3920.8984,5691.7603
269569210,1.5572,3881.8359,6044.8774
269569250,1.3989,3916.0156,5477.9565
269569289,1.4780,3906.2500,5773.5962
269569329,1.5044,3891.6016,5854.6582
269569368,1.3461,3930.6641,5290.9595
269569408,1.4780,3876.9531,5730.2939
269569446,1.4253,3906.2500,5567.3960
269569486,1.5836,3857.4219,6108.6704
269569526,1.3725,3916.0156,5374.5991
269569565,1.6364,3906.2500,6392.1953
269569605,1.5308,3876.9531,5934.9473
269569644,1.4253,3930.6641,5602.1924
269569684,1.6100,3867.1875,6226.2046
269569724,1.3725,3930.6641,5394.7036
269569763,1.5572,3891.6016,6060.0850
269569803,1.4780,3925.7813,5802.4639
269569842,1.6100,3886.7188,6257.6499
269569882,1.6100,3852.5391,6202.6206
269569922,1.5572,3886.7188,6052.4810
269569960,1.6100,3876.9531,6241.9272
269570000,1.5572,3940.4297,6136.1211
269570039,1.6628,3867.1875,6430.3428
269570079,1.3989,3920.8984,5484.7871
269570119,1.5308,3901.3672,5972.3213
269570158,1.3989,3891.6016,5443.8047
269570198,1.4253,3901.3672,5560.4370
269570237,1.4516,3896.4844,5656.3193
269570277,1.5308,3901.3672,5972.3213
269570317,1.5836,3857.4219,6108.6704
269570356,1.5044,3901.3672,5869.3501
269570396,1.6364,3852.5391,6304.3027
269570435,1.5836,3886.7188,6155.0654
269570475,1.7948,3857.4219,6923.1602
269570514,1.7156,3828.1250,6567.4653
269570553,2.0851,3823.2422,7971.8154
269570593,1.7948,3823.2422,6861.8159
269570632,1.9795,3852.5391,7626.1724
269570672,1.9267,3808.5938,7338.1372
269570711,2.0059,3818.3594,7659.2930
269570751,2.1907,3789.0625,8300.5752
269570791,2.2435,3774.4141,8467.7256
269570830,2.3490,3769.5313,8854.7373
269570870,2.0851,3789.0625,7900.5479
269570909,2.1115,3833.0078,8093.3442
269570949,2.1907,3774.4141,8268.4854
269570989,2.4282,3769.5313,9153.2119
269571027,2.3490,3784.1797,8889.1475
269571067,2.2435,3764.6484,8445.8174
269571106,2.2962,3784.1797,8689.3906
269571146,2.1379,3779.2969,8079.6836
269571186,2.1379,3808.5938,8142.3169
269571225,2.1115,3789.0625,8000.5542
269571265,2.0587,3818.3594,7860.8540
269571304,2.1907,3784.1797,8289.8779
269571344,2.3226,3759.7656,8732.5635
269571384,2.4018,3769.5313,9053.7197
269571423,2.5074,3745.1172,9390.4707
269571463,2.3226,3769.5313,8755.2461
269571502,2.3490,3720.7031,8740.0391
269571542,2.3754,3769.5313,8954.2285
269571581,2.4282,3750.0000,9105.7861
269571620,2.3490,3769.5313,8854.7373
269571660,2.2435,3769.5313,8456.7715
269571699,2.1643,3803.7109,8232.2715
269571739,2.3754,3754.8828,8919.4326
269571779,2.1907,3779.2969,8279.1816
269571818,2.1907,3808.5938,8343.3613
269571858,2.2698,3720.7031,8445.4297
269571897,2.4018,3779.2969,9077.1748
269571937,2.4018,3735.3516,8971.6270
269571976,2.4810,3735.3516,9267.3945
269572016,2.3754,3745.1172,8896.2344
269572056,2.4810,3774.4141,9364.3086
269572094,2.4282,3740.2344,9082.0732
269572134,2.4018,3769.5313,9053.7197
269572173,2.2435,3774.4141,8467.7256
269572213,2.4546,3754.8828,9216.7461
269572253,2.4546,3759.7656,9228.7314
269572292,2.3754,3754.8828,8919.4326
269572332,2.4546,3779.2969,9276.6729
269572371,2.3754,3588.8672,8525.0752
269572411,2.4018,3789.0625,9100.6309
269572451,2.4282,3754.8828,9117.6426
269572490,2.2962,3784.1797,8689.3906
269572530,2.3754,3750.0000,8907.8330
269572569,2.4546,3759.7656,9228.7314
269572609,2.3490,3745.1172,8797.3887
269572648,2.3490,3769.5313,8854.7373
269572687,2.3226,3764.6484,8743.9053
269572727,2.4282,3730.4688,9058.3594
269572766,2.5602,3764.6484,9638.1680
269572806,2.1907,3764.6484,8247.0918
269572846,2.1643,3808.5938,8242.8398
269572885,2.2962,3759.7656,8633.3301
269572925,2.2435,3774.4141,8467.7256
269572964,2.1643,3793.9453,8211.1357
269573004,2.0587,3793.9453,7810.5928
269573044,2.1379,3798.8281,8121.4390
269573083,2.2435,3759.7656,8434.8633
269573123,2.3226,3784.1797,8789.2686
269573161,2.2962,3750.0000,8610.9053
269573201,2.3490,3759.7656,8831.7979
269573240,2.5602,3759.7656,9625.6670
269573280,2.6130,3740.2344,9773.1006
269573320,2.6658,3715.8203,9905.4541
269573359,2.6394,3745.1172,9884.7051
269573399,2.5866,3720.7031,9623.8623
269573438,2.4546,3774.4141,9264.6875
269573478,2.3754,3740.2344,8884.6357
269573518,2.2698,3793.9453,8611.6787
269573557,2.2435,3779.2969,8478.6807
269573597,2.2171,3779.2969,8378.9307
269573636,2.2171,3803.7109,8433.0586
269573676,2.0851,3784.1797,7890.3667
269573715,2.2171,3808.5938,8443.8838
269573754,2.2435,3774.4141,8467.7256
269573794,2.1379,3779.2969,8079.6836
269573833,2.2962,3764.6484,8644.5420
269573873,2.3490,3759.7656,8831.7979
269573913,2.6130,3745.1172,9785.8584
269573952,2.8505,3715.8203,10591.9710
269573993,2.8769,3691.4063,10619.8090
269574033,2.7713,3706.0547,10270.6860
269574074,2.8241,3706.0547,10466.3170
269574115,2.9033,3701.1719,10745.5900
269574155,2.7185,3706.0547,10075.0540
269574196,2.5338,3740.2344,9476.9443
269574235,2.3226,3759.7656,8732.5635
269574275,2.2435,3774.4141,8467.7256
269574315,2.1643,3774.4141,8168.8652
269574353,2.2435,3828.1250,8588.2236
269574393,2.1115,3740.2344,7897.4541
269574432,2.2171,3735.3516,8281.5020
269574472,2.3490,3759.7656,8831.7979
269574512,2.3490,3759.7656,8831.7979
269574551,2.2962,3784.1797,8689.3906
269574591,2.2962,3750.0000,8610.9053
269574630,2.4546,3769.5313,9252.7021
269574670,2.2962,3754.8828,8622.1182
269574710,2.3226,3784.1797,8789.2686
269574749,2.4810,3750.0000,9303.7373
269574789,2.5602,3750.0000,9600.6650
269574828,2.5602,3725.5859,9538.1602
269574867,2.6658,3725.5859,9931.4873
269574907,2.5602,3710.9375,9500.6582
269574946,2.6394,3710.9375,9794.4932
269574986,2.6394,3715.8203,9807.3799
269575025,2.5074,3745.1172,9390.4707
269575065,2.4018,3730.4688,8959.8994
269575105,2.3226,3745.1172,8698.5410
269575144,2.5074,3735.3516,9365.9844
269575184,2.4546,3779.2969,9276.6729
269575223,2.3226,3740.2344,8687.2002
269575263,2.2171,3789.0625,8400.5820
269575302,2.3754,3774.4141,8965.8271
269575342,2.2962,3769.5313,8655.7539
269575382,2.3754,3769.5313,8954.2285
269575420,2.3754,3740.2344,8884.6357
269575460,2.6130,3813.4766,9964.4795
269575499,2.8769,3701.1719,10647.9030
269575540,2.6921,3710.9375,9990.3828
269575580,2.5602,3759.7656,9625.6670
269575619,2.4810,3730.4688,9255.2803
269575659,2.5074,3730.4688,9353.7412
269575698,2.5338,3730.4688,9452.2012
269575738,2.4018,3764.6484,9041.9922
269575778,2.3226,3759.7656,8732.5635
269575817,2.3490,3774.4141,8866.2070
269575857,2.5338,3750.0000,9501.6885
269575896,2.4282,3735.3516,9070.2168
269575936,2.4018,3759.7656,9030.2646
269575975,2.5338,3730.4688,9452.2012
269576014,2.4018,3759.7656,9030.2646
269576054,2.4282,3706.0547,8999.0771
269576093,2.4546,3764.6484,9240.7168
269576133,2.4018,3745.1172,8995.0820
269576173,2.2962,3769.5313,8655.7539
269576212,2.4546,3745.1172,9192.7754
269576252,2.4018,3750.0000,9006.8096
269576291,2.3490,3764.6484,8843.2676
269576331,2.2435,3750.0000,8412.9541
269576371,2.5866,3745.1172,9687.0117
269576410,2.5338,3720.7031,9427.4570
269576450,2.5074,3759.7656,9427.2002
269576488,2.3754,3735.3516,8873.0371
269576528,2.4546,3750.0000,9204.7607
269576567,2.5602,3720.7031,9525.6602
269576607,2.4282,3764.6484,9141.3555
269576647,2.4018,3745.1172,8995.0820
269576686,2.3490,3740.2344,8785.9180
269576726,2.4282,3740.2344,9082.0732
269576765,2.4282,3759.7656,9129.4990
269576805,2.4018,3740.2344,8983.3545
269576845,2.4810,3735.3516,9267.3945
269576884,2.4018,3764.6484,9041.9922
269576924,2.4810,3715.8203,9218.9375
269576963,2.5338,3745.1172,9489.3164
269577003,2.5074,3715.8203,9317.0117
269577042,2.5602,3745.1172,9588.1641
269577081,2.5866,3715.8203,9611.2334
269577121,2.4810,3740.2344,9279.5088
269577160,2.2962,3769.5313,8655.7539
269577200,2.2435,3852.5391,8642.9961
269577240,2.2962,3735.3516,8577.2695
269577279,2.3226,3774.4141,8766.5869
269577319,2.2698,3769.5313,8556.2627
269577358,2.2171,3779.2969,8378.9307
269577398,2.1907,3779.2969,8279.1816
269577438,2.4282,3745.1172,9093.9297
269577477,2.5866,3730.4688,9649.1221
269577517,2.5338,3730.4688,9452.2012
269577555,2.5338,3745.1172,9489.3164
269577595,2.6658,3710.9375,9892.4375
269577635,2.7713,3715.8203,10297.7500
269577675,2.6658,3720.7031,9918.4707
269577715,2.6130,3706.0547,9683.7900
269577754,2.6658,3730.4688,9944.5029
269577794,2.5602,3710.9375,9500.6582
269577834,2.3754,3745.1172,8896.2344
269577873,2.2962,3745.1172,8599.6934
269577913,2.1379,3789.0625,8100.5610
269577952,2.1379,3769.5313,8058.8057
269577992,2.1379,3774.4141,8069.2446
269578031,2.1907,3798.8281,8321.9678
269578071,2.2171,3774.4141,8368.1055
269578110,2.4018,3779.2969,9077.1748
269578149,2.2698,3828.1250,8689.2617
269578189,2.3226,3784.1797,8789.2686
269578228,2.3226,3745.1172,8698.5410
269578268,2.4018,3740.2344,8983.3545
269578308,2.5866,3730.4688,9649.1221
269578347,2.6130,3740.2344,9773.1006
269578387,2.6921,3681.6406,9911.5117
269578426,2.6658,3740.2344,9970.5361
269578466,2.6921,3691.4063,9937.8018
269578506,2.5866,3730.4688,9649.1221
269578545,2.4810,3725.5859,9243.1660
269578585,2.3226,3769.5313,8755.2461
269578624,2.2698,3745.1172,8500.8467
269578663,2.2698,3735.3516,8478.6797
269578703,2.3490,3750.0000,8808.8584
269578742,2.1907,3798.8281,8321.9678
269578782,2.2171,3784.1797,8389.7568
269578821,2.2962,3774.4141,8666.9658
269578861,2.4810,3759.7656,9327.9658
269578901,2.4546,3715.8203,9120.8633
269578940,2.5074,3745.1172,9390.4707
269578980,2.5866,3706.0547,9585.9736
269579019,2.6921,3725.5859,10029.8190
269579060,2.6658,3735.3516,9957.5195
269579100,2.4810,3754.8828,9315.8516
269579139,2.4282,3754.8828,9117.6426
269579179,2.4018,3750.0000,9006.8096
269579217,2.4546,3735.3516,9168.8047
269579257,2.4810,3754.8828,9315.8516
269579296,2.5338,3750.0000,9501.6885
269579336,2.3226,3769.5313,8755.2461
269579376,2.2435,3759.7656,8434.8633
269579415,2.1907,3798.8281,8321.9678
269579455,2.1379,3789.0625,8100.5610
269579494,2.1643,3784.1797,8190.0005
269579534,2.3226,3769.5313,8755.2461
269579574,2.4282,3730.4688,9058.3594
269579613,2.3490,3769.5313,8854.7373
269579653,2.6130,3706.0547,9683.7900
269579692,2.7449,3720.7031,10213.0780
269579732,2.7449,3706.0547,10172.8700
269579773,2.7185,3686.5234,10021.9570
269579813,2.7185,3696.2891,10048.5050
269579854,2.7713,3706.0547,10270.6860
269579894,2.6921,3696.2891,9950.9473
269579934,2.4810,3740.2344,9279.5088
269579974,2.3490,3745.1172,8797.3887
269580013,2.1907,3789.0625,8300.5752
269580053,2.1643,3745.1172,8105.4590
269580092,2.1907,3798.8281,8321.9678
269580132,2.2435,3769.5313,8456.7715
269580172,2.1907,3769.5313,8257.7881
269580211,2.2962,3720.7031,8543.6328
269580251,2.2171,3745.1172,8303.1523
269580290,2.3490,3774.4141,8866.2070
269580329,2.4546,3735.3516,9168.8047
269580369,2.5074,3759.7656,9427.2002
269580408,2.5074,3725.5859,9341.4980
269580448,2.6130,3735.3516,9760.3418
269580487,2.7713,3696.2891,10243.6220
269580528,2.6658,3706.0547,9879.4219
269580568,2.8241,3715.8203,10493.8960
269580608,2.8505,3676.7578,10480.6230
269580649,2.4810,3745.1172,9291.6230
269580688,2.2698,3784.1797,8589.5117
269580728,2.2435,3784.1797,8489.6348
269580768,2.2962,3750.0000,8610.9053
269580807,2.4018,3750.0000,9006.8096
269580847,2.2435,3769.5313,8456.7715
269580886,2.3490,3745.1172,8797.3887
269580925,2.4018,3769.5313,9053.7197
269580965,2.3754,3730.4688,8861.4385
269581004,2.5866,3740.2344,9674.3818
269581044,2.4810,3735.3516,9267.3945
269581083,2.3226,3784.1797,8789.2686
269581123,2.3754,3740.2344,8884.6357
269581163,2.3490,3745.1172,8797.3887
269581202,2.2698,3764.6484,8545.1797
269581242,2.4282,3725.5859,9046.5029
269581281,2.5074,3764.6484,9439.4424
269581321,2.3226,3730.4688,8664.5176
269581360,2.2962,3774.4141,8666.9658
269581400,2.3754,3735.3516,8873.0371
269581440,2.2698,3779.2969,8578.4287
269581478,2.2698,3759.7656,8534.0957
269581518,2.4018,3735.3516,8971.6270
269581557,2.5866,3740.2344,9674.3818
269581597,2.6130,3706.0547,9683.7900
269581637,2.6921,3710.9375,9990.3828
269581676,2.5866,3701.1719,9573.3438
269581716,2.6921,3725.5859,10029.8190
269581756,2.7185,3720.7031,10114.8760
269581797,2.5602,3710.9375,9500.6582
269581837,2.2435,3784.1797,8489.6348
269581876,2.1115,3784.1797,7990.2441
269581916,2.1379,3813.4766,8152.7554
269581955,2.1907,3779.2969,8279.1816
269581995,2.2435,3764.6484,8445.8174
269582034,2.2698,3789.0625,8600.5957
269582073,2.2698,3750.0000,8511.9297
269582113,2.2962,3759.7656,8633.3301
269582152,2.5338,3774.4141,9563.5488
269582192,2.5602,3750.0000,9600.6650
269582232,2.5074,3735.3516,9365.9844
269582271,2.5074,3735.3516,9365.9844
269582311,2.7185,3652.3438,9929.0381
269582350,2.5602,3735.3516,9563.1621
269582390,2.6394,3745.1172,9884.7051
269582430,2.5074,3740.2344,9378.2275
269582469,2.4546,3750.0000,9204.7607
269582509,2.4810,3720.7031,9231.0518
269582547,2.5602,3745.1172,9588.1641
269582587,2.2171,3754.8828,8324.8037
269582627,2.3226,3745.1172,8698.5410
269582666,2.4810,3740.2344,9279.5088
269582706,2.2962,3769.5313,8655.7539
269582745,2.3754,3759.7656,8931.0313
269582785,2.3226,3750.0000,8709.8818
269582824,2.4810,3706.0547,9194.7090
269582864,2.4546,3754.8828,9216.7461
269582904,2.3754,3769.5313,8954.2285
269582943,2.4282,3730.4688,9058.3594
269582983,2.5866,3750.0000,9699.6416
269583022,2.5074,3720.7031,9329.2549
269583062,2.3754,3769.5313,8954.2285
269583101,2.3754,3730.4688,8861.4385
269583140,2.4546,3759.7656,9228.7314
269583180,2.4282,3745.1172,9093.9297
269583219,2.3754,3750.0000,8907.8330
269583259,2.3754,3759.7656,8931.0313
269583299,2.5866,3710.9375,9598.6035
269583338,2.6658,3647.4609,9723.2256
269583378,2.6921,3701.1719,9964.0928
269583417,2.6130,3735.3516,9760.3418
269583457,2.5338,3740.2344,9476.9443
269583497,2.4282,3745.1172,9093.9297
269583536,2.4810,3740.2344,9279.5088
269583576,2.3226,3764.6484,8743.9053
269583614,2.2435,3764.6484,8445.8174
269583654,2.2698,3671.8750,8334.5977
269583694,2.2435,3754.8828,8423.9082
269583733,2.3754,3774.4141,8965.8271
269583773,2.2962,3759.7656,8633.3301
269583812,2.4546,3754.8828,9216.7461
269583852,2.5866,3842.7734,9939.6064
269583892,2.6394,3701.1719,9768.7178
269583931,2.6658,3706.0547,9879.4219
269583971,2.6130,3730.4688,9747.5830
269584010,2.5338,3720.7031,9427.4570
269584050,2.5338,3745.1172,9489.3164
269584089,2.4282,3745.1172,9093.9297
269584129,2.3490,3764.6484,8843.2676
269584168,2.2962,3828.1250,8790.2998
269584207,2.2698,3745.1172,8500.8467
269584247,2.4810,3730.4688,9255.2803
269584286,2.3490,3735.3516,8774.4482
269584326,2.2698,3769.5313,8556.2627
269584366,2.2962,3764.6484,8644.5420
269584405,2.3754,3764.6484,8942.6299
