,4121.0938,1631.5563
343611025,0.3431,4169.9219,1430.7692
343611065,0.3431,4101.5625,1407.3140
343611104,0.3431,4101.5625,1407.3140
343611144,0.3431,4121.0938,1414.0155
343611183,0.3959,4121.0938,1631.5563
343611223,0.3431,4106.4453,1408.9894
343611262,0.3431,4121.0938,1414.0155
343611301,0.4751,4121.0938,1957.8676
343611341,0.3167,4121.0938,1305.2450
343611380,0.3431,4125.9766,1415.6908
343611420,0.4223,4121.0938,1740.3268
343611460,0.3695,4101.5625,1515.5690
343611499,0.3431,4106.4453,1408.9894
343611539,0.3167,4125.9766,1306.7915
343611578,0.5015,4130.8594,2071.5352
343611618,0.3695,4121.0938,1522.7859
343611658,0.3431,4106.4453,1408.9894
343611697,0.3959,4121.0938,1631.5563
343611737,0.3695,4121.0938,1522.7859
343611776,1.6100,3940.4297,6344.1250
343611815,1.6100,3950.1953,6359.8481
343611854,1.4253,3974.6094,5664.8257
343611894,1.4516,3935.5469,5713.0244
343611934,1.3197,3989.2578,5264.5400
343611973,1.3197,3950.1953,5212.9897
343612013,1.3725,3994.1406,5481.8232
343612052,1.3461,4033.2031,5428.9844
343612092,1.1877,4003.9063,4755.4839
343612132,1.3461,3955.0781,5323.8228
343612171,1.2405,3989.2578,4948.6675
343612211,1.2933,3989.2578,5159.2490
343612250,1.4253,3969.7266,5657.8662
343612290,1.3197,3994.1406,5270.9834
343612329,1.4253,3950.1953,5630.0293
343612368,1.4516,3974.6094,5769.7295
343612408,1.4516,3935.5469,5713.0244
343612447,1.3725,3950.1953,5421.5098
343612487,1.5044,3911.1328,5884.0415
343612527,1.5572,3964.8438,6174.1392
343612566,1.5572,3930.6641,6120.9136
343612606,1.6628,3930.6641,6535.8911
343612645,1.6892,3930.6641,6639.6353
343612685,1.5308,3964.8438,6069.4927
343612725,1.6892,3901.3672,6590.1475
343612764,1.7948,3935.5469,7063.3760
343612804,1.8212,3876.9531,7060.5405
343612843,1.9003,3911.1328,7432.4736
343612882,2.0587,3852.5391,7931.2197
343612922,1.7948,3920.8984,7037.0854
343612961,1.6892,3925.7813,6631.3872
343613001,1.6100,3920.8984,6312.6797
343613040,1.6892,3925.7813,6631.3872
343613080,1.6628,3906.2500,6495.2954
343613119,1.7420,3925.7813,6838.6182
343613159,1.7684,3901.3672,6899.0605
343613199,1.7420,3925.7813,6838.6182
343613238,1.6628,3896.4844,6479.0571
343613278,1.7156,4038.0859,6927.6704
343613317,1.7684,3911.1328,6916.3296
343613357,1.7948,3925.7813,7045.8491
343613396,1.9003,3896.4844,7404.6367
343613435,1.7420,3935.5469,6855.6299
343613475,1.5836,3925.7813,6216.9253
343613514,1.5044,3959.9609,5957.5005
343613554,1.5836,3911.1328,6193.7280
343613594,1.7948,3896.4844,6993.2681
343613633,1.8476,3872.0703,7153.8462
343613673,1.8476,3925.7813,7253.0796
343613712,1.7684,3930.6641,6950.8682
343613752,1.7156,3935.5469,6751.7563
343613792,1.7156,3886.7188,6667.9878
343613831,1.8739,3925.7813,7356.6953
343613871,1.9003,3891.6016,7395.3574
343613910,1.7684,3940.4297,6968.1372
343613949,1.5572,3916.0156,6098.1030
343613989,1.3989,3959.9609,5539.4297
343614028,1.5308,3930.6641,6017.1694
343614068,1.5572,3950.1953,6151.3281
343614107,1.7156,3891.6016,6676.3643
343614147,1.8212,3930.6641,7158.3569
343614187,1.6892,3920.8984,6623.1392
343614226,1.6628,3950.1953,6568.3677
343614266,1.6364,3906.2500,6392.1953
343614305,1.6364,3950.1953,6464.1074
343614345,1.8739,3881.8359,7274.3442
343614384,2.0059,3891.6016,7806.2104
343614424,1.7684,3886.7188,6873.1567
343614464,1.5836,3959.9609,6271.0527
343614502,1.5572,3930.6641,6120.9136
343614542,1.6892,3925.7813,6631.3872
343614581,1.9267,3916.0156,7545.1104
343614621,1.8739,3876.9531,7265.1943
343614661,1.6892,3901.3672,6590.1475
343614700,1.7948,3945.3125,7080.9033
343614740,1.5836,3916.0156,6201.4604
343614779,1.7948,3920.8984,7037.0854
343614819,1.8476,3886.7188,7180.9097
343614859,1.6364,3930.6641,6432.1465
343614898,1.5572,3935.5469,6128.5176
343614938,1.5308,3950.1953,6047.0688
343614977,1.5572,3920.8984,6105.7065
343615016,1.7684,3930.6641,6950.8682
343615056,1.7948,3896.4844,6993.2681
343615095,1.6892,4023.4375,6796.3472
343615135,1.5836,3935.5469,6232.3901
343615174,1.5836,3925.7813,6216.9253
343615214,1.5836,3916.0156,6201.4604
343615254,1.6628,3906.2500,6495.2954
343615293,1.9267,3886.7188,7488.6631
343615333,1.7948,3930.6641,7054.6128
343615372,1.5836,3886.7188,6155.0654
343615412,1.4516,3935.5469,5713.0244
343615452,1.5308,3901.3672,5972.3213
343615491,1.7156,3920.8984,6726.6255
343615531,1.8212,3920.8984,7140.5718
343615569,1.8476,3901.3672,7207.9736
343615609,1.6628,3940.4297,6552.1294
343615648,1.6100,3930.6641,6328.4023
343615688,1.8476,3935.5469,7271.1221
343615728,1.6628,3896.4844,6479.0571
343615767,1.7948,3925.7813,7045.8491
343615807,1.7156,3891.6016,6676.3643
343615846,1.5308,3945.3125,6039.5938
343615886,1.4780,3920.8984,5795.2471
343615926,1.6100,3940.4297,6344.1250
343615965,1.6628,3901.3672,6487.1763
343616005,1.6892,3930.6641,6639.6353
343616044,1.7420,3896.4844,6787.5840
343616083,1.6628,3940.4297,6552.1294
343616123,1.5572,3916.0156,6098.1030
343616162,1.6364,3940.4297,6448.1270
343616202,1.7420,3891.6016,6779.0781
343616241,1.7948,3881.8359,6966.9775
343616281,1.8476,3886.7188,7180.9097
343616321,1.6628,3935.5469,6544.0103
343616360,1.7156,3906.2500,6701.4951
343616400,1.7156,3964.8438,6802.0176
343616439,1.6892,3886.7188,6565.4033
343616479,1.7420,3940.4297,6864.1353
343616519,1.6892,3891.6016,6573.6514
343616558,1.5044,3959.9609,5957.5005
343616598,1.5836,3920.8984,6209.1929
343616636,1.6364,3925.7813,6424.1563
343616676,1.8476,3876.9531,7162.8672
343616716,1.9003,3872.0703,7358.2417
343616755,1.7156,3901.3672,6693.1182
343616795,1.6100,3950.1953,6359.8481
343616834,1.7684,3916.0156,6924.9644
343616874,1.6100,3896.4844,6273.3730
343616913,1.7420,3886.7188,6770.5723
343616953,1.6628,3935.5469,6544.0103
343616993,1.5572,3916.0156,6098.1030
343617032,1.5572,3950.1953,6151.3281
343617072,1.5308,3916.0156,5994.7456
343617111,1.7420,3930.6641,6847.1240
343617150,1.7156,3886.7188,6667.9878
343617190,1.7420,3916.0156,6821.6069
343617229,1.6628,3901.3672,6487.1763
343617269,1.5836,3930.6641,6224.6577
343617308,1.5044,3935.5469,5920.7710
343617348,1.5836,3920.8984,6209.1929
343617388,1.9003,3876.9531,7367.5205
343617427,1.7420,3891.6016,6779.0781
343617467,1.7420,3906.2500,6804.5952
343617506,1.5836,3945.3125,6247.8555
343617546,1.5044,3945.3125,5935.4629
343617586,1.6892,3935.5469,6647.8833
343617625,1.8212,3886.7188,7078.3252
343617665,1.8476,3906.2500,7216.9946
343617703,1.8476,3906.2500,7216.9946
343617743,1.6364,3906.2500,6392.1953
343617783,1.5044,3940.4297,5928.1167
343617822,1.5308,3916.0156,5994.7456
343617862,1.5836,3940.4297,6240.1230
343617901,1.8739,3955.0781,7411.5962
343617941,1.7156,3823.2422,6559.0884
343617981,1.5836,3930.6641,6224.6577
343618020,1.5308,3969.7266,6076.9678
343618060,1.5044,3911.1328,5884.0415
343618099,1.6100,3935.5469,6336.2637
343618139,1.6892,3886.7188,6565.4033
343618178,1.7156,3940.4297,6760.1333
343618217,1.5572,3925.7813,6113.3101
343618257,1.4516,3955.0781,5741.3770
343618296,1.4253,3964.8438,5650.9072
343618336,1.4516,3925.7813,5698.8481
343618375,1.6628,3940.4297,6552.1294
343618415,1.7420,3901.3672,6796.0894
343618455,1.8212,3896.4844,7096.1104
343618494,1.6892,3911.1328,6606.6431
343618534,1.5572,3935.5469,6128.5176
343618573,1.5836,3906.2500,6185.9956
343618613,1.6892,3930.6641,6639.6353
343618653,1.6364,3906.2500,6392.1953
343618692,1.6364,3935.5469,6440.1367
343618732,1.5308,3920.8984,6002.2202
343618770,1.5044,3940.4297,5928.1167
343618810,1.7684,3901.3672,6899.0605
343618850,1.7684,3920.8984,6933.5986
343618889,1.7156,3901.3672,6693.1182
343618929,1.6628,3891.6016,6470.9380
343618968,1.5836,4008.7891,6348.3779
343619008,1.6364,3935.5469,6440.1367
343619048,1.6364,3920.8984,6416.1660
343619087,1.7156,3911.1328,6709.8721
343619127,2.0323,3896.4844,7918.8477
343619166,1.8739,3876.9531,7265.1943
343619206,1.7948,3911.1328,7019.5586
343619246,1.9003,3891.6016,7395.3574
343619284,1.9003,3901.3672,7413.9155
343619324,2.0587,3837.8906,7901.0630
343619363,2.2435,3847.6563,8632.0420
343619403,2.1379,3842.7734,8215.3887
343619442,2.0059,3891.6016,7806.2104
343619482,1.9267,3862.3047,7441.6240
343619522,1.9003,3891.6016,7395.3574
343619561,2.0059,3862.3047,7747.4434
343619601,2.1643,3852.5391,8337.9492
343619640,2.1643,3833.0078,8295.6777
343619680,2.2171,3813.4766,8454.7090
343619720,2.1379,3857.4219,8246.7051
343619759,2.1115,3837.8906,8103.6538
343619799,2.0587,3867.1875,7961.3765
343619837,2.1643,3833.0078,8295.6777
343619877,2.0323,3872.0703,7869.2305
343619917,2.0851,3837.8906,8002.3589
343619956,2.1643,3857.4219,8348.5166
343619996,2.0059,3857.4219,7737.6489
343620035,2.0059,3901.3672,7825.7993
343620075,2.1379,3847.6563,8225.8281
343620115,2.1907,3852.5391,8439.6309
343620154,2.1115,3847.6563,8124.2739
343620194,2.1907,3842.7734,8418.2373
343620233,2.2698,3847.6563,8733.5947
343620273,2.1379,3852.5391,8236.2666
343620313,2.2171,3872.0703,8584.6152
343620352,2.1907,3823.2422,8375.4512
343620391,2.2171,3852.5391,8541.3135
343620430,2.2698,3808.5938,8644.9287
343620470,2.1907,3823.2422,8375.4512
343620510,2.1379,3842.7734,8215.3887
343620549,2.2171,3857.4219,8552.1387
343620589,2.1643,3828.1250,8285.1104
343620628,2.2962,3857.4219,8857.5723
343620668,2.3226,3828.1250,8891.3379
343620707,2.2171,3793.9453,8411.4072
343620747,2.2962,3818.3594,8767.8750
343620787,2.1907,3833.0078,8396.8447
343620826,2.2435,3847.6563,8632.0420
343620866,2.2962,3813.4766,8756.6631
343620904,2.4810,3813.4766,9461.2227
343620944,2.4546,3774.4141,9264.6875
343620984,2.5074,3808.5938,9549.6309
343621023,2.3754,3701.1719,8791.8457
343621063,2.2435,3842.7734,8621.0869
343621102,2.2698,3837.8906,8711.4277
343621142,2.1379,3852.5391,8236.2666
343621182,2.1643,3837.8906,8306.2461
343621221,2.2962,3906.2500,8969.6934
343621261,2.1643,3828.1250,8285.1104
343621300,2.0851,3862.3047,8053.2646
343621340,2.1907,3842.7734,8418.2373
343621380,2.2698,3808.5938,8644.9287
343621419,2.2435,3833.0078,8599.1787
343621458,2.3754,3789.0625,9000.6230
343621497,2.3226,3837.8906,8914.0195
343621537,2.3226,3740.2344,8687.2002
343621577,2.3490,3828.1250,8992.3760
343621616,2.3490,3803.7109,8935.0264
343621656,2.3754,3828.1250,9093.4131
343621695,2.5074,3798.8281,9525.1445
343621735,2.4810,3798.8281,9424.8799
343621775,2.4282,3833.0078,9307.3457
343621814,2.3490,3798.8281,8923.5566
343621854,2.3490,3833.0078,9003.8457
343621893,2.2962,3798.8281,8723.0273
343621933,2.4810,3818.3594,9473.3369
343621971,2.2698,3798.8281,8622.7617
343622011,2.2435,3833.0078,8599.1787
343622051,2.3226,3823.2422,8879.9971
343622090,2.1379,3828.1250,8184.0723
343622130,2.2435,3852.5391,8642.9961
343622169,2.2698,3833.0078,8700.3447
343622209,2.2171,3828.1250,8487.1855
343622249,2.2698,3828.1250,8689.2617
343622288,2.2435,3833.0078,8599.1787
343622328,2.3490,3808.5938,8946.4961
343622367,2.2962,3813.4766,8756.6631
343622407,2.4018,3789.0625,9100.6309
343622447,2.4018,3818.3594,9170.9961
343622486,2.4018,3779.2969,9077.1748
343622525,2.4282,3813.4766,9259.9199
343622564,2.2962,3818.3594,8767.8750
343622604,2.2435,3837.8906,8610.1328
343622644,2.2698,3818.3594,8667.0947
343622683,2.2435,3828.1250,8588.2236
343622723,2.4018,3813.4766,9159.2686
343622762,2.2698,3828.1250,8689.2617
343622802,2.2171,3833.0078,8498.0117
343622842,2.1907,3813.4766,8354.0576
343622881,2.2698,3833.0078,8700.3447
343622921,2.3490,3798.8281,8923.5566
343622960,2.2962,3833.0078,8801.5117
343623000,2.4018,3793.9453,9112.3584
343623040,2.3490,3808.5938,8946.4961
343623078,2.3490,3784.1797,8889.1475
343623118,2.3490,3818.3594,8969.4365
343623157,2.5602,3774.4141,9663.1689
343623197,2.5074,3808.5938,9549.6309
343623236,2.4282,3808.5938,9248.0635
343623276,2.3754,3847.6563,9139.8086
343623316,2.2435,3784.1797,8489.6348
343623355,2.2698,3798.8281,8622.7617
343623395,2.2962,3828.1250,8790.2998
343623434,2.3754,3793.9453,9012.2217
343623474,2.3226,3828.1250,8891.3379
343623514,2.2962,3789.0625,8700.6025
343623553,2.2171,3828.1250,8487.1855
343623592,2.2698,3813.4766,8656.0117
343623631,2.3490,3823.2422,8980.9063
343623671,2.4810,3779.2969,9376.4229
343623711,2.3754,3808.5938,9047.0186
343623750,2.4018,3813.4766,9159.2686
343623790,2.3490,3823.2422,8980.9063
343623829,2.2698,3803.7109,8633.8447
343623869,2.3490,3793.9453,8912.0869
343623909,2.4282,3828.1250,9295.4893
343623948,2.4282,3789.0625,9200.6377
343623988,2.3490,3818.3594,8969.4365
343624027,2.3226,3808.5938,8845.9736
343624067,2.3226,3837.8906,8914.0195
343624107,2.3226,3798.8281,8823.2920
343624145,2.4018,3808.5938,9147.5410
343624185,2.2962,3803.7109,8734.2393
343624224,2.2962,3828.1250,8790.2998
343624264,2.3490,3833.0078,9003.8457
343624304,2.2171,3837.8906,8508.8369
343624343,2.2962,3867.1875,8879.9961
343624383,2.3754,3803.7109,9035.4199
343624422,2.3490,3818.3594,8969.4365
343624462,2.2962,3798.8281,8723.0273
343624501,2.3226,3823.2422,8879.9971
343624541,2.3226,3808.5938,8845.9736
343624581,2.3490,3823.2422,8980.9063
343624620,2.4018,3779.2969,9077.1748
343624659,2.4546,3798.8281,9324.6152
343624698,2.4282,3803.7109,9236.2070
343624738,2.3490,3798.8281,8923.5566
343624778,2.2962,3828.1250,8790.2998
343624817,2.4018,3803.7109,9135.8135
343624857,2.4018,3823.2422,9182.7236
343624896,2.3490,3793.9453,8912.0869
343624936,2.2698,3837.8906,8711.4277
343624976,2.1907,3803.7109,8332.6650
343625015,2.2962,3837.8906,8812.7236
343625055,2.2698,3793.9453,8611.6787
343625094,2.3754,3813.4766,9058.6172
343625134,2.3754,3813.4766,9058.6172
343625174,2.3490,3808.5938,8946.4961
343625212,2.3490,3818.3594,8969.4365
343625252,2.3754,3798.8281,9023.8213
343625291,2.3226,3823.2422,8879.9971
343625331,2.4546,3803.7109,9336.6006
343625371,2.4282,3730.4688,9058.3594
343625410,2.5074,3784.1797,9488.4150
343625450,2.4018,3828.1250,9194.4512
343625489,2.3490,3813.4766,8957.9668
343625529,2.3754,3818.3594,9070.2158
343625569,2.3754,3793.9453,9012.2217
343625608,2.3490,3789.0625,8900.6172
343625648,2.4546,3818.3594,9372.5566
343625687,2.2171,3828.1250,8487.1855
343625726,2.2435,3828.1250,8588.2236
343625765,2.2962,3793.9453,8711.8145
343625805,2.4018,3818.3594,9170.9961
343625845,2.4282,3793.9453,9212.4941
343625884,2.3754,3798.8281,9023.8213
343625924,2.4810,3808.5938,9449.1084
343625963,2.4018,3798.8281,9124.0859
343626003,2.3490,3813.4766,8957.9668
343626043,2.4282,3789.0625,9200.6377
343626082,2.4018,3813.4766,9159.2686
343626122,2.2435,3867.1875,8675.8594
343626161,2.2435,3833.0078,8599.1787
343626201,2.4282,3793.9453,9212.4941
343626241,2.3490,3833.0078,9003.8457
343626279,2.3226,3798.8281,8823.2920
343626319,2.4810,3808.5938,9449.1084
343626358,2.4546,3769.5313,9252.7021
343626398,2.4546,3793.9453,9312.6289
343626438,2.2962,3818.3594,8767.8750
343626477,2.2698,3813.4766,8656.0117
343626517,2.3226,3828.1250,8891.3379
343626556,2.2698,3798.8281,8622.7617
343626596,2.2962,3935.5469,9036.9658
343626636,2.2435,3813.4766,8555.3613
343626675,2.2698,3823.2422,8678.1777
343626715,2.2435,3808.5938,8544.4063
343626754,2.3226,3813.4766,8857.3145
343626793,2.5074,3779.2969,9476.1719
343626833,2.4018,3798.8281,9124.0859
343626872,2.2962,3808.5938,8745.4512
343626912,2.3490,3808.5938,8946.4961
343626951,2.2962,3828.1250,8790.2998
343626991,2.4546,3784.1797,9288.6582
343627030,2.4810,3798.8281,9424.8799
343627070,2.3754,3784.1797,8989.0244
343627110,2.2435,3808.5938,8544.4063
343627149,2.2171,3828.1250,8487.1855
343627189,2.2698,3823.2422,8678.1777
343627228,2.3490,3808.5938,8946.4961
343627268,2.4546,3779.2969,9276.6729
343627308,2.4282,3813.4766,9259.9199
343627346,2.3754,3793.9453,9012.2217
343627386,2.4546,3808.5938,9348.5859
343627425,2.3226,3789.0625,8800.6094
343627465,2.2962,3808.5938,8745.4512
343627505,2.3226,3793.9453,8811.9512
343627544,2.4018,3808.5938,9147.5410
343627584,2.3226,3808.5938,8845.9736
343627623,2.3226,3833.0078,8902.6787
343627663,2.3490,3901.3672,9164.4238
343627703,2.2435,3798.8281,8522.4980
343627742,2.3754,3808.5938,9047.0186
343627782,2.3490,3784.1797,8889.1475
343627821,2.4546,3803.7109,9336.6006
343627860,2.5602,3789.0625,9700.6719
343627900,2.3226,3833.0078,8902.6787
343627939,2.3226,3793.9453,8811.9512
343627979,2.4810,3837.8906,9521.7939
343628018,2.6394,3759.7656,9923.3672
343628058,2.4546,3789.0625,9300.6436
343628098,2.4282,3793.9453,9212.4941
343628137,2.3226,3808.5938,8845.9736
343628177,2.3754,3823.2422,9081.8145
343628216,2.3226,3803.7109,8834.6328
343628256,2.3754,3798.8281,9023.8213
343628295,2.4282,3779.2969,9176.9248
343628335,2.5866,3803.7109,9838.5684
343628375,2.4546,3789.0625,9300.6436
343628413,2.4546,3808.5938,9348.5859
343628453,2.4282,3798.8281,9224.3506
343628492,2.2962,3813.4766,8756.6631
343628532,2.2962,3798.8281,8723.0273
343628572,2.4546,3798.8281,9324.6152
343628611,2.3226,3813.4766,8857.3145
343628651,2.2435,3808.5938,8544.4063
343628690,2.4282,3774.4141,9165.0684
343628730,2.3490,3789.0625,8900.6172
343628770,2.3490,3828.1250,8992.3760
343628809,2.3754,3808.5938,9047.0186
343628849,2.4282,3813.4766,9259.9199
343628888,2.3754,3808.5938,9047.0186
343628928,2.4282,3808.5938,9248.0635
343628967,2.5074,3774.4141,9463.9287
343629006,2.4546,3793.9453,9312.6289
343629046,2.2435,3808.5938,8544.4063
343629085,2.2698,3813.4766,8656.0117
343629125,2.3490,3798.8281,8923.5566
343629165,2.4810,3818.3594,9473.3369
343629204,2.4546,3808.5938,9348.5859
343629244,2.4282,3798.8281,9224.3506
343629283,2.3226,3813.4766,8857.3145
343629323,2.2962,3803.7109,8734.2393
343629363,2.2962,3798.8281,8723.0273
343629402,2.6394,3759.7656,9923.3672
343629442,2.5074,3798.8281,9525.1445
343629480,2.3754,3793.9453,9012.2217
343629520,2.2698,3847.6563,8733.5947
343629559,2.2698,3793.9453,8611.6787
343629599,2.2962,3823.2422,8779.0879
343629639,2.2435,3813.4766,8555.3613
343629678,2.4282,3803.7109,9236.2070
343629718,2.2698,3862.3047,8766.8438
343629757,2.2698,3818.3594,8667.0947
343629797,2.1907,3818.3594,8364.7549
343629837,2.4018,3803.7109,9135.8135
343629876,2.2962,3823.2422,8779.0879
343629916,2.3490,3789.0625,8900.6172
343629955,2.4282,3803.7109,9236.2070
343629995,2.4282,3789.0625,9200.6377
343630034,2.3754,3818.3594,9070.2158
343630073,2.3490,3793.9453,8912.0869
343630113,2.2962,3823.2422,8779.0879
343630152,2.5074,3793.9453,9512.9014
343630192,2.3754,3818.3594,9070.2158
343630232,2.4282,3789.0625,9200.6377
343630271,2.3754,3808.5938,9047.0186
343630311,2.4018,3818.3594,9170.9961
343630350,2.4810,3808.5938,9449.1084
343630390,2.5866,3754.8828,9712.2705
343630430,2.4546,3769.5313,9252.7021
343630469,2.4810,3789.0625,9400.6514
343630509,2.4810,3774.4141,9364.3086
343630547,2.3490,3823.2422,8980.9063
343630587,2.2962,3808.5938,8745.4512
343630627,2.1379,3808.5938,8142.3169
343630666,2.3490,3784.1797,8889.1475
343630706,2.1907,3833.0078,8396.8447
343630745,2.1379,3857.4219,8246.7051
343630785,2.2171,3828.1250,8487.1855
343630824,2.2962,3803.7109,8734.2393
343630864,2.2435,3828.1250,8588.2236
343630904,2.1643,3823.2422,8274.5430
343630943,2.2435,3818.3594,8566.3154
343630983,2.3754,3789.0625,9000.6230
343631022,2.4546,3793.9453,9312.6289
343631062,2.4810,3813.4766,9461.2227
343631101,2.4018,3779.2969,9077.1748
343631140,2.2698,3828.1250,8689.2617
343631180,2.3754,3784.1797,8989.0244
343631219,2.5338,3789.0625,9600.6650
343631259,2.6921,3759.7656,10121.8360
343631300,2.6130,3779.2969,9875.1689
343631339,2.5338,3793.9453,9613.0371
343631379,2.4018,3779.2969,9077.1748
343631418,2.4810,3833.0078,9509.6797
343631458,2.4018,3686.5234,8854.3506
343631498,2.3490,3818.3594,8969.4365
343631537,2.3226,3789.0625,8800.6094
343631577,2.2435,3823.2422,8577.2695
343631616,2.0851,3818.3594,7961.6343
