,0.395b???r&&3,1594.8269
269147163,0.5543,4028.3203,2232.7578
269147203,0.5279,4028.3203,2126.4360
269147242,0.4751,4033.2031,1916.1121
269147282,0.4487,4033.2031,1809.6615
269147321,0.3959,4028.3203,1594.8269
269147361,0.4751,4028.3203,1913.7924
269147401,0.5807,4042.9688,2347.5854
269147440,0.4487,4018.5547,1803.0889
269147480,0.5279,4033.2031,2129.0134
269147518,0.4487,4018.5547,1803.0889
269147558,0.5807,4028.3203,2339.0796
269147598,0.5279,4033.2031,2129.0134
269147637,0.4223,4013.6719,1694.9628
269147677,0.5015,4033.2031,2022.5627
269147716,0.4223,4023.4375,1699.0868
269147756,0.5015,4033.2031,2022.5627
269147796,0.4487,4033.2031,1809.6615
269147835,0.4751,4033.2031,1916.1121
269147875,0.4487,4013.6719,1800.8981
269147914,0.5015,4028.3203,2020.1141
269147954,0.5015,4033.2031,2022.5627
269147994,0.4487,4033.2031,1809.6615
269148033,0.4487,4033.2031,1809.6615
269148072,0.4223,4013.6719,1694.9628
269148111,0.5015,4086.9141,2049.4976
269148151,0.3959,4038.0859,1598.6932
269148191,0.4223,4013.6719,1694.9628
269148230,0.5543,4038.0859,2238.1704
269148270,0.4751,4033.2031,1916.1121
269148309,0.4751,4038.0859,1918.4319
269148349,0.4751,4052.7344,1925.3911
269148388,0.5807,4028.3203,2339.0796
269148428,0.4751,4018.5547,1909.1528
269148468,0.5015,4028.3203,2020.1141
269148507,0.4751,4033.2031,1916.1121
269148547,0.5015,4033.2031,2022.5627
269148585,0.4487,4038.0859,1811.8524
269148625,0.5279,3974.6094,2098.0835
269148665,0.5807,4033.2031,2341.9148
269148704,0.5543,4033.2031,2235.4641
269148744,0.4487,4028.3203,1807.4706
269148783,0.6334,4033.2031,2554.8162
269148823,0.6071,4042.9688,2454.2939
269148863,0.3959,4033.2031,1596.7600
269148902,0.4487,4023.4375,1805.2798
269148942,0.3959,4018.5547,1590.9607
269148981,0.4487,4033.2031,1809.6615
269149021,0.4223,4028.3203,1701.1488
269149061,0.4751,4033.2031,1916.1121
269149100,1.8476,3862.3047,7135.8032
269149139,1.8739,3808.5938,7137.0923
269149178,1.9003,3847.6563,7311.8467
269149218,2.0059,3784.1797,7590.7319
269149258,1.7948,3847.6563,6905.6333
269149297,1.8212,3813.4766,6944.9399
269149337,1.7156,3862.3047,6626.1030
269149376,1.5308,3862.3047,5912.5234
269149416,1.6364,3876.9531,6344.2539
269149456,1.5044,3964.8438,5964.8462
269149495,1.7156,3852.5391,6609.3496
269149535,1.6628,3867.1875,6430.3428
269149574,1.4516,3886.7188,5642.1436
269149614,1.5572,3896.4844,6067.6885
269149652,1.5044,3896.4844,5862.0039
269149692,1.5308,3881.8359,5942.4224
269149732,1.4516,3891.6016,5649.2314
269149771,1.5836,3881.8359,6147.3330
269149811,1.3461,3891.6016,5238.3784
269149850,1.4516,3901.3672,5663.4077
269149890,1.4253,3876.9531,5525.6406
269149930,1.4780,3876.9531,5730.2939
269149969,1.3725,3886.7188,5334.3901
269150009,1.4253,3891.6016,5546.5186
269150048,1.3725,3901.3672,5354.4946
269150088,1.4780,3872.0703,5723.0771
269150128,1.6628,3862.3047,6422.2236
269150167,1.8212,3818.3594,6953.8325
269150206,1.7948,3847.6563,6905.6333
269150245,1.7948,3847.6563,6905.6333
269150285,1.8739,3837.8906,7191.9932
269150325,1.7684,3872.0703,6847.2524
269150364,1.8739,3818.3594,7155.3926
269150404,1.7684,3867.1875,6838.6182
269150443,1.7420,3847.6563,6702.5264
269150483,1.5308,3862.3047,5912.5234
269150523,1.6628,3862.3047,6422.2236
269150562,1.5044,3881.8359,5839.9663
269150602,1.6628,3881.8359,6454.7002
269150641,1.6100,3852.5391,6202.6206
269150681,1.4253,3906.2500,5567.3960
269150721,1.7156,3847.6563,6600.9727
269150759,1.5572,3857.4219,6006.8594
269150799,1.7156,3852.5391,6609.3496
269150838,1.5836,3857.4219,6108.6704
269150878,1.6364,3872.0703,6336.2637
269150917,1.7156,3867.1875,6634.4800
269150957,1.6364,3886.7188,6360.2344
269150997,1.7684,3852.5391,6812.7144
269151036,1.4253,3896.4844,5553.4775
269151076,1.7420,3857.4219,6719.5376
269151115,1.5572,3852.5391,5999.2559
269151155,1.6628,3862.3047,6422.2236
269151195,1.4516,3876.9531,5627.9673
269151234,1.6628,3857.4219,6414.1045
269151273,1.6892,3867.1875,6532.4111
269151312,1.9003,3803.7109,7228.3359
269151352,1.6364,3857.4219,6312.2930
269151392,1.7420,3833.0078,6677.0093
269151431,1.7684,3842.7734,6795.4448
269151471,1.8476,3813.4766,7045.5908
269151510,1.5572,3862.3047,6014.4629
269151550,1.6892,3876.9531,6548.9072
269151590,1.6364,3847.6563,6296.3125
269151629,1.6100,3862.3047,6218.3433
269151669,1.8476,3818.3594,7054.6123
269151708,1.6364,3857.4219,6312.2930
269151748,1.8212,3823.2422,6962.7246
269151788,1.7948,3823.2422,6861.8159
269151826,1.8476,3842.7734,7099.7183
269151866,1.9795,3779.2969,7481.1880
269151905,2.0059,3823.2422,7669.0874
269151945,1.8739,3823.2422,7164.5430
269151985,1.9267,3808.5938,7338.1372
269152024,1.6364,3876.9531,6344.2539
269152064,1.5044,3872.0703,5825.2744
269152103,1.7156,3862.3047,6626.1030
269152143,1.7156,3833.0078,6575.8418
269152182,1.9003,3823.2422,7265.4517
269152222,1.6892,3867.1875,6532.4111
269152262,1.7156,3842.7734,6592.5957
269152301,1.7684,3857.4219,6821.3486
269152340,1.8212,3813.4766,6944.9399
269152379,1.7948,3837.8906,6888.1064
269152419,1.5836,3852.5391,6100.9380
269152459,1.9003,3833.0078,7284.0098
269152498,1.7420,3867.1875,6736.5493
269152538,1.8739,3798.8281,7118.7925
269152577,1.6892,3867.1875,6532.4111
269152617,1.7420,3842.7734,6694.0205
269152657,1.7684,3852.5391,6812.7144
269152696,1.8476,3828.1250,7072.6548
269152736,1.6100,3857.4219,6210.4819
269152775,1.7948,3837.8906,6888.1064
269152815,1.6364,3842.7734,6288.3223
269152855,1.7684,3857.4219,6821.3486
269152893,1.7948,3857.4219,6923.1602
269152933,1.5836,3857.4219,6108.6704
269152972,1.6100,3862.3047,6218.3433
269153012,1.7156,3837.8906,6584.2188
269153052,1.8212,3842.7734,6998.2939
269153091,1.7684,3837.8906,6786.8105
269153131,1.7156,3852.5391,6609.3496
269153170,1.8212,3828.1250,6971.6172
269153210,1.8212,3842.7734,6998.2939
269153250,1.7420,3857.4219,6719.5376
269153289,1.5572,3852.5391,5999.2559
269153329,1.7684,3852.5391,6812.7144
269153368,1.6628,3847.6563,6397.8662
269153408,1.8476,3828.1250,7072.6548
269153446,1.6628,3837.8906,6381.6279
269153486,1.4780,3872.0703,5723.0771
269153526,1.7420,3857.4219,6719.5376
269153565,1.5308,3852.5391,5897.5737
269153605,1.5836,3857.4219,6108.6704
269153644,1.5308,3881.8359,5942.4224
269153684,1.6100,3842.7734,6186.8979
269153724,1.6100,3862.3047,6218.3433
269153763,1.4780,3955.0781,5845.7661
269153803,1.6628,3876.9531,6446.5811
269153842,1.5308,3857.4219,5905.0483
269153882,1.9003,3828.1250,7274.7305
269153922,1.8212,3842.7734,6998.2939
269153960,2.1643,3774.4141,8168.8652
269154000,1.6628,3847.6563,6397.8662
269154039,1.6892,3823.2422,6458.1792
269154079,1.9531,3837.8906,7495.8799
269154119,1.9531,3823.2422,7467.2700
269154158,1.9003,3798.8281,7219.0566
269154198,1.7684,3847.6563,6804.0796
269154237,1.9003,3784.1797,7191.2197
269154277,2.0587,3842.7734,7911.1152
269154317,2.4282,3745.1172,9093.9297
269154356,2.2698,3769.5313,8556.2627
269154396,2.3754,3740.2344,8884.6357
269154435,2.1115,3789.0625,8000.5542
269154475,2.0323,3808.5938,7740.2271
269154514,2.0059,3789.0625,7600.5264
269154553,2.0323,3818.3594,7760.0737
269154593,2.0851,3779.2969,7880.1855
269154632,2.2171,3793.9453,8411.4072
269154672,2.2171,3769.5313,8357.2803
269154711,2.3226,3764.6484,8743.9053
269154751,2.2435,3789.0625,8500.5889
269154791,2.2698,3637.6953,8257.0146
269154830,2.4018,3779.2969,9077.1748
269154870,2.2435,3769.5313,8456.7715
269154909,2.2171,3769.5313,8357.2803
269154949,2.3754,3754.8828,8919.4326
269154989,2.3490,3745.1172,8797.3887
269155027,2.3490,3779.2969,8877.6777
269155067,2.2435,3769.5313,8456.7715
269155106,2.1379,3681.6406,7870.9063
269155146,2.2435,3779.2969,8478.6807
269155186,2.0851,3784.1797,7890.3667
269155225,2.2698,3774.4141,8567.3457
269155265,2.1643,3769.5313,8158.2974
269155304,2.1379,3901.3672,8340.6553
269155344,2.2435,3759.7656,8434.8633
269155384,2.2698,3764.6484,8545.1797
269155423,2.4810,3735.3516,9267.3945
269155463,2.4018,3735.3516,8971.6270
269155502,2.4282,3745.1172,9093.9297
269155542,2.6394,3720.7031,9820.2676
269155581,2.5338,3725.5859,9439.8291
269155620,2.5338,3876.9531,9823.3604
269155660,2.6130,3715.8203,9709.3066
269155699,2.6921,3720.7031,10016.6740
269155740,2.6394,3706.0547,9781.6055
269155780,2.6921,3740.2344,10069.2550
269155820,2.4282,3745.1172,9093.9297
269155860,2.3754,3754.8828,8919.4326
269155899,2.3226,3745.1172,8698.5410
269155939,2.2435,3764.6484,8445.8174
269155979,2.1907,3764.6484,8247.0918
269156018,2.2435,3779.2969,8478.6807
269156058,2.2171,3759.7656,8335.6289
269156097,2.4018,3754.8828,9018.5371
269156136,2.2435,3784.1797,8489.6348
269156175,2.3226,3769.5313,8755.2461
269156215,2.3490,3750.0000,8808.8584
269156255,2.5602,3701.1719,9475.6563
269156294,2.5338,3725.5859,9439.8291
269156334,2.4546,3720.7031,9132.8486
269156373,2.4282,3750.0000,9105.7861
269156413,2.4018,3720.7031,8936.4443
269156453,2.4810,3745.1172,9291.6230
269156492,2.3754,3696.2891,8780.2471
269156532,2.3754,3769.5313,8954.2285
269156571,2.3226,3740.2344,8687.2002
269156611,2.4546,3735.3516,9168.8047
269156651,2.4018,3735.3516,8971.6270
269156689,2.2962,3754.8828,8622.1182
269156729,2.3490,3750.0000,8808.8584
269156768,2.3754,3735.3516,8873.0371
269156808,2.4546,3735.3516,9168.8047
269156848,2.5602,3735.3516,9563.1621
269156887,2.5074,3745.1172,9390.4707
269156927,2.4018,3720.7031,8936.4443
269156966,2.4018,3740.2344,8983.3545
269157006,2.5338,3720.7031,9427.4570
269157046,2.2962,3764.6484,8644.5420
269157085,2.3490,3735.3516,8774.4482
269157125,2.4810,3759.7656,9327.9658
269157164,2.5602,3715.8203,9513.1592
269157203,2.6394,3740.2344,9871.8174
269157243,2.4546,3710.9375,9108.8779
269157282,2.5602,3730.4688,9550.6611
269157322,2.5338,3681.6406,9328.4805
269157361,2.4546,3740.2344,9180.7900
269157401,2.4546,3701.1719,9084.9072
269157440,2.3490,3740.2344,8785.9180
269157480,2.4018,3710.9375,8912.9883
269157520,2.3490,3808.5938,8946.4961
269157559,2.2698,3735.3516,8478.6797
269157599,2.2962,3769.5313,8655.7539
269157638,2.0587,3759.7656,7740.2271
269157678,2.1115,3784.1797,7990.2441
269157718,2.1643,3789.0625,8200.5684
269157756,2.2698,3750.0000,8511.9297
269157796,2.2962,3764.6484,8644.5420
269157835,2.3754,3725.5859,8849.8398
269157875,2.4018,3764.6484,9041.9922
269157915,2.4018,3720.7031,8936.4443
269157954,2.5074,3740.2344,9378.2275
269157994,2.4282,3730.4688,9058.3594
269158033,2.6394,3754.8828,9910.4805
269158073,2.6130,3701.1719,9671.0313
269158113,2.6130,3701.1719,9671.0313
269158152,2.5602,3706.0547,9488.1572
269158192,2.5338,3725.5859,9439.8291
269158231,2.4282,3710.9375,9010.9336
269158270,2.4018,3764.6484,9041.9922
269158310,2.3754,3715.8203,8826.6426
269158349,2.2435,3798.8281,8522.4980
269158389,2.1907,3750.0000,8215.0020
269158428,2.0851,3779.2969,7880.1855
269158468,2.0851,3769.5313,7859.8232
269158508,2.0587,3793.9453,7810.5928
269158547,2.3490,3774.4141,8866.2070
269158587,2.2435,3750.0000,8412.9541
269158626,2.2962,3754.8828,8622.1182
269158666,2.5074,3715.8203,9317.0117
269158705,2.5866,3720.7031,9623.8623
269158745,2.6921,3691.4063,9937.8018
269158785,2.5074,3710.9375,9304.7686
269158823,2.7449,3701.1719,10159.4670
269158864,2.7449,3681.6406,10105.8540
269158904,2.7977,3706.0547,10368.5010
269158945,2.5602,3725.5859,9538.1602
269158985,2.4282,3710.9375,9010.9336
269159024,2.4282,3759.7656,9129.4990
269159064,2.2435,3740.2344,8391.0459
269159103,2.1643,3779.2969,8179.4331
269159143,2.2171,3769.5313,8357.2803
269159183,2.1643,3774.4141,8168.8652
269159222,2.1907,3774.4141,8268.4854
269159262,2.0851,3710.9375,7737.6499
269159301,2.1907,3769.5313,8257.7881
269159341,2.2698,3759.7656,8534.0957
269159380,2.3754,3769.5313,8954.2285
269159419,2.3490,3740.2344,8785.9180
269159459,2.3754,3745.1172,8896.2344
269159498,2.5338,3735.3516,9464.5732
269159538,2.5866,3676.7578,9510.1953
269159578,2.8241,3681.6406,10397.3700
269159618,2.6658,3701.1719,9866.4053
269159658,2.8505,3681.6406,10494.5420
269159698,2.6658,3686.5234,9827.3564
269159738,2.8505,3701.1719,10550.2160
269159779,2.4018,3740.2344,8983.3545
269159818,2.4810,3754.8828,9315.8516
269159858,2.2962,3725.5859,8554.8447
269159897,2.4282,3759.7656,9129.4990
269159937,2.4282,3720.7031,9034.6465
269159976,2.3226,3750.0000,8709.8818
269160015,2.2698,3754.8828,8523.0127
269160055,2.3490,3759.7656,8831.7979
269160094,2.2962,3730.4688,8566.0576
269160134,2.4282,3720.7031,9034.6465
269160174,2.2962,3647.4609,8375.4512
269160213,2.2698,3740.2344,8489.7627
269160253,2.3754,3769.5313,8954.2285
269160292,2.3226,3730.4688,8664.5176
269160332,2.2698,3764.6484,8545.1797
269160372,2.4546,3735.3516,9168.8047
269160411,2.6394,3706.0547,9781.6055
269160451,2.6658,3691.4063,9840.3721
269160489,2.5602,3710.9375,9500.6582
269160529,2.6658,3696.2891,9853.3887
269160568,2.5338,3710.9375,9402.7129
269160608,2.6658,3686.5234,9827.3564
269160648,2.5866,3706.0547,9585.9736
269160687,2.5602,3813.4766,9763.1758
269160727,2.4546,3735.3516,9168.8047
269160766,2.2698,3750.0000,8511.9297
269160806,2.3754,3754.8828,8919.4326
269160846,2.1115,3750.0000,7918.0742
269160885,2.1907,3784.1797,8289.8779
269160925,2.4282,3706.0547,8999.0771
269160964,2.4810,3750.0000,9303.7373
269161004,2.2962,3730.4688,8566.0576
269161043,2.1379,3789.0625,8100.5610
269161082,2.1643,3769.5313,8158.2974
269161122,2.3226,3750.0000,8709.8818
269161161,2.3490,3754.8828,8820.3281
269161201,2.4282,3730.4688,9058.3594
269161241,2.4810,3740.2344,9279.5088
269161280,2.4546,3720.7031,9132.8486
269161320,2.7185,3710.9375,10088.3270
269161360,2.5338,3710.9375,9402.7129
269161400,2.5338,3735.3516,9464.5732
269161440,2.5866,3730.4688,9649.1221
269161479,2.6921,3686.5234,9924.6572
269161519,2.7185,3715.8203,10101.6020
269161559,2.4282,3745.1172,9093.9297
269161598,2.3754,3774.4141,8965.8271
269161638,2.2435,3754.8828,8423.9082
269161677,2.3226,3774.4141,8766.5869
269161717,2.2171,3754.8828,8324.8037
269161756,2.2435,3774.4141,8467.7256
269161796,2.2962,3750.0000,8610.9053
269161836,2.4546,3730.4688,9156.8193
269161875,2.5338,3793.9453,9613.0371
269161915,2.5866,3750.0000,9699.6416
269161954,2.5074,3696.2891,9268.0391
269161994,2.6658,3706.0547,9879.4219
269162033,2.6921,3701.1719,9964.0928
269162073,2.5602,3730.4688,9550.6611
269162113,2.4546,3706.0547,9096.8926
269162151,2.5866,3715.8203,9611.2334
269162191,2.4546,3720.7031,9132.8486
269162230,2.2698,3774.4141,8567.3457
269162270,2.2171,3745.1172,8303.1523
269162310,2.1379,3779.2969,8079.6836
269162349,2.1907,3764.6484,8247.0918
269162389,2.1115,3837.8906,8103.6538
269162428,2.0851,3759.7656,7839.4609
269162468,2.1643,3784.1797,8190.0005
269162508,2.2962,3745.1172,8599.6934
269162547,2.4282,3720.7031,9034.6465
269162587,2.5866,3720.7031,9623.8623
269162626,2.7713,3691.4063,10230.0910
269162667,2.9297,3662.1094,10728.8360
269162707,2.9561,3642.5781,10767.7570
269162747,2.7449,3671.8750,10079.0490
269162788,2.6921,3701.1719,9964.0928
269162827,2.6130,3686.5234,9632.7549
269162867,2.6658,3706.0547,9879.4219
269162907,2.4810,3745.1172,9291.6230
269162946,2.3490,3750.0000,8808.8584
269162986,2.3490,3759.7656,8831.7979
269163025,2.5074,3745.1172,9390.4707
269163065,2.3754,3740.2344,8884.6357
269163105,2.1643,3759.7656,8137.1621
269163144,2.1643,3750.0000,8116.0264
269163184,2.2698,3745.1172,8500.8467
269163223,2.4810,3710.9375,9206.8232
269163262,2.3226,3750.0000,8709.8818
269163302,2.3754,3740.2344,8884.6357
269163341,2.4018,3769.5313,9053.7197
269163381,2.3754,3730.4688,8861.4385
269163420,2.2435,3764.6484,8445.8174
269163460,2.2171,3759.7656,8335.6289
269163500,2.2698,3725.5859,8456.5137
269163539,2.5074,3759.7656,9427.2002
269163579,2.4546,3715.8203,9120.8633
269163618,2.5074,3730.4688,9353.7412
269163658,2.5602,3691.4063,9450.6543
269163697,2.6394,3706.0547,9781.6055
269163737,2.7185,3686.5234,10021.9570
269163778,2.6394,3676.7578,9704.2803
269163816,2.5602,3715.8203,9513.1592
269163856,2.5338,3720.7031,9427.4570
269163895,2.5602,3686.5234,9438.1533
269163935,2.5338,3730.4688,9452.2012
269163975,2.3754,3710.9375,8815.0439
269164014,2.3490,3750.0000,8808.8584
269164054,2.2435,3769.5313,8456.7715
269164093,2.3226,3750.0000,8709.8818
269164133,2.1115,3779.2969,7979.9341
269164173,2.1907,3735.3516,8182.9121
269164212,2.3754,3764.6484,8942.6299
269164252,2.6394,3701.1719,9768.7178
269164291,2.5866,3740.2344,9674.3818
269164331,2.3754,3710.9375,8815.0439
269164370,2.5602,3750.0000,9600.6650
269164409,2.3754,3725.5859,8849.8398
269164449,2.3754,3759.7656,8931.0313
269164488,2.4018,3779.2969,9077.1748
269164528,2.2171,3759.7656,8335.6289
269164568,2.2962,3740.2344,8588.4814
269164607,2.4546,3730.4688,9156.8193
269164647,2.4282,3730.4688,9058.3594
269164686,2.4282,3735.3516,9070.2168
269164726,2.5602,3725.5859,9538.1602
269164766,2.5602,3701.1719,9475.6563
269164805,2.6658,3710.9375,9892.4375
269164845,2.5866,3720.7031,9623.8623
269164883,2.5602,3696.2891,9463.1553
269164923,2.6130,3720.7031,9722.0654
269164963,2.6394,3701.1719,9768.7178
269165002,2.4546,3740.2344,9180.7900
269165042,2.3490,3730.4688,8762.9785
269165081,2.1907,3789.0625,8300.5752
269165121,2.4282,3715.8203,9022.7900
269165160,2.2698,3754.8828,8523.0127
269165200,2.2962,3740.2344,8588.4814
269165240,2.4282,3750.0000,9105.7861
269165279,2.4810,3720.7031,9231.0518
269165319,2.3490,3754.8828,8820.3281
269165358,2.2698,3750.0000,8511.9297
269165398,2.3226,3754.8828,8721.2227
269165437,2.4018,3754.8828,9018.5371
269165476,2.4018,3759.7656,9030.2646
269165516,2.3490,3764.6484,8843.2676
269165555,2.1907,3730.4688,8172.2153
269165595,2.3754,3759.7656,8931.0313
269165635,2.4546,3720.7031,9132.8486
269165674,2.4810,3735.3516,9267.3945
269165714,2.5602,3706.0547,9488.1572
269165753,2.5866,3681.6406,9522.8252
269165793,2.6394,3676.7578,9704.2803
269165833,2.7185,3686.5234,10021.9570
269165873,2.5866,3720.7031,9623.8623
269165913,2.6130,3686.5234,9632.7549
269165952,2.5074,3867.1875,9696.5479
269165991,2.6130,3706.0547,9683.7900
269166031,2.4546,3730.4688,9156.8193
269166070,2.2171,3740.2344,8292.3271
269166110,2.2435,3759.7656,8434.8633
269166149,2.3490,3730.4688,8762.9785
269166189,2.2698,3769.5313,8556.2627
269166229,2.2435,3740.2344,8391.0459
269166268,2.2435,3779.2969,8478.6807
269166308,2.3754,3720.7031,8838.2412
269166347,2.4810,3735.3516,9267.3945
269166387,2.4018,3730.4688,8959.8994
269166426,2.4018,3730.4688,8959.8994
269166466,2.4018,3574.2188,8584.6152
269166505,2.4546,3735.3516,9168.8047
269166544,2.2698,3750.0000,8511.9297
269166584,2.3490,3745.1172,8797.3887
269166623,2.3226,3759.7656,8732.5635
269166663,2.4282,3720.7031,9034.6465
269166703,2.4018,3754.8828,9018.5371
269166742,2.3226,3710.9375,8619.1543
269166782,2.5074,3671.8750,9206.8232
269166821,2.4810,3691.4063,9158.3662
269166861,2.5602,3725.5859,9538.1602
269166901,2.3490,3710.9375,8717.0996
269166940,2.3754,3735.3516,8873.0371
269166980,2.5602,3715.8203,9513.1592
269167019,2.6394,3701.1719,9768.7178
269167058,2.6658,3671.8750,9788.3066
269167098,2.6394,3696.2891,9755.8301
269167137,2.5338,3735.3516,9464.5732
269167177,2.5338,3691.4063,9353.2246
269167216,2.5074,3745.1172,9390.4707
269167256,2.3754,3735.3516,8873.0371
269167296,2.1907,3793.9453,8311.2715
269167335,2.1643,3745.1172,8105.4590
269167375,2.4282,3745.1172,9093.9297
269167414,2.2962,3745.1172,8599.6934
269167454,2.1907,3759.7656,8236.3955
269167494,2.3490,3754.8828,8820.3281
269167533,2.3490,3720.7031,8740.0391
269167572,2.4282,3740.2344,9082.0732
269167611,2.5338,3691.4063,9353.2246
269167651,2.4810,3720.7031,9231.0518
269167690,2.7185,3681.6406,10008.6830
269167731,2.6921,3691.4063,9937.8018
269167771,2.5602,3701.1719,9475.6563
269167810,2.4810,3706.0547,9194.7090
269167850,2.5074,3730.4688,9353.7412
269167889,2.3754,3720.7031,8838.2412
269167929,2.3226,3769.5313,8755.2461
269167969,2.1115,3725.5859,7866.5239
269168008,2.0587,3779.2969,7780.4360
269168048,2.1907,3759.7656,8236.3955
269168087,2.3754,3715.8203,8826.6426
269168126,2.4018,3735.3516,8971.6270
269168166,2.4282,3706.0547,8999.0771
269168205,2.5866,3715.8203,9611.2334
269168245,2.7449,3696.2891,10146.0630
269168285,2.6130,3696.2891,9658.2725
269168325,2.4018,3740.2344,8983.3545
269168365,2.4546,3710.9375,9108.8779
269168404,2.5074,3740.2344,9378.2275
269168444,2.3754,3730.4688,8861.4385
269168483,2.2962,3779.2969,8678.1787
269168523,2.2435,3754.8828,8423.9082
269168563,2.2962,3779.2969,8678.1787
269168602,2.4018,3730.4688,8959.8994
269168642,2.4282,3725.5859,9046.5029
269168680,2.4018,3725.5859,8948.1719
269168720,2.5338,3720.7031,9427.4570
269168760,2.5338,3696.2891,9365.5967
269168799,2.5338,3725.5859,9439.8291
269168839,2.5602,3720.7031,9525.6602
269168878,2.5602,3710.9375,9500.6582
269168918,2.4546,3710.9375,9108.8779
269168958,2.5074,3701.1719,9280.2822
269168997,2.4282,3710.9375,9010.9336
269169037,2.2171,3769.5313,8357.2803
269169076,2.1379,3750.0000,8017.0503
