,0.2639??Lr?54,1060.6405
267450774,0.2375,4023.4375,955.7363
267450813,0.2111,4018.5547,848.5124
267450852,0.2639,4018.5547,1060.6405
267450891,0.2375,4023.4375,955.7363
267450930,0.2375,3999.0234,949.9370
267450968,0.2111,4023.4375,849.5434
267451006,0.2639,4023.4375,1061.9292
267451046,0.2111,4023.4375,849.5434
267451084,0.2375,4028.3203,956.8962
267451123,0.2375,4028.3203,956.8962
267451161,0.2639,4023.4375,1061.9292
267451201,0.3431,4023.4375,1380.5081
267451240,0.2375,4033.2031,958.0560
267451279,0.2111,4038.0859,852.6364
267451318,0.2639,4008.7891,1058.0630
267451357,0.2639,4023.4375,1061.9292
267451397,0.2639,4013.6719,1059.3517
267451436,0.2639,4023.4375,1061.9292
267451475,0.3167,4023.4375,1274.3151
267451515,0.2903,4003.9063,1162.4517
267451554,0.2111,4018.5547,848.5124
267451593,0.2639,4033.2031,1064.5067
267451632,0.3959,4018.5547,1590.9607
267451672,0.2639,4018.5547,1060.6405
267451712,0.2375,4018.5547,954.5764
267451750,0.3167,4028.3203,1275.8616
267451790,0.2375,4023.4375,955.7363
267451828,0.2903,4023.4375,1168.1222
267451868,0.2111,4018.5547,848.5124
267451906,0.2903,3999.0234,1161.0341
267451945,0.2639,3999.0234,1055.4855
267451985,0.2111,4003.9063,845.4194
267452023,0.2639,4013.6719,1059.3517
267452063,0.3431,4023.4375,1380.5081
267452102,0.2903,4013.6719,1165.2870
267452142,0.1848,4023.4375,743.3505
267452181,0.2639,4018.5547,1060.6405
267452220,0.3167,4023.4375,1274.3151
267452260,0.2903,4028.3203,1169.5398
267452299,0.2375,4023.4375,955.7363
267452338,0.3695,3891.6016,1437.9862
267452378,0.2639,4003.9063,1056.7742
267452417,0.2639,4003.9063,1056.7742
267452456,0.2639,4023.4375,1061.9292
267452495,0.2903,4023.4375,1168.1222
267452535,0.3431,4013.6719,1377.1572
267452575,0.2375,4018.5547,954.5764
267452613,0.3431,4018.5547,1378.8326
267452653,0.2639,4033.2031,1064.5067
267452692,0.2903,4013.6719,1165.2870
267452732,0.2375,4028.3203,956.8962
267452770,0.2639,4023.4375,1061.9292
267452810,0.2111,4023.4375,849.5434
267452849,0.3695,4018.5547,1484.8967
267452888,0.3167,4018.5547,1272.7686
267452928,0.2375,4023.4375,955.7363
267452965,0.2639,4018.5547,1060.6405
267453005,0.3959,4033.2031,1596.7600
267453045,0.2639,4018.5547,1060.6405
267453084,0.2375,4003.9063,951.0968
267453123,0.2639,4023.4375,1061.9292
267453162,0.2111,4013.6719,847.4814
267453201,0.2639,4023.4375,1061.9292
267453241,0.2111,4018.5547,848.5124
267453279,0.2375,4018.5547,954.5764
267453318,0.3167,4023.4375,1274.3151
267453357,0.2375,4013.6719,953.4166
267453395,0.2375,4023.4375,955.7363
267453433,0.2375,4023.4375,955.7363
267453472,0.2375,4023.4375,955.7363
267453511,0.2903,4013.6719,1165.2870
267453550,0.2375,4023.4375,955.7363
267453589,0.3431,4023.4375,1380.5081
267453628,0.3431,4018.5547,1378.8326
267453668,0.2639,4023.4375,1061.9292
267453708,0.2639,4018.5547,1060.6405
267453747,0.2903,4013.6719,1165.2870
267453787,0.2903,4028.3203,1169.5398
267453826,0.3959,4023.4375,1592.8938
267453865,0.2903,4013.6719,1165.2870
267453905,0.2639,4018.5547,1060.6405
267453944,0.2375,4028.3203,956.8962
267453983,0.2639,4023.4375,1061.9292
267454022,0.2375,4023.4375,955.7363
267454061,0.2903,4013.6719,1165.2870
267454100,0.3431,4028.3203,1382.1833
267454140,0.2375,4013.6719,953.4166
267454179,0.2639,4023.4375,1061.9292
267454218,0.2639,4023.4375,1061.9292
267454258,0.2639,4028.3203,1063.2180
267454297,0.3959,4003.9063,1585.1614
267454337,0.2639,4023.4375,1061.9292
267454376,0.2903,4003.9063,1162.4517
267454415,0.2111,4008.7891,846.4504
267454454,0.2375,4028.3203,956.8962
267454492,0.2903,3994.1406,1159.6165
267454532,0.2639,4028.3203,1063.2180
267454572,0.2375,4023.4375,955.7363
267454610,0.2639,4028.3203,1063.2180
267454650,0.2639,4023.4375,1061.9292
267454689,0.2903,3964.8438,1151.1107
267454729,0.2375,4023.4375,955.7363
267454767,0.3959,4028.3203,1594.8269
267454807,0.2375,4008.7891,952.2567
267454845,0.2903,4023.4375,1168.1222
267454884,0.2903,4013.6719,1165.2870
267454924,0.2903,4018.5547,1166.7046
267454963,0.2903,4023.4375,1168.1222
267455003,0.2903,4018.5547,1166.7046
267455043,0.2375,4003.9063,951.0968
267455081,0.2639,4013.6719,1059.3517
267455121,0.2111,4003.9063,845.4194
267455159,0.2375,4028.3203,956.8962
267455198,0.2375,4008.7891,952.2567
267455237,0.2375,4023.4375,955.7363
267455275,0.2375,4023.4375,955.7363
267455313,1.6364,3808.5938,6232.3906
267455352,1.6628,3847.6563,6397.8662
267455392,1.5308,3837.8906,5875.1494
267455431,1.3461,3867.1875,5205.5156
267455471,1.2933,3891.6016,5032.9517
267455511,1.2669,3862.3047,4893.1221
267455550,1.2141,3896.4844,4730.7402
267455590,1.3197,3867.1875,5103.4463
267455629,1.2405,3901.3672,4839.6392
267455669,1.3197,3901.3672,5148.5522
267455709,1.2141,3886.7188,4718.8838
267455748,1.2405,3911.1328,4851.7534
267455788,1.1877,3862.3047,4587.3022
267455826,1.1349,3867.1875,4388.9639
267455866,1.2405,3891.6016,4827.5249
267455906,1.1613,3891.6016,4519.3853
267455945,1.1349,3896.4844,4422.2134
267455985,1.2405,3896.4844,4833.5820
267456024,1.1613,3906.2500,4536.3970
267456064,1.2141,3891.6016,4724.8120
267456104,1.2669,3891.6016,4930.2383
267456143,1.2933,3906.2500,5051.8965
267456183,1.2141,3876.9531,4707.0273
267456222,1.3197,3886.7188,5129.2212
267456262,1.2405,3862.3047,4791.1826
267456302,1.3989,3867.1875,5409.6528
267456340,1.6364,3852.5391,6304.3027
267456380,1.6628,3803.7109,6324.7939
267456419,1.6892,3823.2422,6458.1792
267456459,1.6628,3837.8906,6381.6279
267456498,1.7156,3681.6406,6316.1592
267456538,1.5836,3852.5391,6100.9380
267456578,1.5572,3823.2422,5953.6343
267456617,1.6100,3847.6563,6194.7593
267456657,1.5836,3857.4219,6108.6704
267456696,1.6100,3813.4766,6139.7295
267456736,1.5308,3852.5391,5897.5737
267456776,1.6100,3833.0078,6171.1753
267456815,1.6100,3828.1250,6163.3135
267456855,1.6364,3847.6563,6296.3125
267456893,1.5836,3823.2422,6054.5430
267456933,1.5572,3852.5391,5999.2559
267456973,1.5836,3857.4219,6108.6704
267457012,1.6892,3808.5938,6433.4355
267457052,1.5308,3862.3047,5912.5234
267457091,1.6100,3852.5391,6202.6206
267457131,1.5836,3823.2422,6054.5430
267457171,1.6100,3881.8359,6249.7886
267457210,1.5572,3808.5938,5930.8232
267457250,1.5308,3852.5391,5897.5737
267457289,1.5308,3852.5391,5897.5737
267457329,1.4780,3837.8906,5672.5581
267457369,1.4780,3862.3047,5708.6431
267457408,1.5572,3837.8906,5976.4448
267457447,1.5836,3833.0078,6070.0078
267457486,1.6100,3847.6563,6194.7593
267457526,1.6892,3828.1250,6466.4272
267457566,1.7948,3798.8281,6817.9985
267457605,1.7948,3837.8906,6888.1064
267457645,1.6892,3789.0625,6400.4434
267457684,1.7420,3823.2422,6659.9976
267457724,1.7684,3813.4766,6743.6372
267457763,1.7420,3828.1250,6668.5034
267457803,1.6100,3857.4219,6210.4819
267457843,1.5308,3813.4766,5837.7759
267457882,1.5572,3833.0078,5968.8413
267457922,1.5836,3847.6563,6093.2056
267457960,1.7948,3803.7109,6826.7617
267458000,1.8212,3833.0078,6980.5093
267458040,1.6628,3808.5938,6332.9131
267458079,1.6892,3798.8281,6416.9395
267458119,1.6628,3828.1250,6365.3896
267458158,1.7156,3779.2969,6483.6963
267458198,1.7156,3803.7109,6525.5806
267458238,1.7684,3823.2422,6760.9063
267458277,1.7684,3798.8281,6717.7334
267458317,1.6100,3823.2422,6155.4521
267458356,1.5572,3847.6563,5991.6523
267458396,1.6100,3828.1250,6163.3135
267458436,1.5044,3857.4219,5803.2368
267458475,1.5836,3813.4766,6039.0781
267458514,1.7420,3818.3594,6651.4917
267458553,1.6892,3847.6563,6499.4194
267458593,1.7948,3803.7109,6826.7617
267458633,1.8476,3823.2422,7063.6333
267458672,1.7684,3823.2422,6760.9063
267458712,1.7420,3798.8281,6617.4688
267458751,1.6892,3823.2422,6458.1792
267458791,1.6364,3862.3047,6320.2832
267458831,1.6892,3818.3594,6449.9316
267458870,1.6100,3833.0078,6171.1753
267458910,1.5308,3823.2422,5852.7251
267458949,1.5572,3847.6563,5991.6523
267458989,1.5308,3857.4219,5905.0483
267459027,1.6364,3808.5938,6232.3906
267459067,1.6628,3774.4141,6276.0791
267459107,1.7684,3828.1250,6769.5410
267459146,1.6892,3784.1797,6392.1953
267459186,1.6892,3828.1250,6466.4272
267459225,1.8739,3813.4766,7146.2427
267459265,1.7420,3803.7109,6625.9746
267459305,1.8212,3891.6016,7087.2178
267459344,1.7156,3798.8281,6517.2041
267459384,1.6628,3823.2422,6357.2705
267459423,1.7684,3823.2422,6760.9063
267459463,1.5836,3808.5938,6031.3457
267459503,1.6100,3842.7734,6186.8979
267459542,1.6100,3823.2422,6155.4521
267459581,1.7156,3837.8906,6584.2188
267459620,1.6628,3803.7109,6324.7939
267459660,1.7948,3808.5938,6835.5254
267459700,1.7684,3779.2969,6683.1948
267459739,1.7948,3823.2422,6861.8159
267459779,1.8739,3754.8828,7036.4414
267459818,1.7684,3862.3047,6829.9834
267459858,1.7948,3803.7109,6826.7617
267459898,1.8212,3793.9453,6909.3706
267459937,1.7948,3828.1250,6870.5791
267459977,1.7684,3813.4766,6743.6372
267460016,1.7156,3808.5938,6533.9575
267460056,1.6364,3847.6563,6296.3125
267460096,1.6892,3833.0078,6474.6753
267460134,1.6628,3847.6563,6397.8662
267460174,1.6628,3837.8906,6381.6279
267460213,1.6364,3798.8281,6216.4102
267460253,1.6364,3842.7734,6288.3223
267460292,1.6892,3833.0078,6474.6753
267460332,1.6628,3759.7656,6251.7222
267460372,1.7684,3833.0078,6778.1758
267460411,1.8212,3779.2969,6882.6934
267460451,1.7948,3798.8281,6817.9985
267460490,1.8212,3798.8281,6918.2627
267460530,1.8476,3779.2969,6982.4424
267460570,1.7156,3818.3594,6550.7114
267460609,1.7684,3789.0625,6700.4644
267460648,1.7420,3769.5313,6566.4346
267460687,1.7420,3823.2422,6659.9976
267460727,1.8476,3774.4141,6973.4209
267460767,1.8476,3793.9453,7009.5059
267460806,1.9795,3793.9453,7510.1851
267460846,2.0587,3759.7656,7740.2271
267460885,2.0587,3759.7656,7740.2271
267460925,2.0851,3759.7656,7839.4609
267460965,2.2962,3730.4688,8566.0576
267461004,2.1907,3754.8828,8225.6982
267461044,2.3226,3715.8203,8630.4951
267461083,2.3490,3730.4688,8762.9785
267461123,2.2698,3754.8828,8523.0127
267461163,2.1379,3696.2891,7902.2227
267461201,1.9531,3798.8281,7419.5859
267461241,1.9531,3764.6484,7352.8291
267461280,1.8212,3774.4141,6873.8008
267461320,1.9003,3793.9453,7209.7778
267461360,1.7684,3813.4766,6743.6372
267461399,1.9795,3789.0625,7500.5195
267461439,2.0323,3764.6484,7650.9165
267461478,2.1115,3740.2344,7897.4541
267461518,2.2962,3754.8828,8622.1182
267461557,2.4018,3706.0547,8901.2607
267461597,2.4810,3759.7656,9327.9658
267461637,2.3490,3720.7031,8740.0391
267461676,2.2435,3735.3516,8380.0908
267461715,2.2962,3730.4688,8566.0576
267461754,2.4282,3715.8203,9022.7900
267461794,2.2698,3745.1172,8500.8467
267461834,2.2171,3725.5859,8259.8506
267461873,2.0059,3769.5313,7561.3481
267461913,2.0323,3779.2969,7680.6865
267461952,1.9531,3759.7656,7343.2920
267461992,2.0059,3789.0625,7600.5264
267462032,2.1907,3740.2344,8193.6084
267462071,2.2171,3764.6484,8346.4541
267462111,2.1379,3730.4688,7975.2949
267462150,2.2435,3735.3516,8380.0908
267462190,2.1379,3759.7656,8037.9282
267462230,2.0851,3720.7031,7758.0122
267462268,2.1115,3754.8828,7928.3843
267462308,2.1643,3759.7656,8137.1621
267462347,2.0587,3764.6484,7750.2793
267462387,2.0587,3784.1797,7790.4883
267462427,2.1379,3750.0000,8017.0503
267462466,2.1115,3774.4141,7969.6240
267462506,2.2435,3745.1172,8402.0000
267462545,2.2171,3725.5859,8259.8506
267462585,2.2962,3754.8828,8622.1182
267462625,2.2962,3745.1172,8599.6934
267462664,2.3490,3735.3516,8774.4482
267462704,2.3490,3676.7578,8636.8105
267462743,2.3490,3725.5859,8751.5088
267462782,2.3754,3681.6406,8745.4512
267462821,2.4018,3745.1172,8995.0820
267462861,2.3226,3715.8203,8630.4951
267462901,2.1907,3764.6484,8247.0918
267462940,2.1379,3725.5859,7964.8560
267462980,1.9531,3759.7656,7343.2920
267463019,2.0059,3793.9453,7610.3208
267463059,1.9531,3759.7656,7343.2920
267463099,2.0059,3784.1797,7590.7319
267463138,2.0059,3759.7656,7541.7593
267463178,2.0587,3764.6484,7750.2793
267463217,2.1379,3764.6484,8048.3667
267463257,2.1115,3725.5859,7866.5239
267463297,2.2171,3769.5313,8357.2803
267463335,2.2962,3735.3516,8577.2695
267463375,2.4282,3735.3516,9070.2168
267463414,2.3490,3745.1172,8797.3887
267463454,2.2698,3769.5313,8556.2627
267463494,2.4018,3730.4688,8959.8994
267463533,2.4282,3730.4688,9058.3594
267463573,2.3754,3715.8203,8826.6426
267463612,2.3490,3720.7031,8740.0391
267463652,2.1643,3754.8828,8126.5942
267463692,2.0587,3730.4688,7679.9136
267463731,2.0587,3774.4141,7770.3838
267463771,2.0587,3740.2344,7700.0181
267463810,2.1379,3754.8828,8027.4893
267463849,2.1643,3764.6484,8147.7300
267463889,2.1907,3750.0000,8215.0020
267463928,2.1379,3750.0000,8017.0503
267463968,2.2171,3706.0547,8216.5488
267464007,2.2171,3745.1172,8303.1523
267464047,2.1643,3730.4688,8073.7554
267464086,2.3226,3730.4688,8664.5176
267464126,2.2698,3750.0000,8511.9297
267464166,2.2962,3720.7031,8543.6328
267464205,2.3226,3764.6484,8743.9053
267464245,2.2435,3715.8203,8336.2734
267464284,2.1379,3754.8828,8027.4893
267464324,2.2435,3745.1172,8402.0000
267464364,2.1379,3730.4688,7975.2949
267464402,2.0587,3759.7656,7740.2271
267464442,2.1379,3745.1172,8006.6113
267464481,2.1907,3872.0703,8482.4170
267464521,2.1643,3735.3516,8084.3232
267464561,2.1379,3740.2344,7996.1724
267464600,2.1379,3754.8828,8027.4893
267464640,2.2698,3715.8203,8434.3467
267464679,2.2171,3715.8203,8238.1992
267464719,2.2171,3725.5859,8259.8506
267464759,2.3490,3740.2344,8785.9180
267464798,2.2435,3725.5859,8358.1826
267464838,2.3226,3735.3516,8675.8594
267464877,2.2171,3740.2344,8292.3271
267464916,2.3490,3696.2891,8682.6895
267464956,2.2435,3750.0000,8412.9541
267464995,2.2435,3745.1172,8402.0000
267465035,2.3226,3750.0000,8709.8818
267465074,2.2698,3740.2344,8489.7627
267465114,2.1643,3730.4688,8073.7554
267465154,2.0851,3759.7656,7839.4609
267465193,2.2698,3720.7031,8445.4297
267465233,2.1643,3769.5313,8158.2974
267465272,2.1643,3735.3516,8084.3232
267465312,2.2698,3759.7656,8534.0957
267465351,2.1115,3759.7656,7938.6943
267465391,2.1115,3715.8203,7845.9043
267465431,2.2698,3750.0000,8511.9297
267465469,2.2171,3730.4688,8270.6758
267465509,2.1643,3750.0000,8116.0264
267465548,2.2435,3735.3516,8380.0908
267465588,2.2435,3725.5859,8358.1826
267465628,2.0851,3750.0000,7819.0986
267465667,2.2171,3725.5859,8259.8506
267465707,2.1907,3759.7656,8236.3955
267465746,2.3226,3735.3516,8675.8594
267465786,2.2171,3740.2344,8292.3271
267465826,2.0851,3740.2344,7798.7368
267465865,2.1379,3730.4688,7975.2949
267465905,2.3226,3764.6484,8743.9053
267465944,2.1907,3740.2344,8193.6084
267465984,2.2171,3759.7656,8335.6289
267466023,2.2435,3730.4688,8369.1367
267466062,2.2698,3730.4688,8467.5967
267466102,2.2962,3735.3516,8577.2695
267466141,2.2435,3710.9375,8325.3193
267466181,2.1907,3764.6484,8247.0918
267466221,2.1379,3725.5859,7964.8560
267466260,2.2171,3745.1172,8303.1523
267466300,2.1643,3754.8828,8126.5942
267466339,2.2435,3735.3516,8380.0908
267466379,2.2698,3754.8828,8523.0127
267466419,2.1379,3745.1172,8006.6113
267466458,2.1643,3769.5313,8158.2974
267466498,2.2962,3735.3516,8577.2695
267466536,2.1643,3740.2344,8094.8911
267466576,2.2171,3740.2344,8292.3271
267466615,2.1907,3725.5859,8161.5186
267466655,2.1907,3754.8828,8225.6982
267466695,2.1907,3730.4688,8172.2153
267466734,2.2171,3750.0000,8313.9775
267466774,2.1907,3754.8828,8225.6982
267466813,2.1907,3710.9375,8129.4287
267466853,2.1907,3750.0000,8215.0020
267466893,2.2698,3740.2344,8489.7627
267466932,2.1907,3750.0000,8215.0020
267466972,2.2698,3735.3516,8478.6797
267467011,2.3754,3715.8203,8826.6426
267467051,2.2698,3750.0000,8511.9297
267467090,2.2962,3706.0547,8509.9971
267467129,2.2435,3745.1172,8402.0000
267467169,2.1643,3735.3516,8084.3232
267467208,2.0323,3745.1172,7611.2231
267467248,2.0059,3745.1172,7512.3760
267467288,2.0323,3740.2344,7601.2998
267467327,2.0323,3774.4141,7670.7632
267467367,2.2435,3725.5859,8358.1826
267467406,2.3226,3735.3516,8675.8594
267467446,2.3226,3720.7031,8641.8359
267467486,2.4282,3715.8203,9022.7900
267467525,2.4018,3720.7031,8936.4443
267467565,2.3754,3715.8203,8826.6426
267467603,2.1907,3764.6484,8247.0918
267467643,2.2698,3725.5859,8456.5137
267467683,2.2171,3725.5859,8259.8506
267467722,2.0851,3725.5859,7768.1934
267467762,2.1643,3779.2969,8179.4331
267467801,2.1115,3750.0000,7918.0742
267467841,2.0851,3740.2344,7798.7368
267467880,2.2171,3764.6484,8346.4541
267467920,2.2171,3710.9375,8227.3740
267467960,2.2962,3730.4688,8566.0576
267467999,2.3754,3701.1719,8791.8457
267468039,2.4546,3710.9375,9108.8779
267468078,2.3754,3720.7031,8838.2412
267468118,2.2698,3725.5859,8456.5137
267468157,2.1643,3759.7656,8137.1621
267468196,2.1115,3735.3516,7887.1440
267468236,2.1379,3759.7656,8037.9282
267468275,2.2698,3759.7656,8534.0957
267468315,2.1643,3754.8828,8126.5942
267468355,2.0587,3759.7656,7740.2271
267468394,2.0851,3735.3516,7788.5557
267468434,2.1379,3769.5313,8058.8057
267468473,2.1115,3769.5313,7959.3140
267468513,2.1115,3735.3516,7887.1440
267468553,2.1379,3754.8828,8027.4893
267468592,2.3226,3706.0547,8607.8125
267468632,2.3754,3745.1172,8896.2344
267468670,2.3754,3706.0547,8803.4443
267468710,2.4018,3725.5859,8948.1719
267468750,2.3226,3701.1719,8596.4717
267468789,2.3226,3857.4219,8959.3838
267468829,2.3226,3706.0547,8607.8125
267468868,2.2171,3730.4688,8270.6758
267468908,2.1379,3754.8828,8027.4893
267468948,2.1115,3759.7656,7938.6943
267468987,2.0587,3764.6484,7750.2793
267469027,2.0587,3750.0000,7720.1226
267469066,2.0059,3759.7656,7541.7593
267469106,2.0323,3686.5234,7492.1426
267469145,2.0323,3735.3516,7591.3765
267469185,2.1643,3754.8828,8126.5942
267469224,2.2698,3735.3516,8478.6797
267469263,2.4282,3725.5859,9046.5029
267469303,2.3490,3725.5859,8751.5088
267469342,2.3490,3696.2891,8682.6895
267469382,2.3754,3725.5859,8849.8398
267469422,2.2962,3706.0547,8509.9971
267469461,2.2435,3735.3516,8380.0908
267469501,2.2171,3701.1719,8205.7227
267469540,2.2435,3740.2344,8391.0459
267469580,2.3226,3720.7031,8641.8359
267469620,2.2171,3710.9375,8227.3740
267469659,2.1907,3745.1172,8204.3057
267469699,2.1907,3715.8203,8140.1255
267469737,2.0587,3720.7031,7659.8091
267469777,2.1907,3740.2344,8193.6084
267469817,2.0323,3764.6484,7650.9165
267469856,2.0587,3764.6484,7750.2793
267469896,2.0587,3735.3516,7689.9658
267469935,2.0851,3759.7656,7839.4609
267469975,2.2171,3740.2344,8292.3271
267470015,2.2171,3715.8203,8238.1992
267470054,2.2435,3750.0000,8412.9541
267470094,2.2962,3710.9375,8521.2090
267470133,2.2698,3754.8828,8523.0127
267470173,2.4282,3706.0547,8999.0771
267470213,2.3754,3715.8203,8826.6426
267470252,2.2435,3715.8203,8336.2734
267470291,2.2698,3725.5859,8456.5137
267470330,2.2171,3759.7656,8335.6289
267470370,2.1907,3725.5859,8161.5186
267470409,2.1907,3754.8828,8225.6982
267470449,2.0851,3740.2344,7798.7368
267470489,2.0851,3750.0000,7819.0986
267470528,2.1115,3754.8828,7928.3843
267470568,2.2435,3725.5859,8358.1826
267470607,2.2171,3745.1172,8303.1523
267470647,2.2171,3730.4688,8270.6758
267470687,2.2698,3725.5859,8456.5137
267470726,2.2698,3730.4688,8467.5967
267470766,2.2435,3720.7031,8347.2275
267470804,2.2698,3750.0000,8511.9297
267470844,2.2171,3740.2344,8292.3271
267470884,2.0323,3769.5313,7660.8398
267470923,2.0851,3750.0000,7819.0986
267470963,2.1379,3730.4688,7975.2949
267471002,2.2435,3740.2344,8391.0459
267471042,2.2698,3720.7031,8445.4297
267471082,2.3490,3759.7656,8831.7979
267471121,2.3490,3720.7031,8740.0391
267471161,2.4018,3720.7031,8936.4443
267471200,2.3490,3710.9375,8717.0996
267471240,2.2698,3720.7031,8445.4297
267471280,2.2962,3745.1172,8599.6934
267471319,2.1907,3715.8203,8140.1255
267471358,2.1907,3740.2344,8193.6084
267471397,2.2435,3774.4141,8467.7256
267471437,2.1379,3745.1172,8006.6113
267471477,2.1115,3754.8828,7928.3843
267471516,2.1643,3725.5859,8063.1880
267471556,2.1115,3769.5313,7959.3140
267471595,2.1379,3696.2891,7902.2227
267471635,2.0851,3754.8828,7829.2798
267471674,2.0059,3764.6484,7551.5537
267471714,2.1379,3745.1172,8006.6113
267471754,2.1643,3769.5313,8158.2974
267471793,2.2435,3715.8203,8336.2734
267471833,2.2698,3730.4688,8467.5967
267471872,2.2962,3745.1172,8599.6934
267471911,2.2698,3735.3516,8478.6797
267471951,2.4018,3725.5859,8948.1719
267471990,2.2962,3686.5234,8465.1484
267472030,2.2962,3745.1172,8599.6934
267472069,2.1643,3715.8203,8042.0522
267472109,2.2171,3710.9375,8227.3740
267472149,2.1115,3720.7031,7856.2144
267472188,2.2171,3730.4688,8270.6758
267472228,2.1115,3754.8828,7928.3843
267472267,2.1379,3759.7656,8037.9282
267472307,2.1115,3759.7656,7938.6943
267472347,2.0851,3720.7031,7758.0122
267472386,2.1907,3740.2344,8193.6084
267472425,2.2962,3759.7656,8633.3301
267472464,2.3754,3696.2891,8780.2471
267472504,2.3226,3735.3516,8675.8594
267472544,2.3226,3696.2891,8585.1309
267472583,2.3490,3735.3516,8774.4482
267472623,2.3754,3720.7031,8838.2412
267472662,2.2698,3715.8203,8434.3467
267472702,2.2962,3740.2344,8588.4814
267472742,2.1907,3735.3516,8182.9121
267472781,2.1115,3759.7656,7938.6943
267472821,2.2435,3730.4688,8369.1367
267472860,2.0851,3764.6484,7849.6421
267472900,2.1115,3745.1172,7907.7642
267472939,2.0851,3720.7031,7758.0122
267472978,2.1643,3764.6484,8147.7300
267473018,2.1115,3740.2344,7897.4541
267473057,2.2435,3759.7656,8434.8633
267473097,2.2171,3730.4688,8270.6758
267473136,2.2698,3725.5859,8456.5137
267473176,2.2435,3745.1172,8402.0000
267473216,2.2698,3710.9375,8423.2637
267473255,2.2435,3745.1172,8402.0000
267473295,2.2698,3720.7031,8445.4297
267473334,2.2171,3730.4688,8270.6758
267473374,2.2171,3745.1172,8303.1523
267473414,2.2962,3725.5859,8554.8447
267473453,2.1379,3603.5156,7703.8843
267473492,2.2171,3730.4688,8270.6758
267473531,2.1643,3710.9375,8031.4844
267473571,2.3490,3730.4688,8762.9785
267473611,2.0851,3725.5859,7768.1934
