007,0.2LL???8.891,846.4504
101552685,2.0851,3784.1797,7890.3667
101552723,2.0323,3784.1797,7690.6099
101552763,2.0587,3808.5938,7840.7495
101552802,2.0059,3798.8281,7620.1152
101552842,2.1379,3750.0000,8017.0503
101552881,2.2171,3779.2969,8378.9307
101552921,2.2171,3793.9453,8411.4072
101552961,2.2962,3745.1172,8599.6934
101553000,2.2171,3750.0000,8313.9775
101553040,2.1907,3769.5313,8257.7881
101553079,2.2698,3784.1797,8589.5117
101553119,2.1907,3750.0000,8215.0020
101553159,2.1115,3759.7656,7938.6943
101553198,2.1115,3793.9453,8010.8643
101553238,2.1379,3764.6484,8048.3667
101553276,2.1379,3754.8828,8027.4893
101553316,2.0587,3784.1797,7790.4883
101553356,2.1379,3789.0625,8100.5610
101553395,2.1115,3769.5313,7959.3140
101553435,2.1115,3759.7656,7938.6943
101553474,2.2171,3784.1797,8389.7568
101553514,2.1115,3769.5313,7959.3140
101553554,2.1643,3740.2344,8094.8911
101553593,2.2171,3764.6484,8346.4541
101553633,2.1907,3779.2969,8279.1816
101553672,2.0851,3759.7656,7839.4609
101553712,2.1643,3754.8828,8126.5942
101553752,2.1379,3774.4141,8069.2446
101553790,2.1643,3779.2969,8179.4331
101553830,2.2962,3754.8828,8622.1182
101553869,2.0587,3764.6484,7750.2793
101553909,2.1379,3789.0625,8100.5610
101553949,2.2435,3764.6484,8445.8174
101553988,2.3754,3725.5859,8849.8398
101554028,2.2171,3754.8828,8324.8037
101554067,2.3754,3774.4141,8965.8271
101554107,2.2171,3764.6484,8346.4541
101554146,2.1907,3735.3516,8182.9121
101554186,2.1643,3754.8828,8126.5942
101554226,2.2698,3779.2969,8578.4287
101554265,2.2171,3754.8828,8324.8037
101554305,2.2171,3740.2344,8292.3271
101554343,2.1379,3779.2969,8079.6836
101554383,2.1907,3784.1797,8289.8779
101554423,2.1379,3754.8828,8027.4893
101554462,2.1115,3774.4141,7969.6240
101554502,2.1115,3784.1797,7990.2441
101554541,2.1379,3774.4141,8069.2446
101554581,2.1379,3745.1172,8006.6113
101554621,2.1907,3774.4141,8268.4854
101554660,2.1907,3774.4141,8268.4854
101554700,2.2435,3764.6484,8445.8174
101554739,2.1907,3740.2344,8193.6084
101554779,2.2698,3769.5313,8556.2627
101554819,2.2171,3779.2969,8378.9307
101554857,2.2171,3750.0000,8313.9775
101554897,2.1907,3754.8828,8225.6982
101554936,2.1643,3774.4141,8168.8652
101554976,2.1115,3779.2969,7979.9341
101555016,2.1115,3745.1172,7907.7642
101555055,2.1379,3750.0000,8017.0503
101555095,2.2171,3789.0625,8400.5820
101555134,2.3226,3774.4141,8766.5869
101555174,2.1907,3730.4688,8172.2153
101555214,2.2171,3764.6484,8346.4541
101555253,2.3226,3759.7656,8732.5635
101555293,2.2435,3750.0000,8412.9541
101555332,2.3490,3730.4688,8762.9785
101555372,2.2435,3754.8828,8423.9082
101555410,2.1643,3774.4141,8168.8652
101555450,2.2435,3769.5313,8456.7715
101555490,2.2962,3750.0000,8610.9053
101555529,2.1115,3779.2969,7979.9341
101555569,2.0587,3793.9453,7810.5928
101555608,2.0059,3774.4141,7571.1426
101555648,2.0851,3774.4141,7870.0044
101555688,2.1379,3764.6484,8048.3667
101555727,2.2435,3789.0625,8500.5889
101555767,2.1643,3745.1172,8105.4590
101555806,2.3226,3750.0000,8709.8818
101555846,2.2962,3769.5313,8655.7539
101555886,2.2962,3769.5313,8655.7539
101555924,2.2962,3720.7031,8543.6328
101555964,2.4018,3750.0000,9006.8096
101556003,2.2435,3769.5313,8456.7715
101556043,2.1643,3774.4141,8168.8652
101556083,2.1115,3735.3516,7887.1440
101556122,2.0587,3769.5313,7760.3315
101556162,2.1643,3793.9453,8211.1357
101556201,2.1115,3774.4141,7969.6240
101556241,2.1379,3735.3516,7985.7339
101556281,2.2435,3759.7656,8434.8633
101556320,2.3226,3774.4141,8766.5869
101556360,2.1643,3759.7656,8137.1621
101556399,2.2698,3740.2344,8489.7627
101556439,2.2435,3750.0000,8412.9541
101556478,2.3490,3774.4141,8866.2070
101556517,2.2962,3764.6484,8644.5420
101556557,2.1907,3740.2344,8193.6084
101556596,2.1907,3754.8828,8225.6982
101556636,2.2435,3774.4141,8467.7256
101556675,2.1907,3774.4141,8268.4854
101556715,2.2435,3725.5859,8358.1826
101556755,2.2962,3745.1172,8599.6934
101556794,2.2962,3764.6484,8644.5420
101556834,2.2435,3769.5313,8456.7715
101556873,2.2962,3715.8203,8532.4209
101556913,2.2698,3735.3516,8478.6797
101556953,2.1643,3769.5313,8158.2974
101556992,2.2698,3774.4141,8567.3457
101557031,2.1907,3740.2344,8193.6084
101557070,2.1379,3754.8828,8027.4893
101557110,2.2171,3779.2969,8378.9307
101557150,2.2435,3774.4141,8467.7256
101557189,2.2435,3745.1172,8402.0000
101557229,2.2435,3730.4688,8369.1367
101557268,2.2435,3750.0000,8412.9541
101557308,2.2698,3764.6484,8545.1797
101557348,2.1643,3750.0000,8116.0264
101557387,2.1643,3750.0000,8116.0264
101557427,2.2171,3764.6484,8346.4541
101557466,2.1643,3764.6484,8147.7300
101557506,2.2698,3754.8828,8523.0127
101557545,2.2698,3735.3516,8478.6797
101557584,2.1379,3764.6484,8048.3667
101557624,2.3226,3764.6484,8743.9053
101557663,2.2698,3730.4688,8467.5967
101557703,2.2435,3730.4688,8369.1367
101557743,2.2962,3764.6484,8644.5420
101557782,2.2698,3774.4141,8567.3457
101557822,2.2962,3754.8828,8622.1182
101557861,2.1643,3745.1172,8105.4590
101557901,2.1379,3769.5313,8058.8057
101557940,2.1379,3784.1797,8090.1226
101557980,2.1907,3759.7656,8236.3955
101558020,2.2962,3720.7031,8543.6328
101558059,2.2962,3745.1172,8599.6934
101558098,2.2962,3769.5313,8655.7539
101558137,2.2698,3740.2344,8489.7627
101558177,2.3226,3745.1172,8698.5410
101558217,2.2435,3764.6484,8445.8174
101558256,2.1643,3784.1797,8190.0005
101558296,2.1115,3754.8828,7928.3843
101558335,2.1643,3735.3516,8084.3232
101558375,2.1379,3759.7656,8037.9282
101558415,2.2698,3774.4141,8567.3457
101558454,2.3226,3750.0000,8709.8818
101558494,2.2435,3735.3516,8380.0908
101558533,2.2698,3745.1172,8500.8467
101558573,2.2962,3769.5313,8655.7539
101558612,2.2171,3740.2344,8292.3271
101558651,2.3226,3730.4688,8664.5176
101558691,2.2171,3750.0000,8313.9775
101558730,2.1907,3769.5313,8257.7881
101558770,2.2698,3754.8828,8523.0127
101558810,2.2962,3735.3516,8577.2695
101558849,2.2962,3754.8828,8622.1182
101558889,2.1115,3779.2969,7979.9341
101558928,2.1379,3764.6484,8048.3667
101558968,2.1115,3759.7656,7938.6943
101559008,2.0587,3774.4141,7770.3838
101559047,2.0059,3779.2969,7580.9370
101559087,2.1115,3769.5313,7959.3140
101559126,2.2435,3745.1172,8402.0000
101559165,2.1907,3750.0000,8215.0020
101559204,2.2435,3759.7656,8434.8633
101559244,2.3754,3725.5859,8849.8398
101559284,2.4018,3720.7031,8936.4443
101559323,2.4282,3735.3516,9070.2168
101559363,2.4018,3754.8828,9018.5371
101559402,2.2698,3750.0000,8511.9297
101559442,2.1907,3735.3516,8182.9121
101559482,2.2698,3735.3516,8478.6797
101559521,2.1907,3754.8828,8225.6982
101559561,2.1643,3774.4141,8168.8652
101559600,2.0323,3750.0000,7621.1465
101559640,2.0323,3769.5313,7660.8398
101559680,2.1907,3769.5313,8257.7881
101559718,2.1643,3769.5313,8158.2974
101559758,2.1115,3750.0000,7918.0742
101559797,2.2962,3759.7656,8633.3301
101559837,2.1643,3769.5313,8158.2974
101559877,2.2698,3754.8828,8523.0127
101559916,2.2962,3730.4688,8566.0576
101559956,2.3490,3735.3516,8774.4482
101559995,2.3754,3759.7656,8931.0313
101560035,2.2435,3750.0000,8412.9541
101560075,2.3490,3715.8203,8728.5693
101560114,2.3754,3720.7031,8838.2412
101560154,2.2698,3745.1172,8500.8467
101560193,2.2698,3759.7656,8534.0957
101560232,2.2435,3735.3516,8380.0908
101560272,2.2698,3740.2344,8489.7627
101560311,2.1115,3769.5313,7959.3140
101560351,2.0587,3784.1797,7790.4883
101560390,2.2171,3769.5313,8357.2803
101560430,2.1379,3750.0000,8017.0503
101560469,2.1379,3759.7656,8037.9282
101560509,2.1379,3774.4141,8069.2446
101560549,2.1115,3774.4141,7969.6240
101560588,2.2171,3725.5859,8259.8506
101560628,2.3226,3750.0000,8709.8818
101560667,2.2962,3754.8828,8622.1182
101560707,2.2171,3754.8828,8324.8037
101560747,2.2962,3720.7031,8543.6328
101560785,2.1379,3740.2344,7996.1724
101560825,2.2435,3774.4141,8467.7256
101560864,2.1907,3754.8828,8225.6982
101560904,2.2171,3735.3516,8281.5020
101560944,2.1379,3745.1172,8006.6113
101560983,2.2698,3764.6484,8545.1797
101561023,2.2171,3769.5313,8357.2803
101561062,2.1907,3745.1172,8204.3057
101561102,2.2698,3720.7031,8445.4297
101561142,2.2962,3750.0000,8610.9053
101561181,2.2435,3759.7656,8434.8633
101561221,2.1115,3774.4141,7969.6240
101561260,2.1643,3745.1172,8105.4590
101561299,2.1115,3769.5313,7959.3140
101561339,2.1379,3784.1797,8090.1226
101561378,2.2435,3750.0000,8412.9541
101561418,2.4018,3710.9375,8912.9883
101561457,2.3226,3745.1172,8698.5410
101561497,2.2698,3759.7656,8534.0957
101561537,2.1907,3779.2969,8279.1816
101561576,2.2435,3759.7656,8434.8633
101561616,2.1115,3759.7656,7938.6943
101561655,2.1907,3774.4141,8268.4854
101561695,2.1379,3784.1797,8090.1226
101561734,2.1643,3740.2344,8094.8911
101561774,2.1907,3754.8828,8225.6982
101561814,2.0323,3779.2969,7680.6865
101561852,2.0323,3793.9453,7710.4565
101561892,2.2698,3759.7656,8534.0957
101561931,2.2435,3740.2344,8391.0459
101561971,2.4282,3730.4688,9058.3594
101562011,2.3226,3745.1172,8698.5410
101562050,2.4282,3745.1172,9093.9297
101562090,2.2435,3715.8203,8336.2734
101562129,2.4546,3725.5859,9144.8340
101562169,2.2435,3745.1172,8402.0000
101562209,2.2435,3759.7656,8434.8633
101562248,2.1907,3745.1172,8204.3057
101562288,2.1115,3740.2344,7897.4541
101562327,2.1907,3769.5313,8257.7881
101562366,2.1643,3784.1797,8190.0005
101562406,2.2962,3764.6484,8644.5420
101562445,2.2698,3730.4688,8467.5967
101562485,2.2962,3750.0000,8610.9053
101562524,2.3226,3764.6484,8743.9053
101562564,2.2698,3745.1172,8500.8467
101562604,2.3490,3720.7031,8740.0391
101562643,2.2435,3750.0000,8412.9541
101562683,2.2171,3769.5313,8357.2803
101562722,2.1379,3774.4141,8069.2446
101562762,2.1115,3745.1172,7907.7642
101562802,2.2435,3754.8828,8423.9082
101562841,2.1907,3764.6484,8247.0918
101562881,2.3226,3769.5313,8755.2461
101562919,2.1907,3730.4688,8172.2153
101562959,2.2435,3735.3516,8380.0908
101562998,2.2171,3759.7656,8335.6289
101563038,2.2698,3754.8828,8523.0127
101563078,2.3226,3730.4688,8664.5176
101563117,2.2435,3735.3516,8380.0908
101563157,2.2698,3769.5313,8556.2627
101563196,2.2435,3779.2969,8478.6807
101563236,2.1907,3725.5859,8161.5186
101563276,2.1907,3735.3516,8182.9121
101563315,2.2171,3769.5313,8357.2803
101563355,2.2962,3759.7656,8633.3301
101563394,2.0851,3745.1172,7808.9175
101563433,2.1379,3735.3516,7985.7339
101563473,2.2962,3764.6484,8644.5420
101563512,2.2698,3774.4141,8567.3457
101563552,2.2435,3735.3516,8380.0908
101563591,2.2962,3740.2344,8588.4814
101563631,2.3226,3754.8828,8721.2227
101563671,2.3226,3769.5313,8755.2461
101563710,2.2698,3759.7656,8534.0957
101563750,2.2171,3725.5859,8259.8506
101563789,2.1907,3759.7656,8236.3955
101563829,2.1379,3769.5313,8058.8057
101563869,2.1643,3745.1172,8105.4590
101563908,2.2435,3730.4688,8369.1367
101563948,2.1907,3750.0000,8215.0020
101563986,2.2698,3769.5313,8556.2627
101564026,2.2698,3750.0000,8511.9297
101564066,2.1379,3720.7031,7954.4170
101564105,2.1643,3750.0000,8116.0264
101564145,2.1379,3784.1797,8090.1226
101564184,2.2435,3769.5313,8456.7715
101564224,2.1907,3735.3516,8182.9121
101564263,2.2698,3745.1172,8500.8467
101564303,2.1907,3774.4141,8268.4854
101564343,2.1907,3769.5313,8257.7881
101564382,2.2435,3735.3516,8380.0908
101564422,2.2435,3735.3516,8380.0908
101564461,2.2171,3754.8828,8324.8037
101564500,2.2171,3769.5313,8357.2803
101564540,2.1907,3735.3516,8182.9121
101564579,2.1379,3750.0000,8017.0503
101564619,2.0587,3784.1797,7790.4883
101564658,2.2171,3769.5313,8357.2803
101564698,2.2435,3735.3516,8380.0908
101564738,2.1115,3759.7656,7938.6943
101564777,2.2435,3769.5313,8456.7715
101564817,2.2962,3735.3516,8577.2695
101564856,2.2698,3725.5859,8456.5137
101564896,2.2698,3735.3516,8478.6797
101564936,2.3490,3754.8828,8820.3281
101564975,2.2171,3754.8828,8324.8037
101565015,2.2962,3735.3516,8577.2695
101565053,2.2435,3750.0000,8412.9541
101565093,2.2171,3764.6484,8346.4541
101565133,2.1643,3759.7656,8137.1621
101565172,2.1907,3730.4688,8172.2153
101565212,2.2698,3750.0000,8511.9297
101565251,2.3226,3779.2969,8777.9277
101565291,2.1643,3759.7656,8137.1621
101565331,2.2962,3730.4688,8566.0576
101565370,2.3226,3740.2344,8687.2002
101565410,2.3490,3764.6484,8843.2676
101565449,2.2435,3740.2344,8391.0459
101565489,2.2171,3740.2344,8292.3271
101565528,2.2171,3754.8828,8324.8037
101565568,2.1643,3764.6484,8147.7300
101565607,2.2962,3745.1172,8599.6934
101565646,2.2435,3720.7031,8347.2275
101565686,2.2962,3735.3516,8577.2695
101565725,2.3490,3759.7656,8831.7979
101565765,2.3754,3745.1172,8896.2344
101565805,2.1379,3715.8203,7943.9780
101565844,2.1907,3750.0000,8215.0020
101565884,2.1907,3769.5313,8257.7881
101565923,2.1115,3750.0000,7918.0742
101565963,2.1643,3735.3516,8084.3232
101566003,2.2171,3754.8828,8324.8037
101566042,2.2435,3764.6484,8445.8174
101566082,2.2435,3735.3516,8380.0908
101566120,2.4282,3715.8203,9022.7900
101566160,2.4282,3725.5859,9046.5029
101566200,2.3754,3754.8828,8919.4326
101566239,2.2962,3759.7656,8633.3301
101566279,2.2962,3735.3516,8577.2695
101566318,2.2962,3750.0000,8610.9053
101566358,2.2435,3759.7656,8434.8633
101566398,2.1907,3769.5313,8257.7881
101566437,2.1907,3750.0000,8215.0020
101566477,2.0851,3759.7656,7839.4609
101566516,2.2435,3769.5313,8456.7715
101566556,2.2698,3764.6484,8545.1797
101566596,2.1643,3730.4688,8073.7554
101566635,2.2171,3750.0000,8313.9775
101566674,2.2698,3750.0000,8511.9297
101566713,2.2962,3745.1172,8599.6934
101566753,2.3490,3715.8203,8728.5693
101566792,2.3490,3730.4688,8762.9785
101566832,2.2962,3745.1172,8599.6934
101566872,2.2698,3759.7656,8534.0957
101566911,2.2962,3730.4688,8566.0576
101566951,2.3226,3735.3516,8675.8594
101566990,2.2435,3759.7656,8434.8633
101567030,2.2171,3754.8828,8324.8037
101567070,2.2698,3725.5859,8456.5137
101567109,2.3226,3740.2344,8687.2002
101567149,2.2435,3750.0000,8412.9541
101567187,2.2435,3759.7656,8434.8633
101567227,2.1115,3735.3516,7887.1440
101567267,2.1643,3754.8828,8126.5942
101567306,2.2171,3774.4141,8368.1055
101567346,2.0851,3779.2969,7880.1855
101567385,2.1115,3740.2344,7897.4541
101567425,2.2171,3759.7656,8335.6289
101567465,2.1643,3774.4141,8168.8652
101567504,2.2171,3769.5313,8357.2803
101567544,2.1643,3740.2344,8094.8911
101567583,2.3226,3745.1172,8698.5410
101567623,2.3226,3759.7656,8732.5635
101567663,2.3490,3750.0000,8808.8584
101567702,2.2435,3715.8203,8336.2734
101567741,2.2962,3740.2344,8588.4814
101567780,2.2698,3759.7656,8534.0957
101567820,2.2962,3745.1172,8599.6934
101567860,2.3226,3720.7031,8641.8359
101567899,2.2698,3745.1172,8500.8467
101567939,2.1643,3754.8828,8126.5942
101567978,2.2698,3764.6484,8545.1797
101568018,2.1643,3735.3516,8084.3232
101568057,2.2435,3764.6484,8445.8174
101568097,2.2962,3764.6484,8644.5420
101568137,2.2698,3750.0000,8511.9297
101568176,2.1643,3740.2344,8094.8911
101568216,2.3226,3769.5313,8755.2461
101568254,2.1379,3759.7656,8037.9282
101568294,2.1907,3730.4688,8172.2153
101568334,2.2435,3745.1172,8402.0000
101568373,2.3226,3764.6484,8743.9053
101568413,2.1643,3750.0000,8116.0264
101568452,2.1907,3730.4688,8172.2153
101568492,2.2698,3750.0000,8511.9297
101568532,2.2171,3774.4141,8368.1055
101568571,2.1907,3759.7656,8236.3955
101568611,2.1643,3740.2344,8094.8911
101568650,2.2962,3754.8828,8622.1182
101568690,2.2171,3764.6484,8346.4541
101568730,2.2171,3735.3516,8281.5020
101568769,2.2698,3725.5859,8456.5137
101568808,2.1907,3750.0000,8215.0020
101568847,2.3490,3774.4141,8866.2070
101568887,2.2435,3750.0000,8412.9541
101568927,2.1643,3745.1172,8105.4590
101568966,2.0851,3769.5313,7859.8232
101569006,2.1115,3769.5313,7959.3140
101569045,2.1907,3735.3516,8182.9121
101569085,2.2962,3730.4688,8566.0576
101569125,2.2962,3754.8828,8622.1182
101569164,2.3226,3730.4688,8664.5176
101569204,2.2962,3720.7031,8543.6328
101569243,2.3226,3740.2344,8687.2002
101569283,2.3490,3764.6484,8843.2676
101569321,2.2962,3745.1172,8599.6934
101569361,2.2435,3730.4688,8369.1367
101569401,2.1907,3745.1172,8204.3057
101569440,2.1907,3769.5313,8257.7881
101569480,2.2698,3740.2344,8489.7627
101569519,2.1115,3750.0000,7918.0742
101569559,2.1379,3769.5313,8058.8057
101569599,2.1643,3784.1797,8190.0005
101569638,2.1115,3735.3516,7887.1440
101569678,2.1643,3769.5313,8158.2974
101569717,2.1907,3769.5313,8257.7881
101569757,2.1643,3745.1172,8105.4590
101569797,2.2435,3730.4688,8369.1367
101569836,2.3490,3745.1172,8797.3887
101569875,2.3754,3745.1172,8896.2344
101569914,2.3226,3735.3516,8675.8594
101569954,2.3754,3720.7031,8838.2412
101569994,2.4018,3740.2344,8983.3545
101570033,2.2698,3750.0000,8511.9297
101570073,2.2698,3745.1172,8500.8467
101570112,2.2698,3730.4688,8467.5967
101570152,2.2171,3764.6484,8346.4541
101570192,2.0851,3779.2969,7880.1855
101570231,2.0587,3754.8828,7730.1748
101570271,2.1643,3745.1172,8105.4590
101570310,2.2962,3774.4141,8666.9658
101570350,2.2698,3769.5313,8556.2627
101570390,2.2698,3725.5859,8456.5137
101570428,2.3490,3735.3516,8774.4482
101570468,2.3226,3754.8828,8721.2227
101570507,2.2698,3750.0000,8511.9297
101570547,2.1643,3735.3516,8084.3232
101570586,2.1643,3754.8828,8126.5942
101570626,2.1643,3774.4141,8168.8652
101570666,2.0851,3759.7656,7839.4609
101570705,2.2435,3735.3516,8380.0908
101570745,2.1907,3759.7656,8236.3955
101570784,2.1379,3764.6484,8048.3667
