76,0.21LL??.059,852.6364
100609932,0.1848,4062.5000,750.5675
100609970,0.2639,4057.6172,1070.9504
100610010,0.1848,4057.6172,749.6653
100610048,0.1848,4062.5000,750.5675
100610086,0.1848,4062.5000,750.5675
100610124,0.3167,4057.6172,1285.1405
100610164,0.2639,4062.5000,1072.2393
100610204,0.3431,4052.7344,1390.5603
100610243,0.1584,4062.5000,643.3435
100610282,0.2111,4062.5000,857.7914
100610320,0.1848,4057.6172,749.6653
100610359,0.1584,4062.5000,643.3435
100610398,0.2639,4057.6172,1070.9504
100610437,0.1848,4062.5000,750.5675
100610476,0.1584,4062.5000,643.3435
100610513,1.7156,3857.4219,6617.7266
100610553,1.7684,3881.8359,6864.5220
100610593,1.4780,3925.7813,5802.4639
100610632,1.3989,3911.1328,5471.1265
100610672,1.1877,3916.0156,4651.0952
100610711,1.2669,3911.1328,4954.9824
100610751,1.2141,3945.3125,4790.0229
100610790,1.2141,3935.5469,4778.1660
100610830,1.1613,3950.1953,4587.4312
100610870,1.2405,3930.6641,4875.9819
100610909,1.1349,3916.0156,4444.3799
100610949,1.2141,3959.9609,4807.8076
100610988,1.1613,3955.0781,4593.1016
100611027,1.0557,3945.3125,4165.2368
100611067,1.1613,3925.7813,4559.0786
100611106,1.0821,3940.4297,4264.0845
100611146,1.0821,3959.9609,4285.2197
100611185,1.2669,3950.1953,5004.4702
100611225,1.2141,3916.0156,4754.4531
100611265,1.1613,3935.5469,4570.4199
100611304,1.3197,3930.6641,5187.2148
100611344,1.3989,3925.7813,5491.6172
100611383,1.4780,3906.2500,5773.5962
100611423,1.5572,3867.1875,6022.0669
100611463,1.5308,3886.7188,5949.8970
100611502,1.6100,3916.0156,6304.8184
100611542,1.7948,3862.3047,6931.9238
100611580,1.9003,3813.4766,7246.8936
100611620,1.9531,3837.8906,7495.8799
100611660,1.9267,3876.9531,7469.8477
100611699,1.7948,3867.1875,6940.6870
100611739,1.7684,3862.3047,6829.9834
100611778,1.6628,3852.5391,6405.9854
100611818,1.6628,3881.8359,6454.7002
100611858,1.7420,3901.3672,6796.0894
100611897,1.6892,3896.4844,6581.8994
100611937,1.7156,3847.6563,6600.9727
100611976,1.7420,3852.5391,6711.0322
100612016,1.7156,3881.8359,6659.6108
100612055,1.7156,3872.0703,6642.8569
100612094,1.7156,3867.1875,6634.4800
100612134,1.7156,3847.6563,6600.9727
100612173,1.7156,3867.1875,6634.4800
100612213,1.7420,3876.9531,6753.5605
100612252,1.8212,3867.1875,7042.7559
100612292,1.7948,3823.2422,6861.8159
100612332,1.7948,3852.5391,6914.3970
100612371,1.7684,3872.0703,6847.2524
100612411,1.7420,3872.0703,6745.0552
100612450,1.7156,3867.1875,6634.4800
100612490,1.6628,3847.6563,6397.8662
100612530,1.7684,3862.3047,6829.9834
100612569,1.6892,3886.7188,6565.4033
100612609,1.7948,3862.3047,6931.9238
100612647,1.8476,3857.4219,7126.7822
100612687,1.9267,3837.8906,7394.5845
100612727,1.9267,3857.4219,7432.2163
100612766,2.0059,3862.3047,7747.4434
100612806,1.9795,3828.1250,7577.8442
100612845,1.9003,3823.2422,7265.4517
100612885,1.9003,3847.6563,7311.8467
100612925,1.9531,3862.3047,7543.5640
100612964,1.9267,3842.7734,7403.9927
100613004,1.8476,3823.2422,7063.6333
100613043,1.8739,3842.7734,7201.1436
100613083,1.9267,3862.3047,7441.6240
100613123,1.9267,3862.3047,7441.6240
100613161,1.9267,3837.8906,7394.5845
100613201,1.9795,3813.4766,7548.8477
100613240,1.9531,3842.7734,7505.4170
100613280,1.9267,3852.5391,7422.8081
100613319,2.0059,3847.6563,7718.0601
100613359,1.9531,3813.4766,7448.1963
100613399,1.9795,3833.0078,7587.5098
100613438,2.0059,3852.5391,7727.8545
100613478,1.9795,3852.5391,7626.1724
100613517,2.0059,3803.7109,7629.9097
100613557,1.9267,3813.4766,7347.5454
100613597,1.9795,3837.8906,7597.1758
100613636,2.0059,3847.6563,7718.0601
100613676,2.0059,3823.2422,7669.0874
100613714,2.0059,3803.7109,7629.9097
100613754,2.0059,3833.0078,7688.6768
100613794,2.0851,3828.1250,7981.9966
100613833,2.0851,3837.8906,8002.3589
100613873,2.0587,3823.2422,7870.9063
100613912,2.0059,3823.2422,7669.0874
100613952,2.0851,3842.7734,8012.5400
100613992,1.9531,3837.8906,7495.8799
100614031,1.9531,3818.3594,7457.7334
100614071,2.0851,3798.8281,7920.9102
100614110,2.0587,3808.5938,7840.7495
100614150,2.1907,3833.0078,8396.8447
100614190,2.1115,3833.0078,8093.3442
100614228,2.0587,3808.5938,7840.7495
100614268,2.1115,3823.2422,8072.7241
100614307,2.1379,3833.0078,8194.5107
100614347,2.0851,3837.8906,8002.3589
100614387,2.0587,3813.4766,7850.8018
100614426,2.1643,3793.9453,8211.1357
100614466,2.0851,3823.2422,7971.8154
100614505,2.0323,3828.1250,7779.9204
100614545,2.1379,3828.1250,8184.0723
100614584,2.1115,3793.9453,8010.8643
100614624,2.2171,3813.4766,8454.7090
100614664,2.0851,3813.4766,7951.4531
100614703,2.0587,3833.0078,7891.0107
100614743,2.2171,3818.3594,8465.5352
100614781,2.1379,3784.1797,8090.1226
100614821,2.1115,3818.3594,8062.4141
100614861,2.0587,3837.8906,7901.0630
100614900,2.1115,3833.0078,8093.3442
100614940,2.1379,3793.9453,8111.0000
100614979,2.1115,3789.0625,8000.5542
100615019,2.1115,3808.5938,8041.7939
100615059,2.0851,3842.7734,8012.5400
100615098,1.9795,3828.1250,7577.8442
100615138,2.0851,3769.5313,7859.8232
100615177,2.2698,3833.0078,8700.3447
100615217,2.0851,3823.2422,7971.8154
100615257,2.2171,3828.1250,8487.1855
100615296,2.1115,3798.8281,8021.1738
100615335,2.1379,3803.7109,8131.8779
100615374,2.1115,3818.3594,8062.4141
100615414,2.0587,3837.8906,7901.0630
100615454,2.0851,3823.2422,7971.8154
100615493,2.2698,3793.9453,8611.6787
100615533,2.2171,3803.7109,8433.0586
100615572,2.4018,3798.8281,9124.0859
100615612,2.1907,3818.3594,8364.7549
100615652,2.1643,3798.8281,8221.7041
100615691,2.1379,3793.9453,8111.0000
100615731,2.1115,3798.8281,8021.1738
100615770,2.1115,3823.2422,8072.7241
100615810,2.1379,3833.0078,8194.5107
100615848,2.1907,3798.8281,8321.9678
100615888,2.1379,3789.0625,8100.5610
100615928,2.1907,3808.5938,8343.3613
100615967,2.2171,3818.3594,8465.5352
100616007,2.1907,3808.5938,8343.3613
100616046,2.1907,3784.1797,8289.8779
100616086,2.2435,3784.1797,8489.6348
100616126,2.2171,3813.4766,8454.7090
100616165,2.0851,3828.1250,7981.9966
100616205,2.2171,3833.0078,8498.0117
100616244,2.1907,3789.0625,8300.5752
100616284,2.0851,3793.9453,7910.7290
100616324,2.2435,3813.4766,8555.3613
100616363,2.0587,3837.8906,7901.0630
100616402,2.1115,3823.2422,8072.7241
100616441,2.0323,3813.4766,7750.1504
100616481,2.0851,3789.0625,7900.5479
100616521,2.1643,3808.5938,8242.8398
100616560,2.1907,3818.3594,8364.7549
100616600,2.1115,3803.7109,8031.4839
100616639,2.2435,3774.4141,8467.7256
100616679,2.1907,3803.7109,8332.6650
100616719,2.1907,3818.3594,8364.7549
100616758,2.1907,3798.8281,8321.9678
100616798,2.2698,3808.5938,8644.9287
100616837,2.1643,3784.1797,8190.0005
100616877,2.1907,3803.7109,8332.6650
100616916,2.2435,3828.1250,8588.2236
100616955,2.1643,3823.2422,8274.5430
100616995,2.2171,3789.0625,8400.5820
100617034,2.2171,3764.6484,8346.4541
100617074,2.2171,3808.5938,8443.8838
100617113,2.2962,3823.2422,8779.0879
100617153,2.1907,3818.3594,8364.7549
100617193,2.2962,3779.2969,8678.1787
100617232,2.2171,3784.1797,8389.7568
100617272,2.2962,3803.7109,8734.2393
100617311,2.1907,3823.2422,8375.4512
100617351,2.2435,3789.0625,8500.5889
100617391,2.1643,3769.5313,8158.2974
100617430,2.1379,3803.7109,8131.8779
100617469,2.2171,3818.3594,8465.5352
100617508,2.2435,3808.5938,8544.4063
100617548,2.2698,3784.1797,8589.5117
100617588,2.4018,3769.5313,9053.7197
100617627,2.2435,3784.1797,8489.6348
100617667,2.2962,3818.3594,8767.8750
100617706,2.1907,3784.1797,8289.8779
100617746,2.1907,3779.2969,8279.1816
100617786,2.1643,3789.0625,8200.5684
100617825,2.2171,3803.7109,8433.0586
100617865,2.1643,3808.5938,8242.8398
100617904,2.1643,3808.5938,8242.8398
100617944,2.1379,3789.0625,8100.5610
100617984,2.2171,3798.8281,8422.2334
100618022,2.2435,3803.7109,8533.4521
100618062,2.2962,3803.7109,8734.2393
100618101,2.2435,3798.8281,8522.4980
100618141,2.2435,3769.5313,8456.7715
100618181,2.2435,3779.2969,8478.6807
100618220,2.2698,3808.5938,8644.9287
100618260,2.2698,3818.3594,8667.0947
100618299,2.2435,3798.8281,8522.4980
100618339,2.2171,3789.0625,8400.5820
100618378,2.3226,3789.0625,8800.6094
100618418,2.2435,3803.7109,8533.4521
100618458,2.2171,3813.4766,8454.7090
100618497,2.1643,3798.8281,8221.7041
100618536,2.1115,3774.4141,7969.6240
100618575,2.1379,3803.7109,8131.8779
100618615,2.1379,3818.3594,8163.1943
100618655,2.1379,3818.3594,8163.1943
100618694,2.1907,3774.4141,8268.4854
100618734,2.2435,3784.1797,8489.6348
100618773,2.3226,3774.4141,8766.5869
100618813,2.2171,3798.8281,8422.2334
100618853,2.2435,3813.4766,8555.3613
100618892,2.1379,3793.9453,8111.0000
100618932,2.1379,3774.4141,8069.2446
100618971,2.2435,3818.3594,8566.3154
100619011,2.1907,3813.4766,8354.0576
100619051,2.3226,3793.9453,8811.9512
100619089,2.2962,3774.4141,8666.9658
100619129,2.2962,3774.4141,8666.9658
100619168,2.2962,3793.9453,8711.8145
100619208,2.3490,3808.5938,8946.4961
100619248,2.1379,3808.5938,8142.3169
100619287,2.1379,3784.1797,8090.1226
100619327,2.0851,3793.9453,7910.7290
100619366,2.1115,3808.5938,8041.7939
100619406,2.1379,3828.1250,8184.0723
100619446,2.1379,3813.4766,8152.7554
100619485,2.1643,3769.5313,8158.2974
100619525,2.2698,3784.1797,8589.5117
100619564,2.2962,3798.8281,8723.0273
100619603,2.1907,3813.4766,8354.0576
100619642,2.2698,3784.1797,8589.5117
100619682,2.2171,3789.0625,8400.5820
100619722,2.2435,3779.2969,8478.6807
100619761,2.1907,3803.7109,8332.6650
100619801,2.3226,3813.4766,8857.3145
100619840,2.2171,3779.2969,8378.9307
100619880,2.1379,3784.1797,8090.1226
100619920,2.1379,3784.1797,8090.1226
100619959,2.3226,3808.5938,8845.9736
100619999,2.1379,3808.5938,8142.3169
100620038,2.1643,3779.2969,8179.4331
100620078,2.2171,3774.4141,8368.1055
100620118,2.1907,3798.8281,8321.9678
100620156,2.3490,3808.5938,8946.4961
100620196,2.2698,3793.9453,8611.6787
100620235,2.2435,3779.2969,8478.6807
100620275,2.2962,3779.2969,8678.1787
100620315,2.2171,3798.8281,8422.2334
100620354,2.1115,3823.2422,8072.7241
100620394,2.1907,3818.3594,8364.7549
100620433,2.1907,3784.1797,8289.8779
100620473,2.1379,3774.4141,8069.2446
100620513,2.2171,3808.5938,8443.8838
100620552,2.2698,3823.2422,8678.1777
100620592,2.2435,3803.7109,8533.4521
100620631,2.3490,3769.5313,8854.7373
100620670,2.2171,3784.1797,8389.7568
100620710,2.2698,3779.2969,8578.4287
100620749,2.4018,3813.4766,9159.2686
100620789,2.2962,3774.4141,8666.9658
100620828,2.2698,3769.5313,8556.2627
100620868,2.2171,3779.2969,8378.9307
100620907,2.1379,3813.4766,8152.7554
100620947,2.1907,3818.3594,8364.7549
100620987,2.0851,3813.4766,7951.4531
100621026,2.1643,3798.8281,8221.7041
100621066,2.1379,3784.1797,8090.1226
100621105,2.1643,3803.7109,8232.2715
100621145,2.1643,3808.5938,8242.8398
100621185,2.2171,3793.9453,8411.4072
100621223,2.2435,3774.4141,8467.7256
100621263,2.2962,3779.2969,8678.1787
100621302,2.3226,3784.1797,8789.2686
100621342,2.3490,3784.1797,8889.1475
100621382,2.2962,3784.1797,8689.3906
100621421,2.3490,3764.6484,8843.2676
100621461,2.2171,3789.0625,8400.5820
100621500,2.2698,3798.8281,8622.7617
100621540,2.1643,3823.2422,8274.5430
100621580,2.1907,3803.7109,8332.6650
100621619,2.1643,3779.2969,8179.4331
100621659,2.1643,3774.4141,8168.8652
100621698,2.1379,3813.4766,8152.7554
100621737,2.1907,3818.3594,8364.7549
100621777,2.2171,3789.0625,8400.5820
100621816,2.2171,3789.0625,8400.5820
100621856,2.2698,3789.0625,8600.5957
100621895,2.2435,3793.9453,8511.5439
100621935,2.1379,3808.5938,8142.3169
100621975,2.1379,3784.1797,8090.1226
100622014,2.2171,3774.4141,8368.1055
100622054,2.2171,3774.4141,8368.1055
100622093,2.2698,3793.9453,8611.6787
100622133,2.1643,3808.5938,8242.8398
100622172,2.1907,3798.8281,8321.9678
100622212,2.1643,3779.2969,8179.4331
100622252,2.0059,3793.9453,7610.3208
100622290,2.1643,3818.3594,8263.9746
100622330,2.1115,3818.3594,8062.4141
100622369,2.1115,3803.7109,8031.4839
100622409,2.2962,3764.6484,8644.5420
100622449,2.2698,3793.9453,8611.6787
100622488,2.2435,3798.8281,8522.4980
100622528,2.3754,3793.9453,9012.2217
100622567,2.1907,3784.1797,8289.8779
100622607,2.3490,3769.5313,8854.7373
100622647,2.2962,3769.5313,8655.7539
100622686,2.2698,3793.9453,8611.6787
100622726,2.2962,3808.5938,8745.4512
100622765,2.1379,3779.2969,8079.6836
100622804,2.1907,3769.5313,8257.7881
100622844,2.1379,3789.0625,8100.5610
100622883,2.1379,3803.7109,8131.8779
100622923,2.2435,3818.3594,8566.3154
100622962,2.2171,3784.1797,8389.7568
100623002,2.2698,3759.7656,8534.0957
100623042,2.3490,3784.1797,8889.1475
100623081,2.3226,3784.1797,8789.2686
100623121,2.2962,3793.9453,8711.8145
100623160,2.2698,3779.2969,8578.4287
100623200,2.2698,3769.5313,8556.2627
100623240,2.1907,3779.2969,8279.1816
100623279,2.1907,3813.4766,8354.0576
100623319,2.1379,3813.4766,8152.7554
100623357,2.1643,3793.9453,8211.1357
100623397,2.1379,3784.1797,8090.1226
100623436,2.1643,3803.7109,8232.2715
100623476,2.1643,3818.3594,8263.9746
100623516,2.2962,3808.5938,8745.4512
100623555,2.3754,3769.5313,8954.2285
100623595,2.2962,3769.5313,8655.7539
100623634,2.3490,3784.1797,8889.1475
100623674,2.2962,3789.0625,8700.6025
100623714,2.3490,3789.0625,8900.6172
100623753,2.2698,3764.6484,8545.1797
100623793,2.2171,3774.4141,8368.1055
100623832,2.2171,3798.8281,8422.2334
100623872,2.2171,3818.3594,8465.5352
100623911,2.1907,3808.5938,8343.3613
100623950,2.1379,3784.1797,8090.1226
100623990,2.0323,3774.4141,7670.7632
100624029,2.1115,3808.5938,8041.7939
100624069,2.2171,3813.4766,8454.7090
100624109,2.2435,3784.1797,8489.6348
100624148,2.2435,3759.7656,8434.8633
100624188,2.2435,3769.5313,8456.7715
100624227,2.3226,3793.9453,8811.9512
100624267,2.1643,3803.7109,8232.2715
100624307,2.2435,3764.6484,8445.8174
100624346,2.1907,3774.4141,8268.4854
100624386,2.1907,3798.8281,8321.9678
100624424,2.2435,3798.8281,8522.4980
100624464,2.2698,3784.1797,8589.5117
100624504,2.2962,3764.6484,8644.5420
100624543,2.3226,3779.2969,8777.9277
100624583,2.1907,3808.5938,8343.3613
100624622,2.1907,3793.9453,8311.2715
100624662,2.1379,3784.1797,8090.1226
100624701,2.2435,3769.5313,8456.7715
100624741,2.1379,3793.9453,8111.0000
100624781,2.1379,3808.5938,8142.3169
100624820,2.1379,3798.8281,8121.4390
100624860,2.2962,3759.7656,8633.3301
100624899,2.3754,3764.6484,8942.6299
100624939,2.3490,3798.8281,8923.5566
100624978,2.2962,3784.1797,8689.3906
100625017,2.3754,3784.1797,8989.0244
100625057,2.2171,3764.6484,8346.4541
100625096,2.2962,3779.2969,8678.1787
100625136,2.2698,3798.8281,8622.7617
100625176,2.2698,3793.9453,8611.6787
100625215,2.1115,3789.0625,8000.5542
100625255,2.1115,3764.6484,7949.0039
100625294,2.0851,3823.2422,7971.8154
100625334,2.0323,3818.3594,7760.0737
100625374,2.0851,3823.2422,7971.8154
100625413,2.1907,3779.2969,8279.1816
100625453,2.3226,3750.0000,8709.8818
100625491,2.3490,3779.2969,8877.6777
100625531,2.3226,3789.0625,8800.6094
100625571,2.2698,3784.1797,8589.5117
100625610,2.2962,3774.4141,8666.9658
100625650,2.3226,3779.2969,8777.9277
100625689,2.1379,3798.8281,8121.4390
100625729,2.0323,3813.4766,7750.1504
100625769,2.1907,3803.7109,8332.6650
100625808,2.0587,3779.2969,7780.4360
100625848,2.1643,3784.1797,8190.0005
100625887,2.1907,3798.8281,8321.9678
100625927,2.1907,3803.7109,8332.6650
100625966,2.3754,3784.1797,8989.0244
100626006,2.3490,3750.0000,8808.8584
100626045,2.2698,3779.2969,8578.4287
100626084,2.2698,3803.7109,8633.8447
100626124,2.2435,3808.5938,8544.4063
100626163,2.1643,3789.0625,8200.5684
100626203,2.2171,3769.5313,8357.2803
100626243,2.2962,3789.0625,8700.6025
100626282,2.2171,3793.9453,8411.4072
100626322,2.2435,3798.8281,8522.4980
100626361,2.3490,3774.4141,8866.2070
100626401,2.1379,3774.4141,8069.2446
100626441,2.1379,3803.7109,8131.8779
100626480,2.1907,3828.1250,8386.1475
100626520,2.0587,3808.5938,7840.7495
100626558,2.1115,3803.7109,8031.4839
100626598,2.1643,3779.2969,8179.4331
100626638,2.2171,3803.7109,8433.0586
100626677,2.3226,3808.5938,8845.9736
100626717,2.2171,3798.8281,8422.2334
100626756,2.2962,3745.1172,8599.6934
100626796,2.2962,3764.6484,8644.5420
100626836,2.2435,3803.7109,8533.4521
100626875,2.2435,3808.5938,8544.4063
100626915,2.2962,3793.9453,8711.8145
100626954,2.1907,3769.5313,8257.7881
100626994,2.1907,3784.1797,8289.8779
100627034,2.1643,3808.5938,8242.8398
100627073,2.1907,3823.2422,8375.4512
100627112,2.2435,3798.8281,8522.4980
100627151,2.2171,3769.5313,8357.2803
100627191,2.1643,3784.1797,8190.0005
100627230,2.1379,3798.8281,8121.4390
100627270,2.2171,3818.3594,8465.5352
100627310,2.3754,3769.5313,8954.2285
100627349,2.2435,3764.6484,8445.8174
100627389,2.3226,3769.5313,8755.2461
100627428,2.2171,3798.8281,8422.2334
100627468,2.2171,3808.5938,8443.8838
100627508,2.1379,3784.1797,8090.1226
100627547,2.0851,3798.8281,7920.9102
100627587,2.1907,3813.4766,8354.0576
100627625,2.0587,3818.3594,7860.8540
100627665,2.0059,3808.5938,7639.7041
100627705,2.2435,3779.2969,8478.6807
100627744,2.2171,3793.9453,8411.4072
100627784,2.3226,3808.5938,8845.9736
100627823,2.1907,3754.8828,8225.6982
100627863,2.2962,3764.6484,8644.5420
100627903,2.2698,3764.6484,8545.1797
100627942,2.3490,3769.5313,8854.7373
100627982,2.3490,3779.2969,8877.6777
100628021,2.2698,3764.6484,8545.1797
100628061,2.2962,3759.7656,8633.3301
100628101,2.3490,3779.2969,8877.6777
100628140,2.2171,3803.7109,8433.0586
100628179,2.1115,3803.7109,8031.4839
100628218,2.0851,3793.9453,7910.7290
100628258,2.0323,3784.1797,7690.6099
100628298,2.0587,3808.5938,7840.7495
100628337,2.1643,3813.4766,8253.4072
100628377,2.2435,3793.9453,8511.5439
100628416,2.3226,3764.6484,8743.9053
100628456,2.3226,3774.4141,8766.5869
100628495,2.2435,3793.9453,8511.5439
100628535,2.1643,3798.8281,8221.7041
100628575,2.2171,3789.0625,8400.5820
100628614,2.1643,3750.0000,8116.0264
100628654,2.2698,3779.2969,8578.4287
100628692,2.2698,3808.5938,8644.9287
100628732,2.2435,3798.8281,8522.4980
100628772,2.2698,3774.4141,8567.3457
100628811,2.2435,3754.8828,8423.9082
100628851,2.1115,3813.4766,8052.1040
100628890,2.1643,3793.9453,8211.1357
100628930,2.1379,3803.7109,8131.8779
100628970,2.1379,3779.2969,8079.6836
100629009,2.1115,3793.9453,8010.8643
100629049,2.1907,3808.5938,8343.3613
100629088,2.2171,3759.7656,8335.6289
100629128,2.3490,3774.4141,8866.2070
100629168,2.2962,3759.7656,8633.3301
100629207,2.1907,3774.4141,8268.4854
100629246,2.2171,3793.9453,8411.4072
100629285,2.1643,3793.9453,8211.1357
100629325,2.1907,3769.5313,8257.7881
100629365,2.1907,3784.1797,8289.8779
100629404,2.2962,3798.8281,8723.0273
100629444,2.1379,3793.9453,8111.0000
