03,1875437632,.8962
275439430,0.2375,4028.3203,956.8962
275439468,0.2903,4028.3203,1169.5398
275439508,0.3167,4018.5547,1272.7686
275439548,0.2375,4013.6719,953.4166
275439586,0.2639,4033.2031,1064.5067
275439626,0.2375,4008.7891,952.2567
275439664,0.2111,4047.8516,854.6984
275439703,0.2639,4028.3203,1063.2180
275439742,0.2111,4028.3203,850.5744
275439780,0.2111,4033.2031,851.6054
275439819,0.2375,4033.2031,958.0560
275439857,0.4223,4023.4375,1699.0868
275439897,0.2375,4023.4375,955.7363
275439935,0.2639,4038.0859,1065.7954
275439975,0.2375,4033.2031,958.0560
275440014,0.2375,4033.2031,958.0560
275440052,0.2375,4033.2031,958.0560
275440091,0.2111,4052.7344,855.7294
275440129,0.2375,4028.3203,956.8962
275440167,0.2375,4013.6719,953.4166
275440206,0.2639,4038.0859,1065.7954
275440245,0.2639,4013.6719,1059.3517
275440285,0.2375,4018.5547,954.5764
275440323,0.3431,4028.3203,1382.1833
275440363,0.2375,4033.2031,958.0560
275440401,0.1848,4028.3203,744.2526
275440440,0.2903,4033.2031,1170.9574
275440480,0.1848,4028.3203,744.2526
275440518,0.2903,4033.2031,1170.9574
275440558,0.2639,4023.4375,1061.9292
275440596,0.2639,4028.3203,1063.2180
275440636,0.2111,3862.3047,815.5204
275440675,0.2903,4018.5547,1166.7046
275440714,0.1848,4028.3203,744.2526
275440753,0.2903,4023.4375,1168.1222
275440792,0.3167,4038.0859,1278.9545
275440832,0.2639,4038.0859,1065.7954
275440872,0.2903,4033.2031,1170.9574
275440911,0.3695,4062.5000,1501.1350
275440951,0.3959,4033.2031,1596.7600
275440990,0.2639,4033.2031,1064.5067
275441030,0.2639,4013.6719,1059.3517
275441069,0.1848,4033.2031,745.1547
275441107,0.2375,4057.6172,963.8554
275441146,0.2903,4028.3203,1169.5398
275441185,0.2903,4028.3203,1169.5398
275441225,0.2111,4028.3203,850.5744
275441263,0.2639,4038.0859,1065.7954
275441303,0.2111,4013.6719,847.4814
275441342,0.2375,4033.2031,958.0560
275441380,0.2639,4028.3203,1063.2180
275441420,0.2639,4038.0859,1065.7954
275441459,0.2111,4028.3203,850.5744
275441498,0.3167,4033.2031,1277.4081
275441538,0.2111,4028.3203,850.5744
275441575,0.3431,4028.3203,1382.1833
275441615,0.2639,4023.4375,1061.9292
275441654,0.2375,4028.3203,956.8962
275441693,0.2639,4033.2031,1064.5067
275441732,0.2111,4018.5547,848.5124
275441771,0.2375,4033.2031,958.0560
275441810,0.2375,4023.4375,955.7363
275441848,0.3959,4033.2031,1596.7600
275441888,0.2639,4023.4375,1061.9292
275441927,0.1584,4047.8516,641.0237
275441966,0.2639,4047.8516,1068.3729
275442006,0.2375,4038.0859,959.2159
275442043,0.1848,4028.3203,744.2526
275442082,0.2639,4204.1016,1109.6129
275442121,0.3431,4028.3203,1382.1833
275442161,0.2639,4033.2031,1064.5067
275442200,0.2639,4033.2031,1064.5067
275442240,0.2375,4018.5547,954.5764
275442279,0.2111,4018.5547,848.5124
275442317,0.2903,4028.3203,1169.5398
275442357,0.4223,4013.6719,1694.9628
275442396,0.2375,4018.5547,954.5764
275442435,0.2111,4038.0859,852.6364
275442473,0.2639,4038.0859,1065.7954
275442512,0.2375,4028.3203,956.8962
275442551,0.2639,4028.3203,1063.2180
275442590,0.2639,4033.2031,1064.5067
275442630,0.2375,4033.2031,958.0560
275442669,0.2375,4033.2031,958.0560
275442707,0.2639,4028.3203,1063.2180
275442747,0.2111,4033.2031,851.6054
275442785,0.2903,4028.3203,1169.5398
275442825,0.2111,4013.6719,847.4814
275442863,0.2639,4042.9688,1067.0842
275442903,0.2639,4038.0859,1065.7954
275442942,0.2375,4038.0859,959.2159
275442980,0.2111,4028.3203,850.5744
275443019,0.2639,4033.2031,1064.5067
275443058,0.2375,4028.3203,956.8962
275443097,0.2375,4018.5547,954.5764
275443136,0.2375,4028.3203,956.8962
275443174,0.2111,4033.2031,851.6054
275443213,0.2639,4033.2031,1064.5067
275443252,0.2903,4038.0859,1172.3750
275443292,0.2375,4033.2031,958.0560
275443330,0.2639,4028.3203,1063.2180
275443369,0.2903,4028.3203,1169.5398
275443409,0.2375,4018.5547,954.5764
275443447,0.2639,4033.2031,1064.5067
275443487,0.2375,4033.2031,958.0560
275443525,0.3959,4028.3203,1594.8269
275443565,0.3431,4028.3203,1382.1833
275443605,0.2111,3867.1875,816.5514
275443643,0.2111,3950.1953,834.0784
275443682,0.2375,4023.4375,955.7363
275443720,0.3167,4033.2031,1277.4081
275443760,0.2375,4023.4375,955.7363
275443798,0.2639,4038.0859,1065.7954
275443837,0.2375,4033.2031,958.0560
275443876,0.2375,4028.3203,956.8962
275443914,0.2639,4028.3203,1063.2180
275443954,0.2375,4028.3203,956.8962
275443992,0.2111,4038.0859,852.6364
275444031,0.2111,4038.0859,852.6364
275444070,0.2375,4008.7891,952.2567
275444108,0.2639,4033.2031,1064.5067
275444148,0.2375,4033.2031,958.0560
275444186,0.2375,4033.2031,958.0560
275444225,0.2375,4023.4375,955.7363
275444262,0.2639,4038.0859,1065.7954
275444302,0.2111,4028.3203,850.5744
275444341,0.2375,4038.0859,959.2159
275444379,0.1848,4033.2031,745.1547
275444418,0.3431,4033.2031,1383.8588
275444457,0.2111,4008.7891,846.4504
275444496,0.3167,4033.2031,1277.4081
275444536,1.7156,3852.5391,6609.3496
275444575,1.8212,3823.2422,6962.7246
275444615,1.9003,3803.7109,7228.3359
275444654,1.9267,3813.4766,7347.5454
275444694,1.5308,3847.6563,5890.0991
275444733,1.3461,3857.4219,5192.3701
275444772,1.4780,3793.9453,5607.6050
275444812,1.3725,3862.3047,5300.8828
275444851,1.2933,3891.6016,5032.9517
275444891,1.2669,3896.4844,4936.4243
275444931,1.3461,3901.3672,5251.5239
275444970,1.3989,3891.6016,5443.8047
275445010,1.3197,3891.6016,5135.6650
275445049,1.3461,3862.3047,5198.9429
275445089,1.2933,3891.6016,5032.9517
275445128,1.3197,3872.0703,5109.8901
275445168,1.5044,3852.5391,5795.8911
275445208,1.4780,3876.9531,5730.2939
275445246,1.5044,3847.6563,5788.5454
275445286,1.6100,3779.2969,6084.7002
275445325,1.5308,3862.3047,5912.5234
275445365,1.4516,3847.6563,5585.4385
275445405,1.6100,3847.6563,6194.7593
275445444,1.7156,3852.5391,6609.3496
275445484,1.6364,3823.2422,6256.3613
275445523,1.7420,3813.4766,6642.9863
275445563,1.8739,3823.2422,7164.5430
275445603,1.6892,3803.7109,6425.1875
275445642,1.7948,3823.2422,6861.8159
275445682,1.8476,3818.3594,7054.6123
275445721,1.8476,3789.0625,7000.4849
275445761,1.7948,3823.2422,6861.8159
275445800,1.7420,3813.4766,6642.9863
275445839,1.7156,3803.7109,6525.5806
275445879,1.8212,3833.0078,6980.5093
275445918,1.6892,3828.1250,6466.4272
275445958,1.7420,3793.9453,6608.9629
275445998,1.8476,3818.3594,7054.6123
275446037,1.8212,3798.8281,6918.2627
275446077,1.7684,3813.4766,6743.6372
275446116,1.8476,3808.5938,7036.5698
275446156,1.9531,3808.5938,7438.6597
275446196,1.8476,3808.5938,7036.5698
275446235,1.8739,3818.3594,7155.3926
275446275,1.8739,3798.8281,7118.7925
275446313,1.7420,3808.5938,6634.4805
275446353,1.7420,3837.8906,6685.5146
275446392,1.8212,3779.2969,6882.6934
275446432,1.7948,3798.8281,6817.9985
275446472,1.9267,3813.4766,7347.5454
275446511,1.8212,3798.8281,6918.2627
275446551,1.8739,3808.5938,7137.0923
275446590,1.7684,3833.0078,6778.1758
275446630,1.8739,3808.5938,7137.0923
275446670,1.7684,3808.5938,6735.0024
275446709,1.8212,3813.4766,6944.9399
275446749,1.7948,3793.9453,6809.2349
275446788,1.8739,3798.8281,7118.7925
275446828,1.9003,3803.7109,7228.3359
275446867,1.8212,3784.1797,6891.5859
275446906,1.8476,3911.1328,7226.0161
275446946,1.7948,3818.3594,6853.0522
275446985,1.8212,3803.7109,6927.1553
275447025,1.7684,3779.2969,6683.1948
275447065,1.7420,3837.8906,6685.5146
275447104,1.8212,3803.7109,6927.1553
275447144,1.8739,3793.9453,7109.6421
275447183,1.8212,3823.2422,6962.7246
275447223,1.8212,3803.7109,6927.1553
275447263,1.9003,3779.2969,7181.9409
275447302,1.8739,3813.4766,7146.2427
275447342,1.7948,3789.0625,6800.4712
275447380,1.8476,3808.5938,7036.5698
275447420,1.8212,3818.3594,6953.8325
275447460,1.7684,3823.2422,6760.9063
275447499,1.7420,3784.1797,6591.9517
275447539,1.7948,3828.1250,6870.5791
275447578,1.7948,3789.0625,6800.4712
275447618,1.7420,3798.8281,6617.4688
275447657,1.8739,3833.0078,7182.8433
275447697,1.9003,3808.5938,7237.6147
275447737,1.8739,3779.2969,7082.1919
275447776,1.9003,3818.3594,7256.1729
275447816,1.8212,3808.5938,6936.0474
275447855,1.9003,3779.2969,7181.9409
275447895,1.9267,3818.3594,7356.9531
275447934,1.7948,3818.3594,6853.0522
275447973,1.9267,3779.2969,7281.6904
275448013,1.8476,3803.7109,7027.5483
275448052,1.7948,3808.5938,6835.5254
275448092,1.7948,3793.9453,6809.2349
275448132,1.9003,3828.1250,7274.7305
275448171,1.9003,3823.2422,7265.4517
275448211,1.8476,3774.4141,6973.4209
275448250,1.8212,3798.8281,6918.2627
275448290,1.8739,3818.3594,7155.3926
275448330,1.7948,3789.0625,6800.4712
275448369,1.9003,3803.7109,7228.3359
275448409,1.8476,3803.7109,7027.5483
275448448,1.9267,3774.4141,7272.2822
275448487,2.0323,3916.0156,7958.5410
275448527,1.8739,3803.7109,7127.9424
275448566,2.0323,3754.8828,7631.0698
275448606,1.8212,3803.7109,6927.1553
275448645,1.8212,3803.7109,6927.1553
275448685,1.7948,3784.1797,6791.7080
275448725,1.9003,3784.1797,7191.2197
275448764,1.8739,3774.4141,7073.0415
275448804,1.7684,3779.2969,6683.1948
275448843,1.8739,3798.8281,7118.7925
275448883,1.9003,3798.8281,7219.0566
275448922,1.7948,3774.4141,6774.1807
275448962,1.8476,3803.7109,7027.5483
275449001,1.9267,3754.8828,7234.6509
275449040,1.8739,3759.7656,7045.5913
275449080,1.8212,3789.0625,6900.4780
275449119,1.9795,3803.7109,7529.5161
275449159,1.9795,3774.4141,7471.5225
275449199,1.9003,3813.4766,7246.8936
275449238,1.7948,3803.7109,6826.7617
275449278,1.8212,3774.4141,6873.8008
275449317,1.7948,3813.4766,6844.2886
275449357,1.8212,3798.8281,6918.2627
275449397,1.8212,3774.4141,6873.8008
275449436,1.9795,3808.5938,7539.1821
275449476,1.8739,3798.8281,7118.7925
275449515,1.9795,3764.6484,7452.1914
275449554,1.9267,3803.7109,7328.7295
275449594,1.9795,3779.2969,7481.1880
275449633,1.9531,3769.5313,7362.3657
275449673,1.9267,3789.0625,7300.5059
275449712,1.8739,3793.9453,7109.6421
275449752,2.0059,3764.6484,7551.5537
275449792,1.8739,3793.9453,7109.6421
275449831,1.9003,3798.8281,7219.0566
275449871,1.9003,3784.1797,7191.2197
275449910,1.9003,3789.0625,7200.4985
275449950,1.7948,3793.9453,6809.2349
275449990,1.9267,3813.4766,7347.5454
275450029,1.8739,3789.0625,7100.4922
275450068,1.9003,3793.9453,7209.7778
275450107,1.9003,3750.0000,7126.2666
275450147,2.0323,3789.0625,7700.5332
275450186,1.9795,3784.1797,7490.8540
275450226,2.1115,3750.0000,7918.0742
275450266,1.9795,3793.9453,7510.1851
275450305,1.9795,3779.2969,7481.1880
275450345,2.0059,3764.6484,7551.5537
275450384,1.8739,3793.9453,7109.6421
275450424,1.8476,3789.0625,7000.4849
275450464,1.9003,3774.4141,7172.6616
275450503,1.8476,3793.9453,7009.5059
275450543,1.8739,3789.0625,7100.4922
275450582,1.8739,3632.8125,6807.6880
275450621,1.9267,3813.4766,7347.5454
275450661,1.9003,3784.1797,7191.2197
275450700,1.9531,3774.4141,7371.9023
275450740,2.0851,3793.9453,7910.7290
275450779,2.0059,3686.5234,7394.8418
275450819,2.0059,3754.8828,7531.9648
275450859,1.9531,3803.7109,7429.1230
275450898,2.0323,3774.4141,7670.7632
275450938,1.8739,3774.4141,7073.0415
275450977,2.0059,3793.9453,7610.3208
275451017,1.8476,3784.1797,6991.4634
275451057,1.8476,3793.9453,7009.5059
275451096,1.9003,3779.2969,7181.9409
275451136,1.9267,3784.1797,7291.0981
275451174,1.9267,3774.4141,7272.2822
275451214,2.1115,3793.9453,8010.8643
275451254,2.0059,3774.4141,7571.1426
275451293,2.0059,3779.2969,7580.9370
275451333,2.1379,3754.8828,8027.4893
275451372,2.1379,3730.4688,7975.2949
275451412,2.3226,3750.0000,8709.8818
275451451,2.1643,3740.2344,8094.8911
275451491,2.0851,3715.8203,7747.8311
275451531,2.1115,3769.5313,7959.3140
275451570,2.1907,3745.1172,8204.3057
275451610,2.2962,3725.5859,8554.8447
275451649,2.3226,3735.3516,8675.8594
275451688,2.4018,3701.1719,8889.5332
275451728,2.4018,3730.4688,8959.8994
275451767,2.4018,3706.0547,8901.2607
275451807,2.3490,3735.3516,8774.4482
275451846,2.3226,3725.5859,8653.1768
275451886,2.2962,3681.6406,8453.9365
275451926,2.2962,3735.3516,8577.2695
275451965,2.2962,3720.7031,8543.6328
275452005,2.2171,3745.1172,8303.1523
275452044,2.1907,3745.1172,8204.3057
275452084,2.1379,3735.3516,7985.7339
275452124,2.1115,3779.2969,7979.9341
275452163,2.1115,3740.2344,7897.4541
275452203,2.1379,3740.2344,7996.1724
275452241,2.1907,3759.7656,8236.3955
275452281,2.1643,3720.7031,8052.6201
275452321,2.1907,3764.6484,8247.0918
275452360,2.2962,3740.2344,8588.4814
275452400,2.1907,3735.3516,8182.9121
275452439,2.2435,3759.7656,8434.8633
275452479,2.0851,3750.0000,7819.0986
275452519,2.1643,3735.3516,8084.3232
275452558,2.1643,3750.0000,8116.0264
275452598,2.1907,3730.4688,8172.2153
275452637,2.2435,3759.7656,8434.8633
275452677,2.1379,3725.5859,7964.8560
275452716,2.2435,3735.3516,8380.0908
275452755,2.3226,3740.2344,8687.2002
275452795,2.2435,3730.4688,8369.1367
275452834,2.2435,3740.2344,8391.0459
275452874,2.2435,3754.8828,8423.9082
275452913,2.2435,3725.5859,8358.1826
275452953,2.2435,3725.5859,8358.1826
275452993,2.2171,3720.7031,8249.0254
275453032,2.2171,3750.0000,8313.9775
275453072,2.1379,3735.3516,7985.7339
275453111,2.1379,3769.5313,8058.8057
275453151,2.0851,3745.1172,7808.9175
275453191,2.1379,3740.2344,7996.1724
275453230,2.0851,3774.4141,7870.0044
275453270,2.3226,3735.3516,8675.8594
275453308,2.2171,3735.3516,8281.5020
275453348,2.2698,3730.4688,8467.5967
275453388,2.2435,3720.7031,8347.2275
275453427,2.2698,3745.1172,8500.8467
275453467,2.2171,3720.7031,8249.0254
275453506,2.1907,3754.8828,8225.6982
275453546,2.2435,3730.4688,8369.1367
275453586,2.1907,3740.2344,8193.6084
275453625,2.2962,3745.1172,8599.6934
275453665,2.2171,3720.7031,8249.0254
275453704,2.2698,3754.8828,8523.0127
275453744,2.1643,3715.8203,8042.0522
275453784,2.1379,3740.2344,7996.1724
275453822,2.2171,3740.2344,8292.3271
275453862,2.2435,3730.4688,8369.1367
275453901,2.2435,3754.8828,8423.9082
275453941,2.2698,3735.3516,8478.6797
275453980,2.2962,3735.3516,8577.2695
275454020,2.2962,3740.2344,8588.4814
275454060,2.2698,3710.9375,8423.2637
275454099,2.2435,3759.7656,8434.8633
275454139,2.2171,3759.7656,8335.6289
275454178,2.2698,3764.6484,8545.1797
275454218,2.1907,3730.4688,8172.2153
275454258,2.1907,3720.7031,8150.8223
275454297,2.2171,3754.8828,8324.8037
275454337,2.2698,3720.7031,8445.4297
275454375,2.2435,3745.1172,8402.0000
275454415,2.2435,3715.8203,8336.2734
275454455,2.2171,3735.3516,8281.5020
275454494,2.2962,3803.7109,8734.2393
275454534,2.1643,3745.1172,8105.4590
275454573,2.1643,3745.1172,8105.4590
275454613,2.1643,3740.2344,8094.8911
275454653,2.1643,3725.5859,8063.1880
275454692,2.1643,3745.1172,8105.4590
275454732,2.2171,3720.7031,8249.0254
275454771,2.2698,3759.7656,8534.0957
275454811,2.4018,3725.5859,8948.1719
275454851,2.2962,3730.4688,8566.0576
275454889,2.4282,3745.1172,9093.9297
275454929,2.2962,3720.7031,8543.6328
275454968,2.2962,3754.8828,8622.1182
275455008,2.3226,3735.3516,8675.8594
275455048,2.2962,3740.2344,8588.4814
275455087,2.4018,3730.4688,8959.8994
275455127,2.2435,3720.7031,8347.2275
275455166,2.3226,3754.8828,8721.2227
275455206,2.2698,3725.5859,8456.5137
275455245,2.3490,3740.2344,8785.9180
275455285,2.2698,3740.2344,8489.7627
275455325,2.1643,3706.0547,8020.9170
275455364,2.1907,3750.0000,8215.0020
275455404,2.2435,3720.7031,8347.2275
275455442,2.3754,3745.1172,8896.2344
275455482,2.2171,3730.4688,8270.6758
275455522,2.2698,3710.9375,8423.2637
275455561,2.1907,3740.2344,8193.6084
275455601,2.2962,3720.7031,8543.6328
275455640,2.2698,3750.0000,8511.9297
275455680,2.2698,3735.3516,8478.6797
275455720,2.2962,3725.5859,8554.8447
275455759,2.2698,3745.1172,8500.8467
275455799,2.2435,3730.4688,8369.1367
275455838,2.1907,3759.7656,8236.3955
275455878,2.1643,3750.0000,8116.0264
275455918,2.1115,3754.8828,7928.3843
275455956,2.2435,3740.2344,8391.0459
275455996,2.0851,3735.3516,7788.5557
275456035,2.1907,3735.3516,8182.9121
275456075,2.2698,3754.8828,8523.0127
275456115,2.3226,3715.8203,8630.4951
275456154,2.2962,3725.5859,8554.8447
275456194,2.3754,3706.0547,8803.4443
275456233,2.3490,3715.8203,8728.5693
275456273,2.3754,3735.3516,8873.0371
275456313,2.1643,3710.9375,8031.4844
275456352,2.1643,3730.4688,8073.7554
275456392,2.2171,3735.3516,8281.5020
275456431,2.1907,3784.1797,8289.8779
275456471,2.2171,3740.2344,8292.3271
275456509,2.1379,3740.2344,7996.1724
275456549,2.1379,3740.2344,7996.1724
275456589,2.2435,3681.6406,8259.5928
275456628,2.1907,3754.8828,8225.6982
275456668,2.4018,3720.7031,8936.4443
275456707,2.3490,3725.5859,8751.5088
275456747,2.3754,3725.5859,8849.8398
275456787,2.2962,3681.6406,8453.9365
275456826,2.1907,3754.8828,8225.6982
275456866,2.1115,3725.5859,7866.5239
275456905,2.2962,3735.3516,8577.2695
275456945,2.4282,3720.7031,9034.6465
275456985,2.2171,3730.4688,8270.6758
275457024,2.2435,3750.0000,8412.9541
275457063,2.2171,3720.7031,8249.0254
275457102,2.1643,3774.4141,8168.8652
275457142,2.2171,3740.2344,8292.3271
275457182,2.1907,3735.3516,8182.9121
275457221,2.1907,3750.0000,8215.0020
275457261,2.2962,3730.4688,8566.0576
275457300,2.3490,3735.3516,8774.4482
275457340,2.2698,3725.5859,8456.5137
275457380,2.2698,3715.8203,8434.3467
275457419,2.2962,3735.3516,8577.2695
275457459,2.2171,3725.5859,8259.8506
275457498,2.3226,3750.0000,8709.8818
275457538,2.2435,3715.8203,8336.2734
275457577,2.2171,3720.7031,8249.0254
275457616,2.2171,3754.8828,8324.8037
275457656,2.1907,3710.9375,8129.4287
275457695,2.1643,3745.1172,8105.4590
275457735,2.1907,3735.3516,8182.9121
275457774,2.1907,3691.4063,8086.6426
275457814,2.2171,3730.4688,8270.6758
275457854,2.1643,3710.9375,8031.4844
275457893,2.1379,3745.1172,8006.6113
275457933,2.1907,3740.2344,8193.6084
275457972,2.2435,3725.5859,8358.1826
275458012,2.2435,3725.5859,8358.1826
275458052,2.2171,3710.9375,8227.3740
275458091,2.2698,3740.2344,8489.7627
275458130,2.3490,3730.4688,8762.9785
275458169,2.2435,3730.4688,8369.1367
275458209,2.2435,3750.0000,8412.9541
275458249,2.2435,3725.5859,8358.1826
275458288,2.2435,3730.4688,8369.1367
275458328,2.2171,3715.8203,8238.1992
275458367,2.2435,3588.8672,8051.4600
275458407,2.3226,3740.2344,8687.2002
275458447,2.2962,3715.8203,8532.4209
275458486,2.3490,3745.1172,8797.3887
275458526,2.2962,3725.5859,8554.8447
275458565,2.4282,3725.5859,9046.5029
275458605,2.2435,3745.1172,8402.0000
275458644,2.2698,3710.9375,8423.2637
275458683,2.2698,3754.8828,8523.0127
275458723,2.2171,3720.7031,8249.0254
275458762,2.1643,3754.8828,8126.5942
275458802,2.0851,3730.4688,7778.3745
275458842,2.1115,3735.3516,7887.1440
275458881,2.1115,3808.5938,8041.7939
275458921,2.2171,3735.3516,8281.5020
275458960,2.1643,3706.0547,8020.9170
275459000,2.2435,3750.0000,8412.9541
275459039,2.1379,3720.7031,7954.4170
275459079,2.2171,3740.2344,8292.3271
275459119,2.3226,3740.2344,8687.2002
275459158,2.2698,3710.9375,8423.2637
275459197,2.2962,3720.7031,8543.6328
275459236,2.2962,3715.8203,8532.4209
275459276,2.3226,3740.2344,8687.2002
275459316,2.2698,3735.3516,8478.6797
275459355,2.2435,3715.8203,8336.2734
275459395,2.3754,3706.0547,8803.4443
275459434,2.2435,3715.8203,8336.2734
275459474,2.2962,3740.2344,8588.4814
275459514,2.2171,3720.7031,8249.0254
275459553,2.1115,3730.4688,7876.8340
275459593,2.0851,3745.1172,7808.9175
275459632,2.1379,3730.4688,7975.2949
275459672,2.1115,3745.1172,7907.7642
275459712,2.1643,3750.0000,8116.0264
275459750,2.2962,3730.4688,8566.0576
275459790,2.1907,3745.1172,8204.3057
275459829,2.2962,3715.8203,8532.4209
275459869,2.2962,3730.4688,8566.0576
275459909,2.3754,3691.4063,8768.6484
275459948,2.2171,3725.5859,8259.8506
275459988,2.2435,3750.0000,8412.9541
275460027,2.2435,3730.4688,8369.1367
275460067,2.1907,3745.1172,8204.3057
275460107,2.2171,3750.0000,8313.9775
275460146,2.1643,3740.2344,8094.8911
275460186,2.0851,3754.8828,7829.2798
275460225,2.1643,3735.3516,8084.3232
275460264,2.1907,3745.1172,8204.3057
275460303,2.2171,3735.3516,8281.5020
275460343,2.2698,3715.8203,8434.3467
275460383,2.2171,3750.0000,8313.9775
275460422,2.2698,3720.7031,8445.4297
275460462,2.2698,3730.4688,8467.5967
275460501,2.2435,3618.1641,8117.1865
275460541,2.2698,3720.7031,8445.4297
275460581,2.2435,3740.2344,8391.0459
275460620,2.1643,3725.5859,8063.1880
275460660,2.2435,3754.8828,8423.9082
275460699,2.1643,3759.7656,8137.1621
275460739,2.1643,3730.4688,8073.7554
275460779,2.3226,3750.0000,8709.8818
275460817,2.1907,3720.7031,8150.8223
275460857,2.3490,3710.9375,8717.0996
275460896,2.3226,3735.3516,8675.8594
275460936,2.4018,3715.8203,8924.7158
275460976,2.2698,3735.3516,8478.6797
275461015,2.1907,3725.5859,8161.5186
275461055,2.2698,3750.0000,8511.9297
275461094,2.1379,3745.1172,8006.6113
275461134,2.0587,3750.0000,7720.1226
275461174,2.1115,3764.6484,7949.0039
275461213,2.2171,3730.4688,8270.6758
275461253,2.1643,3710.9375,8031.4844
275461292,2.1907,3735.3516,8182.9121
275461331,2.3226,3696.2891,8585.1309
275461371,2.3490,3710.9375,8717.0996
275461410,2.4018,3715.8203,8924.7158
275461450,2.4018,3706.0547,8901.2607
275461489,2.3754,3671.8750,8722.2539
275461529,2.4018,3720.7031,8936.4443
275461568,2.3226,3735.3516,8675.8594
275461608,2.1907,3710.9375,8129.4287
275461648,2.1907,3740.2344,8193.6084
275461687,2.1379,3730.4688,7975.2949
275461727,2.0587,3735.3516,7689.9658
275461766,2.1643,3740.2344,8094.8911
275461806,2.1115,3725.5859,7866.5239
275461846,2.1379,3740.2344,7996.1724
275461884,2.1643,3735.3516,8084.3232
275461924,2.1907,3720.7031,8150.8223
275461963,2.2435,3730.4688,8369.1367
275462003,2.2435,3730.4688,8369.1367
275462043,2.2962,3725.5859,8554.8447
275462082,2.3490,3779.2969,8877.6777
275462122,2.3754,3706.0547,8803.4443
275462161,2.3490,3730.4688,8762.9785
275462201,2.2435,3715.8203,8336.2734
275462241,2.2962,3740.2344,8588.4814
275462280,2.2171,3750.0000,8313.9775
275462320,2.1379,3730.4688,7975.2949
275462359,2.1115,3740.2344,7897.4541
275462398,2.1115,3740.2344,7897.4541
275462438,2.1379,3710.9375,7933.5396
275462477,2.1643,3769.5313,8158.2974
275462517,2.1907,3725.5859,8161.5186
275462556,2.1907,3730.4688,8172.2153
275462596,2.2698,3837.8906,8711.4277
275462636,2.1907,3745.1172,8204.3057
275462675,2.2171,3735.3516,8281.5020
275462715,2.2435,3715.8203,8336.2734
275462754,2.2962,3725.5859,8554.8447
275462794,2.2698,3720.7031,8445.4297
275462833,2.3226,3696.2891,8585.1309
275462873,2.3490,3735.3516,8774.4482
275462913,2.3226,3696.2891,8585.1309
275462951,2.4282,3720.7031,9034.6465
275462991,2.3754,3706.0547,8803.4443
275463030,2.2435,3730.4688,8369.1367
275463070,2.3490,3715.8203,8728.5693
275463110,2.2171,3725.5859,8259.8506
275463149,2.0323,3759.7656,7640.9932
275463189,1.9531,3754.8828,7333.7554
275463228,2.0587,3759.7656,7740.2271
275463268,2.0851,3769.5313,7859.8232
275463308,2.2171,3745.1172,8303.1523
275463347,2.2435,3745.1172,8402.0000
275463387,2.2962,3740.2344,8588.4814
275463426,2.3490,3710.9375,8717.0996
275463465,2.2962,3730.4688,8566.0576
275463505,2.3490,3710.9375,8717.0996
275463544,2.4018,3730.4688,8959.8994
275463584,2.3226,3720.7031,8641.8359
275463623,2.4018,3720.7031,8936.4443
275463663,2.2435,3754.8828,8423.9082
275463703,2.2698,3691.4063,8378.9307
275463742,2.2435,3735.3516,8380.0908
275463782,2.2435,3701.1719,8303.4102
275463821,2.3490,3730.4688,8762.9785
