960,0.1??,?8.203,744.2526
351142964,2.3226,3754.8828,8721.2227
351143004,2.2962,3715.8203,8532.4209
351143043,2.1643,3789.0625,8200.5684
351143083,1.9267,3779.2969,7281.6904
351143122,1.9795,3779.2969,7481.1880
351143161,1.9267,3803.7109,7328.7295
351143201,2.0059,3754.8828,7531.9648
351143240,2.0587,3779.2969,7780.4360
351143280,2.0851,3774.4141,7870.0044
351143319,2.0323,3779.2969,7680.6865
351143359,2.1379,3798.8281,8121.4390
351143399,2.1643,3750.0000,8116.0264
351143438,2.1907,3740.2344,8193.6084
351143478,2.4282,3745.1172,9093.9297
351143517,2.5338,3696.2891,9365.5967
351143557,2.5866,3706.0547,9585.9736
351143597,2.5338,3691.4063,9353.2246
351143635,2.5074,3706.0547,9292.5254
351143675,2.3754,3715.8203,8826.6426
351143714,2.3490,3740.2344,8785.9180
351143754,2.2698,3740.2344,8489.7627
351143794,2.0851,3789.0625,7900.5479
351143833,2.0323,3754.8828,7631.0698
351143873,2.0059,3769.5313,7561.3481
351143912,2.1643,3754.8828,8126.5942
351143952,2.2435,3725.5859,8358.1826
351143992,2.1643,3759.7656,8137.1621
351144031,2.0587,3759.7656,7740.2271
351144071,2.0323,3774.4141,7670.7632
351144110,2.1115,3740.2344,7897.4541
351144150,2.1907,3720.7031,8150.8223
351144189,2.2698,3745.1172,8500.8467
351144228,2.1643,3725.5859,8063.1880
351144268,2.1115,3759.7656,7938.6943
351144307,2.2435,3740.2344,8391.0459
351144347,2.2962,3569.3359,8196.0576
351144387,2.4282,3730.4688,9058.3594
351144426,2.3490,3710.9375,8717.0996
351144466,2.2962,3745.1172,8599.6934
351144505,2.3226,3715.8203,8630.4951
351144545,2.2962,3740.2344,8588.4814
351144584,2.1643,3769.5313,8158.2974
351144624,2.1643,3730.4688,8073.7554
351144664,2.2435,3754.8828,8423.9082
351144702,2.1379,3789.0625,8100.5610
351144742,2.1379,3764.6484,8048.3667
351144781,2.2171,3745.1172,8303.1523
351144821,2.2962,3720.7031,8543.6328
351144861,2.1907,3764.6484,8247.0918
351144900,2.1907,3725.5859,8161.5186
351144940,2.1379,3774.4141,8069.2446
351144979,2.1643,3754.8828,8126.5942
351145019,2.0851,3745.1172,7808.9175
351145059,2.2435,3754.8828,8423.9082
351145098,2.1115,3671.8750,7753.1143
351145138,2.1643,3759.7656,8137.1621
351145177,2.1643,3745.1172,8105.4590
351145217,2.1379,3745.1172,8006.6113
351145256,2.1643,3759.7656,8137.1621
351145295,2.2962,3730.4688,8566.0576
351145335,2.2435,3715.8203,8336.2734
351145374,2.2698,3750.0000,8511.9297
351145414,2.2962,3730.4688,8566.0576
351145454,2.1643,3769.5313,8158.2974
351145493,2.1115,3745.1172,7907.7642
351145533,2.1907,3759.7656,8236.3955
351145572,2.1907,3740.2344,8193.6084
351145612,2.2435,3730.4688,8369.1367
351145652,2.3490,3745.1172,8797.3887
351145691,2.4018,3701.1719,8889.5332
351145731,2.4282,3720.7031,9034.6465
351145769,2.4810,3710.9375,9206.8232
351145809,2.4546,3706.0547,9096.8926
351145848,2.3754,3710.9375,8815.0439
351145888,2.2171,3745.1172,8303.1523
351145928,2.3490,3750.0000,8808.8584
351145967,2.0587,3750.0000,7720.1226
351146007,2.1115,3784.1797,7990.2441
351146046,2.0851,3750.0000,7819.0986
351146086,2.0851,3754.8828,7829.2798
351146126,1.9531,3789.0625,7400.5127
351146165,1.8476,3769.5313,6964.3999
351146205,1.9267,3789.0625,7300.5059
351146244,2.1115,3764.6484,7949.0039
351146284,2.3490,3735.3516,8774.4482
351146323,2.4282,3764.6484,9141.3555
351146362,2.5602,3691.4063,9450.6543
351146402,2.4810,3720.7031,9231.0518
351146441,2.4546,3715.8203,9120.8633
351146481,2.3490,3735.3516,8774.4482
351146521,2.3754,3696.2891,8780.2471
351146560,2.4810,3715.8203,9218.9375
351146600,2.4018,3701.1719,8889.5332
351146639,2.2171,3745.1172,8303.1523
351146679,2.1379,3745.1172,8006.6113
351146719,2.1379,3769.5313,8058.8057
351146758,2.0851,3769.5313,7859.8232
351146798,2.1115,3720.7031,7856.2144
351146836,2.1115,3793.9453,8010.8643
351146876,2.2171,3764.6484,8346.4541
351146916,2.1643,3740.2344,8094.8911
351146955,2.2962,3740.2344,8588.4814
351146995,2.3490,3701.1719,8694.1592
351147034,2.2698,3745.1172,8500.8467
351147074,2.3754,3706.0547,8803.4443
351147113,2.2962,3720.7031,8543.6328
351147153,2.2435,3730.4688,8369.1367
351147193,2.2962,3740.2344,8588.4814
351147232,2.2962,3754.8828,8622.1182
351147272,2.2962,3710.9375,8521.2090
351147311,2.1907,3754.8828,8225.6982
351147351,2.2171,3793.9453,8411.4072
351147390,2.0851,3759.7656,7839.4609
351147429,2.0851,3774.4141,7870.0044
351147469,2.1907,3706.0547,8118.7324
351147508,2.3226,3750.0000,8709.8818
351147548,2.2698,3710.9375,8423.2637
351147588,2.2435,3740.2344,8391.0459
351147627,2.1643,3764.6484,8147.7300
351147667,2.0851,3745.1172,7808.9175
351147706,2.2435,3750.0000,8412.9541
351147746,2.2962,3715.8203,8532.4209
351147786,2.2962,3730.4688,8566.0576
351147825,2.2698,3735.3516,8478.6797
351147865,2.2698,3730.4688,8467.5967
351147904,2.2962,3740.2344,8588.4814
351147943,2.2962,3701.1719,8498.7842
351147983,2.3226,3750.0000,8709.8818
351148022,2.2435,3725.5859,8358.1826
351148062,2.1907,3759.7656,8236.3955
351148101,2.1907,3745.1172,8204.3057
351148141,2.1379,3730.4688,7975.2949
351148181,2.0587,3784.1797,7790.4883
351148220,2.0059,3750.0000,7522.1704
351148260,2.1907,3759.7656,8236.3955
351148299,2.2171,3750.0000,8313.9775
351148339,2.2962,3725.5859,8554.8447
351148378,2.3754,3725.5859,8849.8398
351148418,2.2435,3706.0547,8314.3652
351148457,2.3226,3725.5859,8653.1768
351148496,2.4018,3725.5859,8948.1719
351148536,2.4810,3706.0547,9194.7090
351148575,2.4546,3710.9375,9108.8779
351148615,2.3754,3706.0547,8803.4443
351148655,2.3226,3842.7734,8925.3604
351148694,2.4282,3701.1719,8987.2207
351148734,2.2171,3745.1172,8303.1523
351148773,2.2962,3715.8203,8532.4209
351148813,2.2435,3754.8828,8423.9082
351148853,2.0587,3691.4063,7599.4956
351148892,2.0059,3769.5313,7561.3481
351148932,1.9267,3798.8281,7319.3218
351148971,2.0323,3764.6484,7650.9165
351149010,2.1907,3754.8828,8225.6982
351149050,2.1643,3740.2344,8094.8911
351149089,2.2962,3710.9375,8521.2090
351149129,2.3490,3740.2344,8785.9180
351149168,2.4810,3686.5234,9146.2520
351149208,2.5338,3701.1719,9377.9688
351149248,2.6658,3676.7578,9801.3232
351149287,2.6394,3686.5234,9730.0557
351149327,2.4282,3696.2891,8975.3643
351149366,2.2698,3725.5859,8456.5137
351149406,2.1115,3715.8203,7845.9043
351149446,2.0587,3769.5313,7760.3315
351149485,2.1643,3740.2344,8094.8911
351149524,2.0059,3789.0625,7600.5264
351149563,2.0587,3769.5313,7760.3315
351149603,1.9531,3750.0000,7324.2188
351149643,1.9003,3793.9453,7209.7778
351149682,2.1379,3740.2344,7996.1724
351149722,2.2435,3750.0000,8412.9541
351149761,2.4810,3686.5234,9146.2520
351149801,2.5074,3715.8203,9317.0117
351149840,2.5866,3671.8750,9497.5654
351149880,2.6921,3696.2891,9950.9473
351149920,2.5338,3681.6406,9328.4805
351149959,2.4018,3710.9375,8912.9883
351149999,2.4282,3676.7578,8927.9385
351150038,2.3754,3715.8203,8826.6426
351150077,2.2171,3730.4688,8270.6758
351150117,2.0587,3784.1797,7790.4883
351150156,2.0323,3754.8828,7631.0698
351150196,2.0587,3759.7656,7740.2271
351150235,2.0587,3779.2969,7780.4360
351150275,2.0851,3740.2344,7798.7368
351150315,2.1379,3769.5313,8058.8057
351150354,2.1643,3750.0000,8116.0264
351150394,2.2171,3735.3516,8281.5020
351150433,2.1379,3730.4688,7975.2949
351150473,2.2435,3710.9375,8325.3193
351150513,2.2962,3735.3516,8577.2695
351150552,2.3490,3720.7031,8740.0391
351150592,2.4018,3725.5859,8948.1719
351150630,2.2435,3750.0000,8412.9541
351150670,2.3490,3720.7031,8740.0391
351150710,2.2962,3740.2344,8588.4814
351150749,2.4282,3725.5859,9046.5029
351150789,2.3490,3725.5859,8751.5088
351150828,2.3754,3735.3516,8873.0371
351150868,2.1643,3730.4688,8073.7554
351150907,2.2171,3735.3516,8281.5020
351150947,2.2435,3720.7031,8347.2275
351150987,2.2962,3740.2344,8588.4814
351151026,2.4018,3720.7031,8936.4443
351151066,2.5074,3691.4063,9255.7959
351151105,2.3226,3715.8203,8630.4951
351151144,2.2698,3730.4688,8467.5967
351151184,2.1643,3759.7656,8137.1621
351151223,2.2171,3740.2344,8292.3271
351151263,2.1907,3750.0000,8215.0020
351151302,2.1907,3745.1172,8204.3057
351151342,2.1643,3735.3516,8084.3232
351151382,2.1907,3715.8203,8140.1255
351151421,2.0323,3745.1172,7611.2231
351151461,2.0323,3754.8828,7631.0698
351151500,2.1115,3769.5313,7959.3140
351151540,2.0323,3740.2344,7601.2998
351151580,2.0851,3774.4141,7870.0044
351151619,2.0059,3764.6484,7551.5537
351151659,2.0323,3750.0000,7621.1465
351151697,2.1643,3750.0000,8116.0264
351151737,2.4282,3691.4063,8963.5078
351151777,2.4810,3691.4063,9158.3662
351151816,2.5338,3676.7578,9316.1094
351151856,2.4810,3696.2891,9170.4805
351151895,2.4810,3686.5234,9146.2520
351151935,2.4282,3706.0547,8999.0771
351151975,2.5338,3691.4063,9353.2246
351152014,2.4546,3720.7031,9132.8486
351152054,2.4018,3715.8203,8924.7158
351152093,2.1907,3764.6484,8247.0918
351152133,2.0851,3764.6484,7849.6421
351152172,2.0851,3769.5313,7859.8232
351152211,2.1379,3774.4141,8069.2446
351152251,2.2171,3750.0000,8313.9775
351152290,2.1379,3759.7656,8037.9282
351152330,2.1643,3774.4141,8168.8652
351152369,2.0323,3730.4688,7581.4531
351152409,2.2435,3774.4141,8467.7256
351152449,2.5338,3715.8203,9415.0850
351152488,2.4810,3691.4063,9158.3662
351152528,2.5074,3701.1719,9280.2822
351152567,2.4282,3696.2891,8975.3643
351152607,2.3226,3725.5859,8653.1768
351152647,2.2962,3715.8203,8532.4209
351152686,2.2698,3603.5156,8179.4321
351152726,2.3490,3710.9375,8717.0996
351152764,2.2171,3745.1172,8303.1523
351152804,2.1907,3740.2344,8193.6084
351152844,2.1379,3764.6484,8048.3667
351152883,2.0059,3735.3516,7492.7866
351152923,2.0323,3740.2344,7601.2998
351152962,2.1379,3764.6484,8048.3667
351153002,2.1907,3754.8828,8225.6982
351153042,2.1907,3740.2344,8193.6084
351153081,2.2171,3750.0000,8313.9775
351153121,2.2435,3710.9375,8325.3193
351153160,2.2435,3754.8828,8423.9082
351153200,2.3226,3706.0547,8607.8125
351153240,2.3754,3710.9375,8815.0439
351153278,2.4546,3725.5859,9144.8340
351153318,2.3226,3720.7031,8641.8359
351153357,2.2435,3759.7656,8434.8633
351153397,2.0587,3754.8828,7730.1748
351153436,2.2698,3725.5859,8456.5137
351153476,2.3226,3735.3516,8675.8594
351153516,2.2698,3710.9375,8423.2637
351153555,2.2962,3745.1172,8599.6934
351153595,2.1643,3740.2344,8094.8911
351153634,2.1115,3735.3516,7887.1440
351153674,2.2171,3740.2344,8292.3271
351153714,2.3754,3706.0547,8803.4443
351153753,2.2435,3784.1797,8489.6348
351153793,2.2435,3745.1172,8402.0000
351153831,2.1379,3720.7031,7954.4170
351153871,2.1643,3769.5313,8158.2974
351153911,2.1907,3725.5859,8161.5186
351153950,2.2962,3735.3516,8577.2695
351153990,2.2435,3735.3516,8380.0908
351154029,2.3226,3706.0547,8607.8125
351154069,2.1907,3735.3516,8182.9121
351154109,2.2698,3725.5859,8456.5137
351154148,2.3226,3735.3516,8675.8594
351154188,2.3226,3725.5859,8653.1768
351154227,2.3490,3725.5859,8751.5088
351154267,2.2435,3745.1172,8402.0000
351154307,2.1379,3720.7031,7954.4170
351154345,2.1907,3759.7656,8236.3955
351154385,2.0851,3759.7656,7839.4609
351154424,2.1907,3725.5859,8161.5186
351154464,2.1379,3754.8828,8027.4893
351154504,2.2171,3725.5859,8259.8506
351154543,2.3490,3735.3516,8774.4482
351154583,2.2962,3740.2344,8588.4814
351154622,2.3226,3701.1719,8596.4717
351154662,2.3754,3720.7031,8838.2412
351154701,2.2962,3725.5859,8554.8447
351154741,2.2435,3740.2344,8391.0459
351154781,2.2171,3725.5859,8259.8506
351154820,2.0851,3735.3516,7788.5557
351154860,2.2435,3774.4141,8467.7256
351154898,2.2698,3715.8203,8434.3467
351154938,2.2962,3710.9375,8521.2090
351154978,2.1643,3808.5938,8242.8398
351155017,2.2171,3710.9375,8227.3740
351155057,2.2435,3745.1172,8402.0000
351155096,2.2435,3715.8203,8336.2734
351155136,2.3490,3735.3516,8774.4482
351155176,2.2171,3735.3516,8281.5020
351155215,2.2435,3725.5859,8358.1826
351155255,2.2435,3754.8828,8423.9082
351155294,2.2171,3740.2344,8292.3271
351155334,2.1907,3730.4688,8172.2153
351155374,2.2962,3735.3516,8577.2695
351155412,2.2962,3710.9375,8521.2090
351155452,2.2962,3730.4688,8566.0576
351155491,2.2171,3701.1719,8205.7227
351155531,2.2171,3750.0000,8313.9775
351155571,2.2171,3740.2344,8292.3271
351155610,2.2435,3701.1719,8303.4102
351155650,2.3754,3740.2344,8884.6357
351155689,2.2435,3745.1172,8402.0000
351155729,2.1907,3754.8828,8225.6982
351155769,2.1643,3750.0000,8116.0264
351155808,2.2171,3715.8203,8238.1992
351155848,2.2171,3750.0000,8313.9775
351155887,2.3754,3696.2891,8780.2471
351155927,2.3226,3735.3516,8675.8594
351155965,2.1907,3759.7656,8236.3955
