679069b?.??3,082.0313,1185.1337
356793742,0.2375,4082.0313,969.6548
356793780,0.2639,4082.0313,1077.3942
356793820,0.2639,4091.7969,1079.9717
356793859,0.2903,4082.0313,1185.1337
356793899,0.2639,4082.0313,1077.3942
356793938,0.2111,4057.6172,856.7604
356793976,0.2639,4086.9141,1078.6830
356794016,0.2375,4077.1484,968.4949
356794054,0.2639,4082.0313,1077.3942
356794094,0.2639,4086.9141,1078.6830
356794134,0.2903,4082.0313,1185.1337
356794173,0.2375,4086.9141,970.8147
356794212,0.2375,4082.0313,969.6548
356794250,0.2903,4082.0313,1185.1337
356794290,0.2639,4091.7969,1079.9717
356794329,0.2375,4096.6797,973.1344
356794368,0.2639,4082.0313,1077.3942
356794407,0.2111,4062.5000,857.7914
356794445,0.2111,4082.0313,861.9154
356794484,0.2375,4082.0313,969.6548
356794522,0.2375,4082.0313,969.6548
356794561,0.2903,4057.6172,1178.0455
356794601,0.3167,4086.9141,1294.4196
356794640,0.2375,4086.9141,970.8147
356794679,0.2111,4086.9141,862.9464
356794717,0.2903,4077.1484,1183.7161
356794757,0.2111,4057.6172,856.7604
356794795,0.3695,4086.9141,1510.1563
356794834,0.2639,4086.9141,1078.6830
356794874,0.3959,4082.0313,1616.0913
356794913,0.2639,4082.0313,1077.3942
356794953,0.3695,4082.0313,1508.3519
356794992,0.2375,4082.0313,969.6548
356795031,0.2639,4086.9141,1078.6830
356795071,0.2375,4086.9141,970.8147
356795109,0.2639,4086.9141,1078.6830
356795149,0.3959,4077.1484,1614.1582
356795188,0.2639,4077.1484,1076.1055
356795228,0.2111,4082.0313,861.9154
356795267,0.3695,4077.1484,1506.5477
356795305,0.2903,4082.0313,1185.1337
356795345,0.2639,4057.6172,1070.9504
356795384,0.2903,4082.0313,1185.1337
356795424,0.2375,4086.9141,970.8147
356795463,0.2903,4082.0313,1185.1337
356795502,0.2903,4082.0313,1185.1337
356795542,0.2111,4082.0313,861.9154
356795580,0.2639,4082.0313,1077.3942
356795620,0.2111,4082.0313,861.9154
356795658,0.2639,4067.3828,1073.5280
356795698,0.2375,4082.0313,969.6548
356795737,0.2903,4082.0313,1185.1337
356795776,0.2903,4072.2656,1182.2985
356795815,0.2639,4086.9141,1078.6830
356795854,0.2111,4082.0313,861.9154
356795893,0.2639,4082.0313,1077.3942
356795933,0.3431,4091.7969,1403.9633
356795972,0.2375,4062.5000,965.0153
356796011,0.3431,4082.0313,1400.6124
356796050,0.2903,4077.1484,1183.7161
356796090,0.2903,4077.1484,1183.7161
356796130,0.2375,4082.0313,969.6548
356796168,0.2639,4082.0313,1077.3942
356796208,0.3431,4082.0313,1400.6124
356796247,0.3167,4082.0313,1292.8730
356796286,0.3431,4082.0313,1400.6124
356796325,0.3167,4082.0313,1292.8730
356796365,0.2375,4082.0313,969.6548
356796404,0.2375,4082.0313,969.6548
356796442,0.2375,4086.9141,970.8147
356796481,0.3695,4082.0313,1508.3519
356796520,0.2375,4077.1484,968.4949
356796559,0.4223,4077.1484,1721.7688
356796599,0.2639,4067.3828,1073.5280
356796638,0.2375,4077.1484,968.4949
356796677,0.3431,4082.0313,1400.6124
356796716,0.2111,4091.7969,863.9774
356796754,0.3959,4082.0313,1616.0913
356796794,0.2111,4086.9141,862.9464
356796832,0.2903,4086.9141,1186.5513
356796872,0.2375,4057.6172,963.8554
356796910,0.2111,4091.7969,863.9774
356796949,0.2639,4082.0313,1077.3942
356796988,0.2375,4082.0313,969.6548
356797027,0.2111,4082.0313,861.9154
356797066,0.2639,4086.9141,1078.6830
356797105,0.3431,4077.1484,1398.9371
356797145,0.2639,4086.9141,1078.6830
356797184,0.2375,4072.2656,967.3350
356797222,0.3431,4091.7969,1403.9633
356797262,0.2903,4082.0313,1185.1337
356797301,0.2639,4082.0313,1077.3942
356797341,0.2639,4082.0313,1077.3942
356797380,0.2111,4072.2656,859.8534
356797419,0.2375,4086.9141,970.8147
356797457,0.2375,4082.0313,969.6548
356797496,0.2639,4077.1484,1076.1055
356797536,1.5572,3906.2500,6082.8955
356797575,1.6628,3901.3672,6487.1763
356797615,1.7156,3881.8359,6659.6108
356797654,1.7684,3847.6563,6804.0796
356797693,1.5308,3935.5469,6024.6445
356797733,1.6892,3896.4844,6581.8994
356797772,1.3725,3911.1328,5367.8975
356797812,1.4780,3930.6641,5809.6812
356797851,1.3461,3920.8984,5277.8145
356797891,1.3197,3896.4844,5142.1089
356797931,1.3989,3930.6641,5498.4478
356797970,1.2669,3940.4297,4992.0981
356798010,1.2933,3930.6641,5083.4707
356798049,1.3725,3906.2500,5361.1963
356798089,1.4780,3950.1953,5838.5488
356798129,1.4516,3911.1328,5677.5840
356798168,1.3461,3911.1328,5264.6689
356798208,1.2933,3950.1953,5108.7305
356798246,1.5572,3896.4844,6067.6885
356798286,1.2669,3906.2500,4948.7964
356798326,1.5044,3906.2500,5876.6958
356798365,1.4780,3940.4297,5824.1147
356798405,1.5044,3862.3047,5810.5830
356798444,1.3725,3906.2500,5361.1963
356798484,1.5836,3925.7813,6216.9253
356798523,1.5572,3901.3672,6075.2920
356798563,1.4780,3891.6016,5751.9448
356798603,1.8476,3867.1875,7144.8247
356798642,1.7420,3994.1406,6957.6987
356798682,1.9531,3847.6563,7514.9536
356798721,1.8476,3847.6563,7108.7397
356798760,1.6100,3876.9531,6241.9272
356798800,1.9003,3867.1875,7348.9624
356798839,1.6892,3876.9531,6548.9072
356798879,1.5836,3886.7188,6155.0654
356798918,1.6100,3916.0156,6304.8184
356798958,1.5836,3872.0703,6131.8682
356798998,1.5308,3886.7188,5949.8970
356799037,1.6892,3891.6016,6573.6514
356799077,1.6100,3896.4844,6273.3730
356799116,1.6100,3872.0703,6234.0659
356799156,1.6892,3867.1875,6532.4111
356799196,1.6628,3891.6016,6470.9380
356799235,1.7948,3862.3047,6931.9238
356799275,1.6100,3876.9531,6241.9272
356799313,1.6628,3896.4844,6479.0571
356799353,1.4253,3925.7813,5595.2329
356799393,1.4516,3906.2500,5670.4956
356799432,1.4780,3901.3672,5766.3789
356799472,1.5044,3911.1328,5884.0415
356799511,1.7420,3886.7188,6770.5723
356799551,1.7948,3857.4219,6923.1602
356799591,1.5044,3916.0156,5891.3877
356799630,1.5308,3906.2500,5979.7959
356799670,1.5836,3886.7188,6155.0654
356799709,1.6892,3852.5391,6507.6675
356799749,1.4780,3920.8984,5795.2471
356799788,1.4780,3891.6016,5751.9448
356799827,1.5836,3906.2500,6185.9956
356799867,1.5308,3891.6016,5957.3716
356799906,1.5836,3881.8359,6147.3330
356799946,1.7156,3881.8359,6659.6108
356799985,1.8212,3847.6563,7007.1865
356800025,1.5836,3886.7188,6155.0654
356800065,1.7948,3886.7188,6975.7412
356800104,1.5836,3886.7188,6155.0654
356800144,1.6628,3828.1250,6365.3896
356800183,1.4780,3916.0156,5788.0298
356800223,1.6364,3901.3672,6384.2051
356800263,1.5308,3891.6016,5957.3716
356800302,1.5836,3891.6016,6162.7979
356800342,1.4516,3920.8984,5691.7603
356800380,1.7420,3920.8984,6830.1123
356800420,1.6100,3876.9531,6241.9272
356800460,1.5572,3876.9531,6037.2739
356800499,1.5044,3920.8984,5898.7334
356800539,1.5836,3896.4844,6170.5303
356800578,1.7948,3867.1875,6940.6870
356800618,1.4516,3940.4297,5720.1128
356800658,1.5308,3906.2500,5979.7959
356800697,1.7156,3847.6563,6600.9727
356800737,1.6892,3867.1875,6532.4111
356800776,1.4516,3906.2500,5670.4956
356800816,1.5572,3911.1328,6090.4995
356800856,1.6100,3886.7188,6257.6499
356800894,1.4516,3901.3672,5663.4077
356800934,1.4516,3925.7813,5698.8481
356800973,1.4253,3906.2500,5567.3960
356801013,1.6100,3881.8359,6249.7886
356801052,1.3989,3891.6016,5443.8047
356801092,1.6892,3896.4844,6581.8994
356801132,1.7948,3857.4219,6923.1602
356801171,1.4780,3896.4844,5759.1621
356801211,1.6100,3896.4844,6273.3730
356801250,1.5044,3916.0156,5891.3877
356801290,1.5572,3891.6016,6060.0850
356801330,1.3725,3886.7188,5334.3901
356801369,1.6628,3901.3672,6487.1763
356801409,1.4253,3906.2500,5567.3960
356801447,1.5572,3876.9531,6037.2739
356801487,1.3989,3896.4844,5450.6353
356801527,1.5044,3920.8984,5898.7334
356801566,1.6100,3808.5938,6131.8682
356801606,1.5308,3876.9531,5934.9473
356801645,1.7420,3881.8359,6762.0664
356801685,1.4780,3901.3672,5766.3789
356801725,1.5572,3867.1875,6022.0669
356801764,1.3725,3920.8984,5381.3008
356801804,1.4253,3930.6641,5602.1924
356801843,1.3461,3901.3672,5251.5239
356801883,1.5308,3886.7188,5949.8970
356801923,1.3461,3940.4297,5304.1045
356801961,1.2933,3940.4297,5096.1006
356802001,1.2141,3935.5469,4778.1660
356802040,1.1877,3955.0781,4697.4902
356802080,1.2669,3959.9609,5016.8423
356802120,1.2933,3916.0156,5064.5264
356802159,1.5308,3867.1875,5919.9980
356802199,1.6100,3906.2500,6289.0957
356802238,1.6892,3867.1875,6532.4111
356802278,1.8212,3808.5938,6936.0474
356802317,2.1379,3803.7109,8131.8779
356802357,1.7948,3867.1875,6940.6870
356802397,1.4516,3901.3672,5663.4077
356802436,1.2933,3886.7188,5026.6367
356802476,1.4253,3925.7813,5595.2329
356802514,1.4516,3930.6641,5705.9365
356802554,1.3989,3896.4844,5450.6353
356802594,1.5836,3906.2500,6185.9956
356802633,1.6628,3901.3672,6487.1763
356802673,1.5836,3862.3047,6116.4028
356802712,1.6100,3857.4219,6210.4819
356802752,1.7420,3872.0703,6745.0552
356802792,1.6364,3891.6016,6368.2246
356802831,1.7156,3847.6563,6600.9727
356802871,1.6892,3886.7188,6565.4033
356802910,1.9267,3852.5391,7422.8081
356802950,1.8212,3862.3047,7033.8638
356802990,1.6892,3847.6563,6499.4194
356803028,1.4253,3940.4297,5616.1108
356803068,1.4780,3896.4844,5759.1621
356803107,1.3725,3896.4844,5347.7930
356803147,1.6100,3867.1875,6226.2046
356803187,1.7156,3876.9531,6651.2339
356803226,2.0323,3823.2422,7769.9971
356803266,1.7420,3857.4219,6719.5376
356803305,1.9003,3862.3047,7339.6836
356803345,1.8476,3837.8906,7090.6973
356803385,1.9795,3789.0625,7500.5195
356803424,1.9003,3862.3047,7339.6836
356803464,1.9267,3837.8906,7394.5845
356803503,2.1115,3808.5938,8041.7939
356803543,1.9531,3813.4766,7448.1963
356803581,1.6364,3876.9531,6344.2539
356803621,1.8212,3862.3047,7033.8638
356803661,1.7684,3852.5391,6812.7144
356803700,1.9003,3857.4219,7330.4048
356803740,1.8739,3867.1875,7246.8940
356803779,2.0587,3818.3594,7860.8540
356803819,2.1643,3818.3594,8263.9746
356803859,2.0851,3828.1250,7981.9966
356803898,2.1643,3759.7656,8137.1621
356803938,1.9531,3798.8281,7419.5859
356803977,2.2171,3813.4766,8454.7090
356804017,1.9267,3837.8906,7394.5845
356804057,1.8739,3823.2422,7164.5430
356804096,1.9267,3823.2422,7366.3608
356804135,2.0323,3837.8906,7799.7671
356804174,1.9531,3833.0078,7486.3433
356804214,1.9003,3828.1250,7274.7305
356804254,2.0059,3842.7734,7708.2656
356804293,2.0323,3837.8906,7799.7671
356804333,2.0587,3808.5938,7840.7495
356804372,2.0851,3745.1172,7808.9175
356804412,2.1907,3798.8281,8321.9678
356804452,2.0851,3798.8281,7920.9102
356804491,2.2435,3784.1797,8489.6348
356804531,2.3226,3793.9453,8811.9512
356804570,2.4546,3764.6484,9240.7168
356804610,2.2962,3872.0703,8891.2090
356804649,2.1115,3818.3594,8062.4141
356804688,2.0851,3823.2422,7971.8154
356804728,2.1115,3793.9453,8010.8643
356804767,1.9003,3847.6563,7311.8467
356804807,2.0323,3833.0078,7789.8438
356804846,2.0323,3818.3594,7760.0737
356804886,2.2698,3769.5313,8556.2627
356804926,2.2435,3803.7109,8533.4521
356804965,2.2435,3803.7109,8533.4521
356805005,2.3754,3779.2969,8977.4258
356805044,2.2962,3803.7109,8734.2393
356805084,2.0851,3813.4766,7951.4531
356805124,2.0323,3793.9453,7710.4565
356805163,2.2435,3774.4141,8467.7256
356805202,2.3754,3793.9453,9012.2217
356805241,2.1907,3769.5313,8257.7881
356805281,2.0587,3808.5938,7840.7495
356805321,2.2171,3808.5938,8443.8838
356805360,2.1907,3784.1797,8289.8779
356805400,1.9531,3818.3594,7457.7334
356805439,1.9531,3852.5391,7524.4902
356805479,2.1907,3823.2422,8375.4512
356805519,2.0851,3818.3594,7961.6343
356805558,1.9795,3647.4609,7220.2163
356805598,2.1907,3818.3594,8364.7549
356805637,2.2962,3764.6484,8644.5420
356805677,2.1115,3793.9453,8010.8643
356805716,2.1379,3818.3594,8163.1943
356805755,2.3226,3779.2969,8777.9277
356805795,2.2698,3750.0000,8511.9297
356805834,2.2435,3793.9453,8511.5439
356805874,2.2698,3789.0625,8600.5957
356805914,2.3490,3784.1797,8889.1475
356805953,2.2962,3793.9453,8711.8145
356805993,2.1379,3798.8281,8121.4390
356806032,2.1379,3803.7109,8131.8779
356806072,1.9267,3833.0078,7385.1768
356806112,1.9003,3803.7109,7228.3359
356806151,2.0587,3823.2422,7870.9063
356806191,2.1643,3769.5313,8158.2974
356806230,2.0323,3833.0078,7789.8438
356806269,2.0851,3808.5938,7941.2725
356806308,2.2698,3784.1797,8589.5117
356806348,2.2171,3769.5313,8357.2803
356806388,2.0851,3828.1250,7981.9966
356806427,2.0851,3803.7109,7931.0913
356806467,2.1907,3750.0000,8215.0020
356806506,2.2171,3833.0078,8498.0117
356806546,2.0851,3818.3594,7961.6343
356806586,2.1379,3784.1797,8090.1226
356806625,2.2435,3789.0625,8500.5889
356806665,2.2962,3789.0625,8700.6025
356806704,2.1643,3793.9453,8211.1357
356806744,2.0851,3798.8281,7920.9102
356806784,2.2435,3803.7109,8533.4521
356806822,2.1115,3813.4766,8052.1040
356806862,2.1379,3789.0625,8100.5610
356806901,2.2962,3793.9453,8711.8145
356806941,2.3490,3769.5313,8854.7373
356806981,2.2962,3769.5313,8655.7539
356807020,2.2171,3769.5313,8357.2803
356807060,2.3226,3789.0625,8800.6094
356807099,2.2698,3769.5313,8556.2627
356807139,1.9531,3789.0625,7400.5127
356807179,2.1379,3823.2422,8173.6333
356807218,2.1907,3808.5938,8343.3613
356807258,2.1643,3793.9453,8211.1357
356807297,2.2435,3779.2969,8478.6807
356807336,2.2435,3798.8281,8522.4980
356807375,2.1907,3813.4766,8354.0576
356807415,2.0587,3798.8281,7820.6450
356807455,2.2962,3813.4766,8756.6631
356807494,2.2171,3803.7109,8433.0586
356807534,2.1643,3808.5938,8242.8398
356807573,2.0587,3818.3594,7860.8540
356807613,2.0587,3833.0078,7891.0107
356807653,2.3490,3784.1797,8889.1475
356807692,2.2171,3789.0625,8400.5820
356807732,2.1379,3808.5938,8142.3169
356807771,2.1907,3803.7109,8332.6650
356807811,2.2435,3789.0625,8500.5889
356807851,2.0059,3813.4766,7649.4985
356807889,2.0323,3842.7734,7809.6904
356807929,2.0587,3784.1797,7790.4883
356807968,2.0323,3808.5938,7740.2271
356808008,1.9795,3847.6563,7616.5068
356808048,2.0587,3818.3594,7860.8540
356808087,1.9531,3808.5938,7438.6597
356808127,2.2171,3798.8281,8422.2334
356808166,2.1379,3808.5938,8142.3169
356808206,2.3754,3774.4141,8965.8271
356808246,2.5074,3759.7656,9427.2002
356808285,2.7185,3730.4688,10141.4240
356808326,2.6658,3710.9375,9892.4375
356808365,2.6658,3740.2344,9970.5361
356808404,2.4282,3740.2344,9082.0732
356808444,2.2962,3779.2969,8678.1787
356808483,2.2962,3784.1797,8689.3906
356808523,2.1115,3793.9453,8010.8643
356808562,1.9795,3808.5938,7539.1821
356808602,1.9003,3862.3047,7339.6836
356808642,2.0851,3823.2422,7971.8154
356808681,1.8476,3823.2422,7063.6333
356808721,2.0323,3828.1250,7779.9204
356808760,2.1379,3813.4766,8152.7554
356808800,2.2698,3745.1172,8500.8467
356808839,2.1115,3798.8281,8021.1738
356808879,2.1379,3823.2422,8173.6333
356808919,2.3490,3754.8828,8820.3281
356808957,2.2171,3769.5313,8357.2803
356808997,2.1643,3803.7109,8232.2715
356809036,2.2962,3769.5313,8655.7539
356809076,2.4018,3769.5313,9053.7197
356809116,2.1379,3813.4766,8152.7554
356809155,2.1379,3793.9453,8111.0000
356809195,2.4018,3769.5313,9053.7197
356809234,2.3754,3769.5313,8954.2285
356809274,2.1379,3808.5938,8142.3169
356809314,1.9795,3876.9531,7674.5005
356809353,2.2171,3789.0625,8400.5820
356809393,2.0059,3833.0078,7688.6768
356809432,2.1379,3813.4766,8152.7554
356809472,2.1643,3789.0625,8200.5684
356809511,2.1907,3793.9453,8311.2715
356809550,2.2171,3803.7109,8433.0586
356809590,2.3754,3759.7656,8931.0313
356809629,2.4810,3750.0000,9303.7373
356809669,2.2962,3759.7656,8633.3301
356809709,2.3754,3750.0000,8907.8330
356809748,2.3490,3857.4219,9061.1953
356809788,2.2435,3803.7109,8533.4521
356809827,2.0587,3789.0625,7800.5405
356809867,2.1379,3779.2969,8079.6836
356809907,2.1643,3789.0625,8200.5684
356809946,1.9795,3833.0078,7587.5098
356809986,2.0323,3837.8906,7799.7671
356810024,2.1379,3798.8281,8121.4390
356810064,2.1379,3823.2422,8173.6333
356810103,2.1643,3793.9453,8211.1357
356810143,2.1907,3759.7656,8236.3955
356810183,2.2435,3779.2969,8478.6807
356810222,1.9267,3818.3594,7356.9531
356810262,2.2171,3779.2969,8378.9307
356810301,2.1643,3813.4766,8253.4072
356810341,2.2962,3793.9453,8711.8145
356810381,2.1379,3798.8281,8121.4390
356810420,2.1907,3798.8281,8321.9678
356810460,2.1907,3803.7109,8332.6650
356810499,2.0851,3813.4766,7951.4531
356810539,2.1379,3769.5313,8058.8057
356810578,2.2435,3793.9453,8511.5439
356810617,2.3226,3745.1172,8698.5410
356810657,2.2698,3774.4141,8567.3457
356810696,2.2171,3779.2969,8378.9307
356810736,2.2171,3793.9453,8411.4072
356810776,2.2435,3774.4141,8467.7256
356810815,2.3226,3769.5313,8755.2461
356810855,2.3226,3793.9453,8811.9512
356810894,2.2171,3750.0000,8313.9775
356810934,2.1115,3774.4141,7969.6240
356810974,2.1907,3803.7109,8332.6650
356811013,2.0851,3798.8281,7920.9102
356811053,2.1907,3779.2969,8279.1816
356811091,1.9531,3828.1250,7476.8066
356811131,2.0323,3828.1250,7779.9204
356811171,2.1643,3818.3594,8263.9746
356811210,2.0323,3803.7109,7730.3037
356811250,2.0323,3842.7734,7809.6904
356811289,2.1115,3784.1797,7990.2441
356811329,2.3226,3754.8828,8721.2227
356811368,2.1115,3798.8281,8021.1738
356811408,2.2435,3793.9453,8511.5439
356811448,2.4018,3759.7656,9030.2646
356811487,2.5866,3745.1172,9687.0117
356811527,2.4282,3745.1172,9093.9297
356811566,2.5602,3735.3516,9563.1621
356811606,2.4546,3779.2969,9276.6729
356811645,2.2171,3784.1797,8389.7568
356811684,1.9003,3813.4766,7246.8936
356811724,1.8476,3847.6563,7108.7397
356811763,1.9795,3818.3594,7558.5132
356811803,1.9267,3828.1250,7375.7690
356811843,2.0059,3837.8906,7698.4712
356811882,2.0059,3823.2422,7669.0874
356811922,2.2962,3769.5313,8655.7539
356811961,2.1643,3774.4141,8168.8652
356812001,2.2435,3798.8281,8522.4980
356812041,2.2962,3774.4141,8666.9658
356812080,2.4282,3764.6484,9141.3555
356812120,2.1115,3808.5938,8041.7939
356812158,2.0851,3808.5938,7941.2725
356812198,2.2698,3754.8828,8523.0127
356812238,2.3754,3754.8828,8919.4326
356812277,2.2171,3793.9453,8411.4072
356812317,2.1907,3769.5313,8257.7881
356812356,2.2962,3774.4141,8666.9658
356812396,2.2698,3789.0625,8600.5957
356812436,2.1115,3823.2422,8072.7241
356812475,2.1379,3769.5313,8058.8057
356812515,2.3754,3798.8281,9023.8213
356812554,2.5602,3764.6484,9638.1680
356812594,2.1643,3774.4141,8168.8652
356812633,2.1643,3793.9453,8211.1357
356812673,2.1643,3798.8281,8221.7041
356812712,2.2435,3784.1797,8489.6348
356812751,2.2698,3798.8281,8622.7617
356812791,2.2698,3671.8750,8334.5977
356812830,2.2171,3789.0625,8400.5820
356812870,2.1115,3789.0625,8000.5542
356812910,2.0059,3833.0078,7688.6768
356812949,2.1643,3793.9453,8211.1357
356812989,2.2171,3779.2969,8378.9307
356813028,2.0059,3862.3047,7747.4434
356813068,2.0323,3828.1250,7779.9204
356813108,2.2171,3784.1797,8389.7568
356813147,2.2698,3774.4141,8567.3457
356813187,2.0851,3823.2422,7971.8154
356813225,2.1907,3808.5938,8343.3613
356813265,2.4546,3750.0000,9204.7607
356813305,2.2962,3784.1797,8689.3906
356813344,2.2962,3774.4141,8666.9658
356813384,2.2435,3764.6484,8445.8174
356813423,2.2962,3774.4141,8666.9658
356813463,2.0323,3823.2422,7769.9971
356813503,2.2171,3769.5313,8357.2803
356813542,2.2962,3779.2969,8678.1787
356813582,2.3226,3793.9453,8811.9512
356813621,2.1115,3793.9453,8010.8643
356813661,2.1643,3784.1797,8190.0005
356813701,2.1643,3774.4141,8168.8652
356813740,2.2435,3793.9453,8511.5439
356813779,2.0587,3779.2969,7780.4360
356813818,2.4018,3764.6484,9041.9922
356813858,2.3490,3789.0625,8900.6172
356813897,2.3226,3774.4141,8766.5869
356813937,2.2698,3784.1797,8589.5117
356813977,2.1643,3881.8359,8401.3555
356814016,2.2698,3784.1797,8589.5117
356814056,2.1115,3798.8281,8021.1738
356814095,2.0323,3833.0078,7789.8438
356814135,2.0587,3823.2422,7870.9063
356814175,1.9531,3789.0625,7400.5127
356814214,2.0059,3813.4766,7649.4985
356814254,2.1907,3803.7109,8332.6650
356814292,2.4282,3735.3516,9070.2168
356814332,2.2962,3764.6484,8644.5420
356814372,2.4810,3750.0000,9303.7373
356814411,2.4546,3706.0547,9096.8926
356814451,2.2698,3784.1797,8589.5117
356814490,2.0323,3818.3594,7760.0737
356814530,2.1115,3872.0703,8175.8237
356814570,2.1907,3774.4141,8268.4854
356814609,2.1907,3798.8281,8321.9678
356814649,2.0851,3793.9453,7910.7290
356814688,2.0851,3789.0625,7900.5479
356814728,2.3754,3798.8281,9023.8213
356814768,2.1643,3759.7656,8137.1621
356814807,2.2435,3764.6484,8445.8174
356814846,2.1907,3769.5313,8257.7881
356814885,2.2171,3784.1797,8389.7568
356814925,2.0059,3803.7109,7629.9097
356814965,2.1643,3774.4141,8168.8652
356815004,2.1907,3828.1250,8386.1475
356815044,2.5338,3764.6484,9538.8047
356815083,2.2171,3784.1797,8389.7568
356815123,2.3490,3789.0625,8900.6172
356815162,2.1643,3784.1797,8190.0005
356815202,2.2435,3754.8828,8423.9082
356815242,2.0323,3828.1250,7779.9204
356815281,2.1115,3759.7656,7938.6943
356815321,2.2962,3793.9453,8711.8145
356815360,1.9003,3833.0078,7284.0098
356815399,1.9795,3837.8906,7597.1758
356815439,2.0851,3798.8281,7920.9102
356815478,2.3490,3754.8828,8820.3281
356815518,2.1379,3803.7109,8131.8779
356815557,2.3226,3769.5313,8755.2461
356815597,2.4546,3759.7656,9228.7314
356815637,2.4018,3769.5313,9053.7197
356815676,2.2698,3789.0625,8600.5957
356815716,2.1643,3793.9453,8211.1357
356815755,2.4018,3754.8828,9018.5371
356815795,2.1379,3813.4766,8152.7554
356815835,2.3490,3784.1797,8889.1475
356815874,2.0851,3769.5313,7859.8232
356815913,2.2171,3779.2969,8378.9307
356815952,2.1379,3803.7109,8131.8779
356815992,2.0587,3779.2969,7780.4360
356816032,2.2698,3793.9453,8611.6787
356816071,2.2962,3769.5313,8655.7539
356816111,2.4018,3754.8828,9018.5371
356816150,2.2962,3784.1797,8689.3906
356816190,2.3490,3759.7656,8831.7979
356816230,2.2435,3803.7109,8533.4521
356816269,2.3754,3759.7656,8931.0313
356816309,2.2435,3774.4141,8467.7256
356816348,2.2698,3754.8828,8523.0127
356816388,2.1115,3789.0625,8000.5542
356816427,2.3754,3774.4141,8965.8271
356816466,2.2698,3779.2969,8578.4287
356816506,2.2962,3745.1172,8599.6934
356816545,2.1643,3803.7109,8232.2715
356816585,2.2435,3803.7109,8533.4521
356816624,2.1115,3784.1797,7990.2441
356816664,2.0851,3818.3594,7961.6343
356816704,2.0587,3823.2422,7870.9063
356816743,2.0587,3774.4141,7770.3838
356816783,2.1115,3789.0625,8000.5542
356816822,2.0587,3823.2422,7870.9063
356816862,2.2171,3803.7109,8433.0586
356816902,2.2435,3774.4141,8467.7256
356816941,2.1379,3798.8281,8121.4390
356816980,2.4018,3769.5313,9053.7197
356817019,2.3226,3764.6484,8743.9053
356817059,2.3490,3764.6484,8843.2676
356817099,2.2171,3798.8281,8422.2334
356817138,2.2171,3769.5313,8357.2803
356817178,2.2962,3793.9453,8711.8145
