6674
??N??980.2111,4052.7344,855.7294
258946961,2.1379,3769.5313,8058.8057
258947000,2.2435,3784.1797,8489.6348
258947040,2.1907,3754.8828,8225.6982
258947080,2.2698,3769.5313,8556.2627
258947119,2.2435,3764.6484,8445.8174
258947159,2.2698,3774.4141,8567.3457
258947197,2.2962,3764.6484,8644.5420
258947237,2.3754,3745.1172,8896.2344
258947277,2.1907,3774.4141,8268.4854
258947316,2.0323,3784.1797,7690.6099
258947356,2.0323,3789.0625,7700.5332
258947395,2.0851,3784.1797,7890.3667
258947435,2.2698,3779.2969,8578.4287
258947475,2.3490,3759.7656,8831.7979
258947514,2.3490,3740.2344,8785.9180
258947554,2.3226,3745.1172,8698.5410
258947593,2.3226,3740.2344,8687.2002
258947633,2.2435,3759.7656,8434.8633
258947673,2.1379,3754.8828,8027.4893
258947712,2.1115,3784.1797,7990.2441
258947751,2.1115,3769.5313,7959.3140
258947790,2.2171,3789.0625,8400.5820
258947830,2.1907,3730.4688,8172.2153
258947870,2.3490,3735.3516,8774.4482
258947909,2.1115,3750.0000,7918.0742
258947949,2.1115,3779.2969,7979.9341
258947988,2.1115,3789.0625,8000.5542
258948028,2.1115,3754.8828,7928.3843
258948067,2.0059,3808.5938,7639.7041
258948107,1.9795,3784.1797,7490.8540
258948147,2.0851,3813.4766,7951.4531
258948186,2.1115,3759.7656,7938.6943
258948226,2.1115,3769.5313,7959.3140
258948264,2.1115,3769.5313,7959.3140
258948304,2.2171,3750.0000,8313.9775
258948344,2.3490,3764.6484,8843.2676
258948383,2.1907,3735.3516,8182.9121
258948423,2.2698,3774.4141,8567.3457
258948462,2.2698,3745.1172,8500.8467
258948502,2.3490,3769.5313,8854.7373
258948542,2.2962,3735.3516,8577.2695
258948581,2.3754,3750.0000,8907.8330
258948621,2.4282,3730.4688,9058.3594
258948660,2.3490,3740.2344,8785.9180
258948700,2.2435,3745.1172,8402.0000
258948740,2.0323,3769.5313,7660.8398
258948779,2.0587,3784.1797,7790.4883
258948818,2.0587,3754.8828,7730.1748
258948857,2.1115,3798.8281,8021.1738
258948897,2.0851,3750.0000,7819.0986
258948937,2.0323,3784.1797,7690.6099
258948976,2.0851,3779.2969,7880.1855
258949016,2.0323,3798.8281,7720.3799
258949055,2.0587,3774.4141,7770.3838
258949095,2.1379,3798.8281,8121.4390
258949135,2.2171,3759.7656,8335.6289
258949174,2.2171,3750.0000,8313.9775
258949214,2.2435,3774.4141,8467.7256
258949253,2.2962,3754.8828,8622.1182
258949293,2.1379,3759.7656,8037.9282
258949331,2.1379,3754.8828,8027.4893
258949371,2.1907,3745.1172,8204.3057
258949411,2.1643,3769.5313,8158.2974
258949450,2.3754,3725.5859,8849.8398
258949490,2.2435,3769.5313,8456.7715
258949529,2.2435,3730.4688,8369.1367
258949569,2.1379,3784.1797,8090.1226
258949609,2.2698,3764.6484,8545.1797
258949648,2.2171,3740.2344,8292.3271
258949688,2.2698,3750.0000,8511.9297
258949727,2.1907,3750.0000,8215.0020
258949767,2.4018,3754.8828,9018.5371
258949807,2.2435,3715.8203,8336.2734
258949846,2.1379,3793.9453,8111.0000
258949885,2.0851,3764.6484,7849.6421
258949924,2.1115,3759.7656,7938.6943
258949964,2.0587,3637.6953,7488.9209
258950004,2.0587,3784.1797,7790.4883
258950043,2.0851,3784.1797,7890.3667
258950083,2.0851,3769.5313,7859.8232
258950122,2.1907,3779.2969,8279.1816
258950162,2.0851,3750.0000,7819.0986
258950202,2.0587,3784.1797,7790.4883
258950241,2.2435,3759.7656,8434.8633
258950281,2.2171,3764.6484,8346.4541
258950320,2.2698,3725.5859,8456.5137
258950360,2.3226,3735.3516,8675.8594
258950400,2.3490,3754.8828,8820.3281
258950438,2.2171,3725.5859,8259.8506
258950478,2.1115,3774.4141,7969.6240
258950517,2.2171,3735.3516,8281.5020
258950557,2.2435,3774.4141,8467.7256
258950596,2.2171,3750.0000,8313.9775
258950636,2.2171,3789.0625,8400.5820
258950676,2.0323,3769.5313,7660.8398
258950715,2.0323,3793.9453,7710.4565
258950755,2.2171,3774.4141,8368.1055
258950794,2.1115,3750.0000,7918.0742
258950834,2.0851,3779.2969,7880.1855
258950874,2.0851,3740.2344,7798.7368
258950913,2.0851,3774.4141,7870.0044
258950952,2.0851,3754.8828,7829.2798
258950991,2.2698,3764.6484,8545.1797
258951031,2.2171,3769.5313,8357.2803
258951071,2.2698,3730.4688,8467.5967
258951110,2.2698,3750.0000,8511.9297
258951150,2.2962,3740.2344,8588.4814
258951189,2.2698,3745.1172,8500.8467
258951229,2.1643,3740.2344,8094.8911
258951269,2.1643,3774.4141,8168.8652
258951308,2.1115,3754.8828,7928.3843
258951348,2.0323,3793.9453,7710.4565
258951387,1.9795,3784.1797,7490.8540
258951427,1.9531,3911.1328,7638.9312
258951467,2.0323,3803.7109,7730.3037
258951505,2.1643,3764.6484,8147.7300
258951545,2.1379,3774.4141,8069.2446
258951584,2.2435,3754.8828,8423.9082
258951624,2.1643,3769.5313,8158.2974
258951664,2.2171,3754.8828,8324.8037
258951703,2.2962,3745.1172,8599.6934
258951743,2.2962,3750.0000,8610.9053
258951782,2.2698,3735.3516,8478.6797
258951822,2.2698,3764.6484,8545.1797
258951861,2.1907,3730.4688,8172.2153
258951901,2.2962,3769.5313,8655.7539
258951941,2.2698,3754.8828,8523.0127
258951980,2.2698,3779.2969,8578.4287
258952019,2.2962,3754.8828,8622.1182
258952058,2.4546,3750.0000,9204.7607
258952098,2.1907,3759.7656,8236.3955
258952138,2.1379,3745.1172,8006.6113
258952177,2.1379,3784.1797,8090.1226
258952217,2.1115,3754.8828,7928.3843
258952256,2.1907,3764.6484,8247.0918
258952296,2.1907,3759.7656,8236.3955
258952336,2.2435,3750.0000,8412.9541
258952375,2.2698,3759.7656,8534.0957
258952415,2.3226,3725.5859,8653.1768
258952454,2.3754,3735.3516,8873.0371
258952494,2.3226,3710.9375,8619.1543
258952534,2.2698,3735.3516,8478.6797
258952572,2.2171,3745.1172,8303.1523
258952612,2.2962,3784.1797,8689.3906
258952651,2.2435,3759.7656,8434.8633
258952691,2.0323,3852.5391,7829.5371
258952731,2.0587,3789.0625,7800.5405
258952770,2.0323,3774.4141,7670.7632
258952810,2.0323,3779.2969,7680.6865
258952849,2.0587,3779.2969,7780.4360
258952889,2.1643,3798.8281,8221.7041
258952929,2.0587,3798.8281,7820.6450
258952968,2.1379,3754.8828,8027.4893
258953008,2.1643,3613.2813,7820.1299
258953047,2.2435,3730.4688,8369.1367
258953086,2.2698,3759.7656,8534.0957
258953125,2.2698,3735.3516,8478.6797
258953165,2.3226,3769.5313,8755.2461
258953205,2.2171,3735.3516,8281.5020
258953244,2.2435,3769.5313,8456.7715
258953284,2.1643,3764.6484,8147.7300
258953323,2.1379,3745.1172,8006.6113
258953363,2.2171,3774.4141,8368.1055
258953403,2.2698,3720.7031,8445.4297
258953442,2.4546,3750.0000,9204.7607
258953482,2.2962,3735.3516,8577.2695
258953521,2.3490,3750.0000,8808.8584
258953561,2.1115,3750.0000,7918.0742
258953601,2.1115,3769.5313,7959.3140
258953639,2.1379,3764.6484,8048.3667
258953679,2.1115,3774.4141,7969.6240
258953718,1.9795,3793.9453,7510.1851
258953758,1.9795,3769.5313,7461.8569
258953798,1.9795,3813.4766,7548.8477
258953837,1.9795,3789.0625,7500.5195
258953877,2.0587,3808.5938,7840.7495
258953916,2.1907,3769.5313,8257.7881
258953956,2.0851,3774.4141,7870.0044
258953996,2.1643,3745.1172,8105.4590
258954035,2.1907,3730.4688,8172.2153
258954075,2.2962,3759.7656,8633.3301
258954114,2.2171,3745.1172,8303.1523
258954153,2.2435,3774.4141,8467.7256
258954193,2.3226,3759.7656,8732.5635
258954232,2.4282,3740.2344,9082.0732
258954272,2.4810,3706.0547,9194.7090
258954311,2.4282,3740.2344,9082.0732
258954351,2.3226,3750.0000,8709.8818
258954390,2.2171,3750.0000,8313.9775
258954430,2.1643,3769.5313,8158.2974
258954470,2.1907,3789.0625,8300.5752
258954509,1.9795,3789.0625,7500.5195
258954549,1.9531,3769.5313,7362.3657
258954588,1.9531,3803.7109,7429.1230
258954628,2.0323,3769.5313,7660.8398
258954668,2.0851,3759.7656,7839.4609
258954706,2.1643,3750.0000,8116.0264
258954746,2.1907,3730.4688,8172.2153
258954785,2.2435,3735.3516,8380.0908
258954825,2.2171,3740.2344,8292.3271
258954865,2.2435,3754.8828,8423.9082
258954904,2.2962,3735.3516,8577.2695
258954944,2.2435,3740.2344,8391.0459
258954983,2.2171,3764.6484,8346.4541
258955023,2.2698,3774.4141,8567.3457
258955063,2.2435,3769.5313,8456.7715
258955102,2.1643,3754.8828,8126.5942
258955142,2.2171,3769.5313,8357.2803
258955181,2.0851,3745.1172,7808.9175
258955220,2.1379,3764.6484,8048.3667
258955260,2.1379,3769.5313,8058.8057
258955299,2.0587,3764.6484,7750.2793
258955339,2.0851,3779.2969,7880.1855
258955378,2.1907,3745.1172,8204.3057
258955418,2.2435,3750.0000,8412.9541
258955458,2.3226,3735.3516,8675.8594
258955497,2.5338,3735.3516,9464.5732
258955537,2.3490,3725.5859,8751.5088
258955576,2.3490,3750.0000,8808.8584
258955616,2.1907,3750.0000,8215.0020
258955655,2.0059,3769.5313,7561.3481
258955695,2.1379,3774.4141,8069.2446
258955735,2.0323,3813.4766,7750.1504
258955773,2.0851,3789.0625,7900.5479
258955813,2.1643,3745.1172,8105.4590
258955852,2.2171,3774.4141,8368.1055
258955892,2.1379,3725.5859,7964.8560
258955932,2.1379,3764.6484,8048.3667
258955971,2.1379,3764.6484,8048.3667
258956011,2.1379,3740.2344,7996.1724
258956050,2.1379,3774.4141,8069.2446
258956090,2.1115,3769.5313,7959.3140
258956130,2.0323,3789.0625,7700.5332
258956169,2.0851,3779.2969,7880.1855
258956209,2.1907,3774.4141,8268.4854
258956248,2.0587,3779.2969,7780.4360
258956288,2.2698,3740.2344,8489.7627
258956327,2.3226,3764.6484,8743.9053
258956366,2.2698,3725.5859,8456.5137
258956406,2.3490,3759.7656,8831.7979
258956445,2.3490,3730.4688,8762.9785
258956485,2.2962,3754.8828,8622.1182
258956525,2.2698,3745.1172,8500.8467
258956564,2.2435,3759.7656,8434.8633
258956604,2.1379,3750.0000,8017.0503
258956643,2.2171,3750.0000,8313.9775
258956683,2.2962,3764.6484,8644.5420
258956723,2.1379,3759.7656,8037.9282
258956762,2.2962,3769.5313,8655.7539
