266100??	r?37,4067.3828,966.1752
266103872,0.2375,4072.2656,967.3350
266103910,0.2903,4062.5000,1179.4631
266103950,0.2375,4062.5000,965.0153
266103988,0.2639,4057.6172,1070.9504
266104028,0.2111,4042.9688,853.6674
266104066,0.2903,4062.5000,1179.4631
266104105,0.3959,4057.6172,1606.4257
266104145,0.2375,4067.3828,966.1752
266104183,0.2639,4057.6172,1070.9504
266104223,0.3695,4062.5000,1501.1350
266104262,0.2375,4057.6172,963.8554
266104301,0.2111,4062.5000,857.7914
266104340,0.2111,4057.6172,856.7604
266104378,0.2375,4033.2031,958.0560
266104417,0.2375,4145.5078,984.7332
266104455,0.2639,4199.2188,1108.3242
266104495,0.2903,4067.3828,1180.8807
266104535,0.3431,4077.1484,1398.9371
266104573,0.2375,4028.3203,956.8962
266104612,0.2375,4038.0859,959.2159
266104650,0.3695,4042.9688,1493.9180
266104690,0.3959,4062.5000,1608.3588
266104729,0.2111,4062.5000,857.7914
266104768,0.2111,4062.5000,857.7914
266104807,0.2375,4057.6172,963.8554
266104845,0.2639,4057.6172,1070.9504
266104885,0.2639,4062.5000,1072.2393
266104924,0.2375,4067.3828,966.1752
266104963,0.2639,4062.5000,1072.2393
266105003,0.3167,4052.7344,1283.5940
266105041,0.2375,4062.5000,965.0153
266105080,0.2639,4062.5000,1072.2393
266105119,0.2639,4062.5000,1072.2393
266105159,0.2375,4072.2656,967.3350
266105197,0.2903,4062.5000,1179.4631
266105237,0.2375,4062.5000,965.0153
266105276,0.2375,4062.5000,965.0153
266105314,0.2375,4057.6172,963.8554
266105353,0.2903,4062.5000,1179.4631
266105392,0.2375,4013.6719,953.4166
266105431,0.3695,4062.5000,1501.1350
266105470,0.2375,4052.7344,962.6956
266105508,0.1848,4062.5000,750.5675
266105547,0.2111,4062.5000,857.7914
266105585,0.1848,4047.8516,747.8611
266105624,0.2639,4033.2031,1064.5067
266105663,0.2903,4042.9688,1173.7927
266105703,0.2903,4062.5000,1179.4631
266105743,0.2375,4057.6172,963.8554
266105781,0.2903,4072.2656,1182.2985
266105821,0.2639,4062.5000,1072.2393
266105860,0.2639,4067.3828,1073.5280
266105900,0.1848,4062.5000,750.5675
266105938,0.2375,4052.7344,962.6956
266105976,0.2903,4062.5000,1179.4631
266106016,0.2639,4052.7344,1069.6617
266106055,0.1848,4047.8516,747.8611
266106094,0.2111,4062.5000,857.7914
266106133,0.2375,4062.5000,965.0153
266106171,0.2639,4062.5000,1072.2393
266106211,0.2375,4062.5000,965.0153
266106249,0.2903,4067.3828,1180.8807
266106289,0.2639,4067.3828,1073.5280
266106328,0.2639,4047.8516,1068.3729
266106368,0.2903,4062.5000,1179.4631
266106407,0.2639,4062.5000,1072.2393
266106446,0.2111,3999.0234,844.3884
266106485,0.2111,4072.2656,859.8534
266106523,0.2375,4072.2656,967.3350
266106562,0.1848,4057.6172,749.6653
266106601,0.3695,4072.2656,1504.7434
266106640,0.2111,4057.6172,856.7604
266106679,0.2639,4057.6172,1070.9504
266106718,0.2375,4062.5000,965.0153
266106757,0.2375,4062.5000,965.0153
266106795,0.2639,4062.5000,1072.2393
266106834,0.2639,4057.6172,1070.9504
266106874,0.2639,4067.3828,1073.5280
266106913,0.2111,4067.3828,858.8224
266106952,0.2111,4062.5000,857.7914
266106990,0.2903,4062.5000,1179.4631
266107030,0.2375,4042.9688,960.3758
266107069,0.2375,4038.0859,959.2159
266107107,1.4516,3862.3047,5606.7026
266107147,1.5836,3852.5391,6100.9380
266107186,1.5572,3891.6016,6060.0850
266107226,1.4780,3872.0703,5723.0771
266107266,1.3461,3916.0156,5271.2417
266107304,1.2405,3920.8984,4863.8677
266107344,1.2669,3916.0156,4961.1685
266107383,1.2933,3930.6641,5083.4707
266107423,1.2141,3823.2422,4641.8164
266107463,1.1877,3916.0156,4651.0952
266107502,1.2669,3911.1328,4954.9824
266107542,1.1877,3935.5469,4674.2930
266107581,1.2141,3940.4297,4784.0947
266107621,1.1613,3916.0156,4547.7378
266107660,1.1613,3940.4297,4576.0903
266107700,1.2141,3916.0156,4754.4531
266107740,1.1613,3945.3125,4581.7607
266107779,1.1877,3916.0156,4651.0952
266107819,1.1877,3925.7813,4662.6938
266107857,1.1349,3940.4297,4472.0879
266107897,1.1349,3901.3672,4427.7549
266107937,1.1613,3950.1953,4587.4312
266107976,1.1613,3920.8984,4553.4082
266108016,1.2405,3950.1953,4900.2104
266108055,1.2405,3911.1328,4851.7534
266108095,1.2405,3891.6016,4827.5249
266108135,1.2669,3940.4297,4992.0981
266108174,1.6364,3847.6563,6296.3125
266108214,1.6100,3867.1875,6226.2046
266108253,1.5308,3886.7188,5949.8970
266108293,1.5836,3852.5391,6100.9380
266108333,1.5308,3906.2500,5979.7959
266108371,1.3461,3881.8359,5225.2334
266108411,1.3725,3920.8984,5381.3008
266108450,1.3725,3896.4844,5347.7930
266108490,1.3461,3891.6016,5238.3784
266108530,1.3725,3901.3672,5354.4946
266108569,1.5572,3867.1875,6022.0669
266108609,1.5308,3896.4844,5964.8467
266108648,1.5572,3876.9531,6037.2739
266108688,1.5836,3886.7188,6155.0654
266108728,1.4516,3896.4844,5656.3193
266108767,1.3725,3867.1875,5307.5840
266108807,1.4780,3911.1328,5780.8130
266108846,1.3725,3886.7188,5334.3901
266108886,1.3461,3886.7188,5231.8057
266108924,1.3461,3916.0156,5271.2417
266108964,1.3197,3891.6016,5135.6650
266109004,1.3197,3916.0156,5167.8838
266109043,1.5044,3886.7188,5847.3125
266109083,1.4516,3881.8359,5635.0552
266109122,1.4516,3901.3672,5663.4077
266109162,1.3725,3852.5391,5287.4795
266109202,1.6100,3872.0703,6234.0659
266109241,1.4253,3891.6016,5546.5186
266109281,1.5044,3881.8359,5839.9663
266109320,1.4516,3911.1328,5677.5840
266109360,1.5044,3876.9531,5832.6206
266109400,1.5044,3945.3125,5935.4629
266109438,1.4253,3906.2500,5567.3960
266109478,1.3989,3881.8359,5430.1440
266109517,1.3461,3896.4844,5244.9512
266109557,1.3989,3862.3047,5402.8228
266109597,1.5308,3891.6016,5957.3716
266109636,1.4516,3891.6016,5649.2314
266109676,1.5572,3857.4219,6006.8594
266109715,1.4780,3876.9531,5730.2939
266109755,1.5308,3872.0703,5927.4727
266109795,1.5308,3872.0703,5927.4727
266109834,1.6100,3896.4844,6273.3730
266109874,1.4780,3867.1875,5715.8599
266109913,1.3989,3901.3672,5457.4653
266109953,1.3725,3891.6016,5341.0918
266109992,1.4780,3896.4844,5759.1621
266110031,1.3197,3930.6641,5187.2148
266110071,1.3989,3891.6016,5443.8047
266110110,1.3989,3916.0156,5477.9565
266110150,1.3989,3896.4844,5450.6353
266110189,1.5044,3867.1875,5817.9287
266110229,1.5572,3935.5469,6128.5176
266110269,1.5836,3862.3047,6116.4028
266110308,1.4516,3891.6016,5649.2314
266110348,1.5572,3896.4844,6067.6885
266110387,1.5308,3867.1875,5919.9980
266110427,1.5308,3901.3672,5972.3213
266110467,1.5308,3881.8359,5942.4224
266110505,1.3461,3881.8359,5225.2334
266110545,1.3197,3916.0156,5167.8838
266110584,1.4516,3876.9531,5627.9673
266110624,1.4516,3906.2500,5670.4956
266110664,1.5044,3862.3047,5810.5830
266110703,1.5572,3857.4219,6006.8594
266110743,1.5836,3789.0625,6000.4155
266110782,1.6364,3886.7188,6360.2344
266110822,1.5044,3886.7188,5847.3125
266110862,1.5836,3872.0703,6131.8682
266110901,1.6364,3867.1875,6328.2734
266110941,1.5836,3896.4844,6170.5303
266110980,1.5308,3867.1875,5919.9980
266111020,1.3989,3916.0156,5477.9565
266111059,1.4253,3901.3672,5560.4370
266111098,1.4253,3881.8359,5532.5996
266111138,1.4780,3906.2500,5773.5962
266111177,1.5572,3847.6563,5991.6523
266111217,1.5308,3891.6016,5957.3716
266111257,1.6364,3886.7188,6360.2344
266111296,1.5044,3862.3047,5810.5830
266111336,1.5044,3891.6016,5854.6582
266111375,1.5572,3876.9531,6037.2739
266111415,1.6100,3886.7188,6257.6499
266111454,1.5308,3886.7188,5949.8970
266111494,1.5308,3876.9531,5934.9473
266111534,1.4780,3886.7188,5744.7280
266111572,1.4780,3872.0703,5723.0771
266111612,1.5308,3881.8359,5942.4224
266111651,1.5044,3891.6016,5854.6582
266111691,1.5044,3876.9531,5832.6206
266111731,1.4253,3906.2500,5567.3960
266111770,1.5572,3876.9531,6037.2739
266111810,1.5572,3867.1875,6022.0669
266111849,1.6364,3876.9531,6344.2539
266111889,1.5836,3833.0078,6070.0078
266111929,1.8212,3876.9531,7060.5405
266111968,1.7156,3837.8906,6584.2188
266112008,1.7420,3837.8906,6685.5146
266112047,1.8476,3823.2422,7063.6333
266112087,1.6892,3828.1250,6466.4272
266112126,1.7156,3876.9531,6651.2339
266112165,1.5572,3847.6563,5991.6523
266112205,1.5044,3901.3672,5869.3501
266112244,1.5044,3896.4844,5862.0039
266112284,1.5572,3999.0234,6227.3643
266112324,1.5572,3886.7188,6052.4810
266112363,1.6892,3862.3047,6524.1636
266112403,1.6892,3837.8906,6482.9233
266112442,1.8739,3876.9531,7265.1943
266112482,1.5572,3847.6563,5991.6523
266112522,1.6100,3959.9609,6375.5708
266112561,1.5044,3886.7188,5847.3125
266112601,1.5836,3862.3047,6116.4028
266112640,1.5572,3896.4844,6067.6885
266112679,1.5044,3862.3047,5810.5830
266112718,1.4516,3896.4844,5656.3193
266112758,1.3725,3891.6016,5341.0918
266112798,1.4516,3881.8359,5635.0552
266112837,1.5836,3886.7188,6155.0654
266112877,1.5572,3852.5391,5999.2559
266112916,1.6100,3872.0703,6234.0659
266112956,1.6100,3852.5391,6202.6206
266112996,1.6628,3857.4219,6414.1045
266113035,1.6628,3857.4219,6414.1045
266113075,1.6628,3833.0078,6373.5088
266113114,1.6100,3872.0703,6234.0659
266113154,1.6364,3867.1875,6328.2734
266113193,1.6628,3837.8906,6381.6279
266113232,1.5836,3872.0703,6131.8682
266113272,1.5836,3852.5391,6100.9380
266113311,1.6628,3862.3047,6422.2236
266113351,1.6100,3876.9531,6241.9272
266113391,1.5572,3867.1875,6022.0669
266113430,1.6628,3872.0703,6438.4619
266113470,1.6892,3837.8906,6482.9233
266113509,1.6892,3852.5391,6507.6675
266113549,1.6100,3901.3672,6281.2344
266113589,1.6892,3842.7734,6491.1714
266113628,1.6100,3891.6016,6265.5117
266113668,1.5044,3872.0703,5825.2744
266113707,1.6100,3881.8359,6249.7886
266113746,1.4780,3876.9531,5730.2939
266113786,1.4780,3867.1875,5715.8599
266113825,1.6100,3891.6016,6265.5117
266113865,1.5308,3862.3047,5912.5234
266113904,1.4516,3876.9531,5627.9673
266113944,1.6364,3876.9531,6344.2539
266113983,1.6892,3847.6563,6499.4194
266114023,1.6628,3876.9531,6446.5811
266114063,1.7420,3930.6641,6847.1240
266114102,1.7420,3842.7734,6694.0205
266114142,1.6628,3862.3047,6422.2236
266114181,1.7156,3837.8906,6584.2188
266114221,1.7156,3886.7188,6667.9878
266114260,1.5836,3837.8906,6077.7407
266114299,1.7948,3867.1875,6940.6870
266114339,1.5836,3867.1875,6124.1353
266114378,1.5836,3862.3047,6116.4028
266114418,1.5836,3886.7188,6155.0654
266114458,1.5836,3847.6563,6093.2056
266114497,1.6364,3867.1875,6328.2734
266114537,1.6100,3876.9531,6241.9272
266114576,1.6628,3872.0703,6438.4619
266114616,1.6892,3872.0703,6540.6592
266114656,1.8212,3833.0078,6980.5093
266114695,1.7420,3867.1875,6736.5493
266114735,1.6892,3847.6563,6499.4194
266114774,1.7684,3837.8906,6786.8105
266114813,1.6628,3857.4219,6414.1045
266114853,1.7156,3837.8906,6584.2188
266114892,1.6892,3867.1875,6532.4111
266114932,1.6628,3862.3047,6422.2236
266114971,1.6364,3862.3047,6320.2832
266115011,1.6628,3872.0703,6438.4619
266115051,1.7684,3872.0703,6847.2524
266115090,1.6892,3872.0703,6540.6592
266115130,1.6628,3857.4219,6414.1045
266115169,1.6364,3852.5391,6304.3027
266115209,1.6100,3872.0703,6234.0659
266115248,1.6100,3842.7734,6186.8979
266115288,1.4516,3881.8359,5635.0552
266115328,1.5572,3876.9531,6037.2739
266115366,1.5308,3872.0703,5927.4727
266115406,1.7156,3857.4219,6617.7266
266115445,1.9003,3798.8281,7219.0566
266115485,2.1115,3784.1797,7990.2441
266115525,2.0059,3803.7109,7629.9097
266115564,1.8212,3818.3594,6953.8325
266115604,1.7420,3857.4219,6719.5376
266115643,1.6628,3837.8906,6381.6279
266115683,1.6100,3876.9531,6241.9272
266115723,1.6100,3852.5391,6202.6206
266115762,1.6364,3847.6563,6296.3125
266115802,1.7420,3867.1875,6736.5493
266115841,1.8212,3881.8359,7069.4331
266115880,1.9003,3837.8906,7293.2886
266115920,1.9267,3798.8281,7319.3218
266115959,2.0587,3789.0625,7800.5405
266115999,1.9531,3823.2422,7467.2700
266116038,2.0587,3784.1797,7790.4883
266116078,1.9267,3828.1250,7375.7690
266116118,1.9267,3798.8281,7319.3218
266116157,1.9003,3808.5938,7237.6147
266116197,1.8739,3813.4766,7146.2427
266116236,2.0851,3774.4141,7870.0044
266116276,2.2171,3793.9453,8411.4072
266116316,2.2435,3789.0625,8500.5889
266116355,2.2698,3769.5313,8556.2627
266116395,2.1907,3808.5938,8343.3613
266116433,2.0059,3784.1797,7590.7319
266116473,1.9003,3833.0078,7284.0098
266116512,1.9267,3808.5938,7338.1372
266116552,1.9267,3793.9453,7309.9141
266116592,1.9267,3828.1250,7375.7690
266116631,1.8476,3793.9453,7009.5059
266116671,2.0323,3833.0078,7789.8438
266116710,2.1115,3803.7109,8031.4839
266116750,2.1115,3798.8281,8021.1738
266116790,2.0851,3798.8281,7920.9102
266116829,2.0851,3774.4141,7870.0044
266116869,2.0587,3750.0000,7720.1226
266116908,2.0851,3784.1797,7890.3667
266116947,2.1643,3789.0625,8200.5684
266116987,2.2171,3779.2969,8378.9307
266117026,2.2171,3764.6484,8346.4541
266117066,2.2171,3793.9453,8411.4072
266117105,2.2171,3769.5313,8357.2803
266117145,2.2698,3789.0625,8600.5957
266117185,2.2962,3759.7656,8633.3301
266117224,2.2435,3764.6484,8445.8174
266117264,2.2435,3769.5313,8456.7715
266117303,2.1643,3750.0000,8116.0264
266117343,2.2698,3769.5313,8556.2627
266117383,2.1379,3784.1797,8090.1226
266117422,1.8476,3833.0078,7081.6758
266117462,1.8476,3823.2422,7063.6333
266117500,1.7948,3833.0078,6879.3428
266117540,1.9531,3847.6563,7514.9536
266117580,1.9267,3808.5938,7338.1372
266117619,1.9795,3823.2422,7568.1787
266117659,1.9531,3789.0625,7400.5127
266117698,2.0587,3774.4141,7770.3838
266117738,2.1379,3774.4141,8069.2446
266117777,2.4546,3745.1172,9192.7754
266117817,2.5866,3720.7031,9623.8623
266117857,2.6921,3730.4688,10042.9640
266117897,2.7449,3686.5234,10119.2580
266117938,2.6130,3730.4688,9747.5830
266117977,2.3490,3759.7656,8831.7979
266118017,2.1643,3789.0625,8200.5684
266118056,1.9003,3803.7109,7228.3359
266118095,1.7948,3847.6563,6905.6333
266118135,1.8739,3818.3594,7155.3926
266118174,1.7684,3847.6563,6804.0796
266118214,1.8212,3823.2422,6962.7246
266118254,1.9531,3803.7109,7429.1230
266118293,2.1115,3715.8203,7845.9043
266118333,2.1907,3764.6484,8247.0918
266118372,2.3226,3784.1797,8789.2686
266118412,2.4282,3725.5859,9046.5029
266118452,2.5338,3735.3516,9464.5732
266118491,2.6394,3706.0547,9781.6055
266118531,2.5866,3730.4688,9649.1221
266118569,2.4546,3730.4688,9156.8193
266118609,2.3754,3774.4141,8965.8271
266118649,2.0587,3784.1797,7790.4883
266118688,1.8739,3823.2422,7164.5430
266118728,1.8476,3813.4766,7045.5908
266118767,1.8212,3837.8906,6989.4019
266118807,1.8476,3793.9453,7009.5059
266118847,1.9267,3818.3594,7356.9531
266118886,2.0851,3818.3594,7961.6343
266118926,2.0851,3769.5313,7859.8232
266118965,2.2962,3769.5313,8655.7539
266119005,2.4546,3730.4688,9156.8193
266119045,2.4546,3745.1172,9192.7754
266119084,2.3754,3740.2344,8884.6357
266119123,2.4546,3764.6484,9240.7168
266119162,2.3226,3769.5313,8755.2461
266119202,2.2435,3764.6484,8445.8174
266119241,2.2171,3779.2969,8378.9307
266119281,2.1643,3759.7656,8137.1621
266119321,2.1643,3823.2422,8274.5430
266119360,2.0587,3789.0625,7800.5405
266119400,2.0587,3808.5938,7840.7495
266119439,1.9003,3793.9453,7209.7778
266119479,1.9267,3803.7109,7328.7295
266119519,2.1115,3813.4766,8052.1040
266119558,2.0323,3774.4141,7670.7632
266119598,2.2698,3803.7109,8633.8447
266119636,2.3226,3740.2344,8687.2002
266119676,2.3754,3759.7656,8931.0313
266119716,2.4282,3745.1172,9093.9297
266119755,2.4810,3754.8828,9315.8516
266119795,2.3754,3745.1172,8896.2344
266119834,2.3490,3769.5313,8854.7373
266119874,2.2171,3793.9453,8411.4072
266119914,2.0851,3759.7656,7839.4609
266119953,2.0323,3808.5938,7740.2271
266119993,2.0059,3789.0625,7600.5264
266120032,2.0323,3803.7109,7730.3037
266120072,2.0587,3803.7109,7830.6973
266120112,1.9795,3793.9453,7510.1851
266120151,2.0323,3823.2422,7769.9971
266120190,2.2435,3754.8828,8423.9082
266120229,2.2435,3779.2969,8478.6807
266120269,2.2962,3735.3516,8577.2695
266120309,2.4018,3740.2344,8983.3545
266120348,2.4018,3784.1797,9088.9033
266120388,2.2435,3764.6484,8445.8174
266120427,2.1643,3769.5313,8158.2974
266120467,2.1643,3764.6484,8147.7300
266120506,2.0851,3823.2422,7971.8154
266120546,1.9531,3798.8281,7419.5859
266120586,1.9795,3784.1797,7490.8540
266120625,2.0323,3813.4766,7750.1504
266120665,2.1907,3769.5313,8257.7881
266120704,2.2435,3784.1797,8489.6348
266120743,2.2962,3740.2344,8588.4814
266120783,2.4018,3769.5313,9053.7197
266120822,2.3490,3750.0000,8808.8584
266120862,2.3226,3813.4766,8857.3145
266120901,2.2698,3735.3516,8478.6797
266120941,2.2698,3774.4141,8567.3457
266120981,2.2171,3779.2969,8378.9307
266121020,2.2435,3764.6484,8445.8174
266121060,2.0587,3813.4766,7850.8018
266121099,1.9003,3813.4766,7246.8936
266121139,2.0059,3823.2422,7669.0874
266121179,2.0059,3808.5938,7639.7041
266121218,2.0851,3784.1797,7890.3667
266121257,2.1115,3789.0625,8000.5542
266121296,2.1115,3750.0000,7918.0742
266121336,2.2171,3784.1797,8389.7568
266121376,2.2435,3750.0000,8412.9541
266121415,2.2962,3745.1172,8599.6934
266121455,2.4546,3745.1172,9192.7754
266121494,2.3490,3735.3516,8774.4482
266121534,2.2698,3774.4141,8567.3457
266121574,2.2171,3784.1797,8389.7568
266121613,2.2435,3789.0625,8500.5889
266121653,2.1907,3759.7656,8236.3955
266121692,2.1643,3789.0625,8200.5684
266121732,2.0851,3779.2969,7880.1855
266121771,2.0323,3779.2969,7680.6865
266121810,2.0851,3798.8281,7920.9102
266121850,2.0851,3774.4141,7870.0044
266121889,2.1907,3813.4766,8354.0576
266121929,2.0059,3789.0625,7600.5264
266121968,2.1643,3793.9453,8211.1357
266122008,2.1115,3784.1797,7990.2441
266122048,2.1643,3759.7656,8137.1621
266122087,2.1907,3774.4141,8268.4854
266122127,2.1907,3701.1719,8108.0356
266122166,2.2171,3779.2969,8378.9307
266122206,2.2698,3754.8828,8523.0127
266122246,2.2962,3774.4141,8666.9658
266122285,2.2698,3779.2969,8578.4287
266122324,2.2962,3759.7656,8633.3301
266122363,2.3226,3754.8828,8721.2227
266122403,2.2698,3735.3516,8478.6797
266122443,2.2171,3750.0000,8313.9775
266122482,2.1379,3764.6484,8048.3667
266122522,2.1379,3789.0625,8100.5610
266122561,2.1379,3784.1797,8090.1226
266122601,2.0851,3759.7656,7839.4609
266122641,2.1643,3808.5938,8242.8398
266122680,2.1643,3764.6484,8147.7300
266122720,2.1379,3813.4766,8152.7554
266122759,2.1115,3798.8281,8021.1738
266122799,2.1115,3769.5313,7959.3140
266122839,2.0851,3789.0625,7900.5479
266122877,2.2171,3764.6484,8346.4541
266122917,2.1643,3798.8281,8221.7041
266122956,2.1643,3740.2344,8094.8911
266122996,2.2962,3774.4141,8666.9658
266123035,2.3226,3769.5313,8755.2461
266123075,2.2962,3764.6484,8644.5420
266123115,2.3490,3779.2969,8877.6777
266123154,2.2698,3730.4688,8467.5967
266123194,2.2435,3774.4141,8467.7256
266123233,2.2435,3745.1172,8402.0000
266123273,2.1115,3784.1797,7990.2441
266123313,2.1643,3779.2969,8179.4331
266123352,2.1643,3779.2969,8179.4331
266123392,2.1115,3793.9453,8010.8643
266123430,2.0587,3774.4141,7770.3838
266123470,2.2171,3789.0625,8400.5820
266123510,2.1379,3774.4141,8069.2446
266123549,2.1115,3789.0625,8000.5542
266123589,2.1643,3798.8281,8221.7041
266123628,2.1907,3784.1797,8289.8779
266123668,2.2962,3793.9453,8711.8145
266123708,2.2698,3769.5313,8556.2627
266123747,2.1643,3774.4141,8168.8652
266123787,2.3226,3764.6484,8743.9053
266123826,2.2962,3754.8828,8622.1182
266123866,2.2698,3764.6484,8545.1797
266123906,2.1907,3750.0000,8215.0020
266123944,2.1907,3793.9453,8311.2715
266123984,2.1643,3847.6563,8327.3818
266124023,2.1379,3789.0625,8100.5610
266124063,2.1379,3769.5313,8058.8057
266124103,2.1379,3789.0625,8100.5610
266124142,2.0587,3803.7109,7830.6973
266124182,2.0587,3759.7656,7740.2271
266124221,2.1115,3818.3594,8062.4141
266124261,2.1907,3769.5313,8257.7881
266124300,2.2435,3774.4141,8467.7256
266124340,2.2171,3769.5313,8357.2803
266124380,2.2698,3750.0000,8511.9297
266124419,2.2698,3784.1797,8589.5117
266124459,2.2435,3754.8828,8423.9082
266124497,2.2962,3759.7656,8633.3301
266124537,2.2962,3769.5313,8655.7539
266124577,2.2435,3764.6484,8445.8174
266124616,2.2171,3789.0625,8400.5820
266124656,2.1643,3769.5313,8158.2974
266124695,2.1643,3789.0625,8200.5684
266124735,2.3226,3779.2969,8777.9277
266124775,2.1115,3774.4141,7969.6240
266124814,2.0851,3779.2969,7880.1855
266124854,2.0587,3759.7656,7740.2271
266124893,2.2435,3779.2969,8478.6807
266124933,2.1379,3759.7656,8037.9282
266124973,2.1643,3793.9453,8211.1357
266125011,2.1115,3779.2969,7979.9341
266125051,2.1379,3774.4141,8069.2446
266125090,2.1643,3798.8281,8221.7041
266125130,2.1379,3754.8828,8027.4893
266125170,2.2171,3789.0625,8400.5820
266125209,2.1379,3774.4141,8069.2446
266125249,2.2171,3828.1250,8487.1855
266125288,2.2171,3779.2969,8378.9307
266125328,2.1115,3750.0000,7918.0742
266125368,2.1643,3769.5313,8158.2974
266125407,2.1643,3769.5313,8158.2974
266125447,2.1643,3789.0625,8200.5684
266125486,2.1115,3764.6484,7949.0039
266125526,2.2171,3759.7656,8335.6289
266125564,2.2435,3764.6484,8445.8174
266125604,2.2435,3759.7656,8434.8633
266125644,2.2435,3759.7656,8434.8633
266125683,2.3754,3745.1172,8896.2344
266125723,2.2962,3774.4141,8666.9658
266125762,2.2171,3725.5859,8259.8506
266125802,2.1907,3759.7656,8236.3955
266125842,2.1907,3784.1797,8289.8779
266125881,2.0851,3769.5313,7859.8232
266125921,2.1115,3803.7109,8031.4839
266125960,2.0851,3764.6484,7849.6421
266126000,2.0587,3774.4141,7770.3838
266126040,2.0587,3779.2969,7780.4360
266126078,2.1115,3774.4141,7969.6240
266126118,2.0851,3798.8281,7920.9102
266126157,2.0323,3798.8281,7720.3799
266126197,2.0851,3808.5938,7941.2725
266126237,2.0587,3793.9453,7810.5928
266126276,2.2698,3750.0000,8511.9297
266126316,2.1379,3774.4141,8069.2446
266126355,2.2962,3740.2344,8588.4814
266126395,2.4810,3769.5313,9352.1943
266126435,2.4282,3725.5859,9046.5029
266126474,2.4282,3759.7656,9129.4990
266126514,2.4546,3750.0000,9204.7607
266126553,2.4018,3735.3516,8971.6270
266126593,2.3226,3759.7656,8732.5635
266126632,2.1115,3789.0625,8000.5542
266126671,2.1115,3779.2969,7979.9341
266126711,2.0851,3774.4141,7870.0044
266126750,2.0059,3808.5938,7639.7041
266126790,2.1643,3798.8281,8221.7041
266126829,1.9531,3789.0625,7400.5127
266126869,1.9267,3823.2422,7366.3608
266126909,2.0323,3774.4141,7670.7632
266126948,2.1379,3784.1797,8090.1226
266126988,2.2171,3769.5313,8357.2803
266127027,2.2435,3764.6484,8445.8174
266127067,2.2698,3764.6484,8545.1797
266127107,2.4282,3735.3516,9070.2168
