02,0.3??b401&?719,1589.0276
289252355,0.4223,3994.1406,1686.7148
289252395,0.3431,4038.0859,1385.5342
289252433,0.3959,4003.9063,1585.1614
289252473,0.3695,4013.6719,1483.0925
289252513,0.5015,4013.6719,2012.7682
289252552,0.3959,4003.9063,1585.1614
289252592,0.3167,4018.5547,1272.7686
289252631,0.3431,4008.7891,1375.4819
289252671,0.3695,4018.5547,1484.8967
289252711,0.3695,3999.0234,1477.6797
289252750,0.3431,3999.0234,1372.1311
289252790,0.3431,4013.6719,1377.1572
289252829,0.3695,4013.6719,1483.0925
289252869,0.3695,4008.7891,1481.2882
289252909,0.3959,4018.5547,1590.9607
289252947,0.3695,4013.6719,1483.0925
289252987,0.3695,4018.5547,1484.8967
289253026,0.3695,4018.5547,1484.8967
289253066,0.3431,4018.5547,1378.8326
289253106,0.3431,3969.7266,1362.0789
289253145,0.3431,3994.1406,1370.4558
289253185,0.3431,4013.6719,1377.1572
289253224,0.3431,3989.2578,1368.7804
289253264,0.3695,4018.5547,1484.8967
289253304,0.3431,4013.6719,1377.1572
289253343,0.3431,4018.5547,1378.8326
289253383,0.3959,4067.3828,1610.2920
289253422,0.3431,4013.6719,1377.1572
289253462,0.3695,4013.6719,1483.0925
289253500,0.3431,4018.5547,1378.8326
289253540,0.3959,4013.6719,1589.0276
289253580,0.3431,4018.5547,1378.8326
289253619,0.3431,4018.5547,1378.8326
289253659,0.3959,4008.7891,1587.0945
289253698,0.4487,4018.5547,1803.0889
289253738,0.3695,4013.6719,1483.0925
289253778,0.3695,4003.9063,1479.4840
289253817,0.3695,4018.5547,1484.8967
289253857,0.4487,4018.5547,1803.0889
289253896,0.3167,4067.3828,1288.2335
289253936,0.3431,4013.6719,1377.1572
289253976,0.3695,4013.6719,1483.0925
289254014,0.3695,4008.7891,1481.2882
289254054,0.3695,4013.6719,1483.0925
289254093,0.4223,4018.5547,1697.0248
289254133,0.3431,4013.6719,1377.1572
289254173,0.3431,3999.0234,1372.1311
289254212,0.3431,4018.5547,1378.8326
289254252,0.3431,4018.5547,1378.8326
289254291,0.4487,4008.7891,1798.7072
289254331,0.4223,4003.9063,1690.8387
289254371,0.3695,4018.5547,1484.8967
289254410,0.3695,4013.6719,1483.0925
289254450,0.3695,4023.4375,1486.7009
289254489,0.3695,4018.5547,1484.8967
289254529,0.5015,4013.6719,2012.7682
289254568,0.3431,4018.5547,1378.8326
289254607,0.3431,4018.5547,1378.8326
289254647,0.3959,4013.6719,1589.0276
289254686,0.3695,4013.6719,1483.0925
289254726,0.3431,4023.4375,1380.5081
289254765,0.4223,4008.7891,1692.9008
289254805,0.3959,4008.7891,1587.0945
289254845,0.3695,4018.5547,1484.8967
289254884,0.3695,4008.7891,1481.2882
289254924,0.3959,4047.8516,1602.5594
289254963,0.4223,4023.4375,1699.0868
289255003,0.3431,4018.5547,1378.8326
289255043,0.3695,4023.4375,1486.7009
289255081,0.3695,4023.4375,1486.7009
289255121,0.3431,4008.7891,1375.4819
289255160,0.3695,4013.6719,1483.0925
289255200,0.3431,3999.0234,1372.1311
289255240,0.3431,4013.6719,1377.1572
289255279,0.3959,3989.2578,1579.3619
289255319,0.3431,4018.5547,1378.8326
289255358,0.3431,4018.5547,1378.8326
289255398,0.4751,4018.5547,1909.1528
289255438,0.3959,4057.6172,1606.4257
289255477,0.3695,4018.5547,1484.8967
289255517,0.4223,4008.7891,1692.9008
289255556,0.3431,4013.6719,1377.1572
289255596,0.3695,4013.6719,1483.0925
289255635,0.3695,4013.6719,1483.0925
289255674,0.3167,4018.5547,1272.7686
289255714,0.3695,4013.6719,1483.0925
289255753,0.3695,4047.8516,1495.7222
289255793,0.3431,4008.7891,1375.4819
289255833,0.3959,4013.6719,1589.0276
289255872,0.4751,4018.5547,1909.1528
289255912,0.3431,4013.6719,1377.1572
289255951,0.3695,4018.5547,1484.8967
289255991,0.3959,4018.5547,1590.9607
289256030,0.3695,4150.3906,1533.6115
289256070,0.3695,4008.7891,1481.2882
289256110,0.3431,4013.6719,1377.1572
289256148,0.3695,4018.5547,1484.8967
289256188,0.4751,4018.5547,1909.1528
289256227,0.3431,4013.6719,1377.1572
289256267,0.3959,4008.7891,1587.0945
289256307,0.3431,4018.5547,1378.8326
289256346,0.5015,4013.6719,2012.7682
289256386,0.3167,4018.5547,1272.7686
289256425,1.7156,3833.0078,6575.8418
289256465,1.6100,3828.1250,6163.3135
289256505,1.6628,3837.8906,6381.6279
289256544,1.7420,3808.5938,6634.4805
289256584,1.5308,3867.1875,5919.9980
289256623,1.6364,3842.7734,6288.3223
289256663,1.3197,3881.8359,5122.7773
289256702,1.3725,3867.1875,5307.5840
289256741,1.3461,3881.8359,5225.2334
289256781,1.3725,3857.4219,5294.1812
289256820,1.5044,3867.1875,5817.9287
289256860,1.2933,3876.9531,5014.0073
289256900,1.3197,3881.8359,5122.7773
289256939,1.1877,3881.8359,4610.4995
289256979,1.3989,3891.6016,5443.8047
289257018,1.2933,3867.1875,5001.3774
289257058,1.3725,3872.0703,5314.2856
289257098,1.3197,3828.1250,5051.8965
289257137,1.4516,3872.0703,5620.8789
289257177,1.4253,3867.1875,5511.7222
289257216,1.5308,3891.6016,5957.3716
289257255,1.4780,3862.3047,5708.6431
289257294,1.3461,3867.1875,5205.5156
289257334,1.4516,3852.5391,5592.5264
289257374,1.4516,3872.0703,5620.8789
289257413,1.4780,3842.7734,5679.7749
289257453,1.3461,3872.0703,5212.0879
289257492,1.7420,3808.5938,6634.4805
289257532,1.7156,3813.4766,6542.3345
289257572,1.8739,3818.3594,7155.3926
289257611,1.6364,3808.5938,6232.3906
289257651,1.7156,3837.8906,6584.2188
289257690,1.5836,3818.3594,6046.8105
289257730,1.7948,3823.2422,6861.8159
289257769,1.7684,3813.4766,6743.6372
289257808,1.7948,3818.3594,6853.0522
289257848,1.7684,3803.7109,6726.3682
289257887,1.6100,3818.3594,6147.5908
289257927,1.7948,3813.4766,6844.2886
289257967,1.4780,3852.5391,5694.2090
289258006,1.7684,3813.4766,6743.6372
289258046,1.7420,3803.7109,6625.9746
289258085,1.9267,3803.7109,7328.7295
289258125,1.7948,3813.4766,6844.2886
289258165,1.3725,3876.9531,5320.9873
289258204,1.6100,3808.5938,6131.8682
289258244,1.3725,3876.9531,5320.9873
289258283,1.5308,3842.7734,5882.6240
289258322,1.3725,3901.3672,5354.4946
289258362,1.6364,3847.6563,6296.3125
289258401,1.6892,3828.1250,6466.4272
289258441,1.7684,3813.4766,6743.6372
289258480,1.5308,3828.1250,5860.2002
289258520,1.7684,3813.4766,6743.6372
289258559,1.7684,3764.6484,6657.2910
289258599,1.9531,3808.5938,7438.6597
289258639,1.6892,3818.3594,6449.9316
289258678,1.7420,3823.2422,6659.9976
289258718,1.8212,3813.4766,6944.9399
289258757,1.7420,3798.8281,6617.4688
289258797,1.6892,3808.5938,6433.4355
289258836,1.5044,3833.0078,5766.5078
289258875,1.6628,3833.0078,6373.5088
289258915,1.6364,3823.2422,6256.3613
289258954,1.8476,3818.3594,7054.6123
289258994,1.5572,3833.0078,5968.8413
289259034,1.5044,3867.1875,5817.9287
289259073,1.6628,3842.7734,6389.7471
289259113,1.6364,3852.5391,6304.3027
289259152,1.7684,3759.7656,6648.6563
289259192,1.6628,3833.0078,6373.5088
289259232,1.7948,3813.4766,6844.2886
289259271,1.7684,3798.8281,6717.7334
289259311,1.6628,3837.8906,6381.6279
289259350,1.6892,3818.3594,6449.9316
289259389,1.6628,3828.1250,6365.3896
289259429,1.7684,3789.0625,6700.4644
289259468,1.7156,3833.0078,6575.8418
289259508,1.6100,3833.0078,6171.1753
289259547,1.7420,3828.1250,6668.5034
289259587,1.6628,3813.4766,6341.0322
289259627,1.7684,3808.5938,6735.0024
289259666,1.5572,3833.0078,5968.8413
289259706,1.9267,3784.1797,7291.0981
289259745,1.7684,3842.7734,6795.4448
289259785,1.7684,3803.7109,6726.3682
289259824,1.6628,3828.1250,6365.3896
289259864,1.4516,3828.1250,5557.0859
289259904,1.5836,3862.3047,6116.4028
289259942,1.3725,3833.0078,5260.6738
289259982,1.6364,3857.4219,6312.2930
289260021,1.4516,3857.4219,5599.6147
289260061,1.3989,3886.7188,5436.9746
289260101,1.6100,3818.3594,6147.5908
289260140,1.5308,3857.4219,5905.0483
289260180,1.5836,3837.8906,6077.7407
289260219,1.3989,3862.3047,5402.8228
289260259,1.5836,3833.0078,6070.0078
289260299,1.5572,3828.1250,5961.2378
289260338,1.6364,3852.5391,6304.3027
289260378,1.6364,3818.3594,6248.3711
289260417,1.6892,3823.2422,6458.1792
289260456,1.6892,3818.3594,6449.9316
289260496,1.7420,3818.3594,6651.4917
289260535,1.5308,3837.8906,5875.1494
289260575,1.6100,3828.1250,6163.3135
289260614,1.7684,3798.8281,6717.7334
289260654,1.7948,3793.9453,6809.2349
289260694,1.5044,3852.5391,5795.8911
289260733,1.7420,3789.0625,6600.4575
289260773,1.6892,3842.7734,6491.1714
289260812,1.7684,3798.8281,6717.7334
289260852,1.6892,3842.7734,6491.1714
289260892,1.5572,3847.6563,5991.6523
289260931,1.7948,3823.2422,6861.8159
289260971,1.6100,3808.5938,6131.8682
289261009,1.7684,3823.2422,6760.9063
289261049,1.4516,3847.6563,5585.4385
289261088,1.7684,3818.3594,6752.2720
289261128,1.6364,3847.6563,6296.3125
289261168,1.6628,3818.3594,6349.1514
289261207,1.4516,3842.7734,5578.3501
289261247,1.5836,3833.0078,6070.0078
289261286,1.9531,3818.3594,7457.7334
289261326,1.6364,3798.8281,6216.4102
289261366,1.7684,3813.4766,6743.6372
289261405,1.5572,3828.1250,5961.2378
289261445,1.7420,3784.1797,6591.9517
289261484,1.5572,3803.7109,5923.2197
289261523,1.5836,3828.1250,6062.2754
289261563,1.4516,3833.0078,5564.1738
289261602,1.7420,3842.7734,6694.0205
289261642,1.6364,3833.0078,6272.3418
289261681,1.8212,3837.8906,6989.4019
289261721,1.6628,3828.1250,6365.3896
289261761,1.3461,3862.3047,5198.9429
289261800,1.6100,3842.7734,6186.8979
289261840,1.3461,3862.3047,5198.9429
289261879,1.5044,3842.7734,5781.1992
289261919,1.5572,3833.0078,5968.8413
289261959,1.4780,3862.3047,5708.6431
289261998,1.7156,3818.3594,6550.7114
289262038,1.5836,3837.8906,6077.7407
289262076,1.6364,3813.4766,6240.3809
289262116,1.7684,3842.7734,6795.4448
289262156,1.7156,3833.0078,6575.8418
289262195,1.7156,3828.1250,6567.4653
289262235,1.6628,3837.8906,6381.6279
289262274,1.3725,3847.6563,5280.7783
289262314,1.5308,3842.7734,5882.6240
289262353,1.6628,3813.4766,6341.0322
289262393,1.8212,3818.3594,6953.8325
289262433,1.4516,3798.8281,5514.5571
289262472,1.6628,3828.1250,6365.3896
289262512,1.7948,3808.5938,6835.5254
289262551,1.9003,3813.4766,7246.8936
289262590,1.5044,3818.3594,5744.4702
289262630,1.4516,3867.1875,5613.7910
289262669,1.4780,3833.0078,5665.3413
289262709,1.5572,3847.6563,5991.6523
289262748,1.7948,3813.4766,6844.2886
289262788,1.4253,3862.3047,5504.7627
289262828,1.7156,3823.2422,6559.0884
289262867,1.5572,3833.0078,5968.8413
289262907,1.6892,3833.0078,6474.6753
289262946,1.3989,3857.4219,5395.9922
289262986,1.5836,3857.4219,6108.6704
289263026,1.5044,3833.0078,5766.5078
289263065,1.7156,3837.8906,6584.2188
289263105,1.5572,3818.3594,5946.0308
289263143,1.5308,3857.4219,5905.0483
289263183,1.5308,3818.3594,5845.2505
289263223,1.6364,3837.8906,6280.3320
289263262,1.5836,3813.4766,6039.0781
289263302,1.6628,3823.2422,6357.2705
289263341,1.5572,3828.1250,5961.2378
289263381,1.5308,3837.8906,5875.1494
289263421,1.6628,3837.8906,6381.6279
289263460,1.4516,3867.1875,5613.7910
289263500,1.6892,3803.7109,6425.1875
289263539,1.6364,3818.3594,6248.3711
289263579,1.7948,3818.3594,6853.0522
289263618,1.5308,3818.3594,5845.2505
289263657,1.5572,3857.4219,6006.8594
289263697,1.6892,3818.3594,6449.9316
289263736,1.7156,3842.7734,6592.5957
289263776,1.7420,3950.1953,6881.1470
289263815,1.4516,3867.1875,5613.7910
289263855,1.6364,3813.4766,6240.3809
289263895,1.5572,3847.6563,5991.6523
289263934,1.6100,3833.0078,6171.1753
289263974,1.4780,3837.8906,5672.5581
289264013,1.7156,3828.1250,6567.4653
289264053,1.6628,3823.2422,6357.2705
289264093,1.7156,3837.8906,6584.2188
289264132,1.5308,3842.7734,5882.6240
289264172,1.4253,3876.9531,5525.6406
289264210,1.7948,3823.2422,6861.8159
289264250,1.6100,3857.4219,6210.4819
289264290,1.6100,3828.1250,6163.3135
289264329,1.4780,3862.3047,5708.6431
289264369,1.4780,3837.8906,5672.5581
289264408,1.6892,3823.2422,6458.1792
289264448,1.5836,3823.2422,6054.5430
289264488,1.5836,3774.4141,5977.2183
289264527,1.3725,3852.5391,5287.4795
289264567,1.5308,3847.6563,5890.0991
289264606,1.4780,3837.8906,5672.5581
289264646,1.4780,3852.5391,5694.2090
289264686,1.5308,3847.6563,5890.0991
289264724,1.6100,3813.4766,6139.7295
289264764,1.6628,3833.0078,6373.5088
289264803,1.6628,3715.8203,6178.6499
289264843,1.6628,3837.8906,6381.6279
289264882,1.6100,3808.5938,6131.8682
289264922,1.8212,3798.8281,6918.2627
289264962,1.6892,3803.7109,6425.1875
289265001,1.4516,3959.9609,5748.4653
289265041,1.7156,3798.8281,6517.2041
289265080,1.6628,3837.8906,6381.6279
289265120,1.7948,3808.5938,6835.5254
289265160,1.7948,3808.5938,6835.5254
289265199,1.6100,3842.7734,6186.8979
289265239,1.6628,3823.2422,6357.2705
289265277,1.5572,3842.7734,5984.0488
289265317,1.7156,3862.3047,6626.1030
289265357,1.6628,3823.2422,6357.2705
289265396,1.5836,3818.3594,6046.8105
289265436,1.8739,3784.1797,7091.3418
289265475,1.7156,3813.4766,6542.3345
289265515,2.0059,3793.9453,7610.3208
289265555,2.0323,3750.0000,7621.1465
289265594,1.9795,3784.1797,7490.8540
289265634,2.0851,3740.2344,7798.7368
289265673,2.0323,3784.1797,7690.6099
289265713,1.9267,3774.4141,7272.2822
289265753,1.6892,3833.0078,6474.6753
289265792,1.9531,3774.4141,7371.9023
289265831,1.9003,3857.4219,7330.4048
289265870,1.9531,3769.5313,7362.3657
289265910,1.9003,3803.7109,7228.3359
289265950,2.0587,3779.2969,7780.4360
289265989,2.0851,3769.5313,7859.8232
289266029,2.1907,3754.8828,8225.6982
289266068,2.1115,3764.6484,7949.0039
289266108,1.9531,3784.1797,7390.9761
289266147,2.0851,3754.8828,7829.2798
289266187,2.1115,3745.1172,7907.7642
289266227,2.2962,3730.4688,8566.0576
289266266,2.2435,3745.1172,8402.0000
289266306,2.3754,3706.0547,8803.4443
289266344,2.3490,3715.8203,8728.5693
289266384,2.5338,3706.0547,9390.3408
289266424,2.4546,3706.0547,9096.8926
289266463,2.3754,3740.2344,8884.6357
289266503,2.2435,3730.4688,8369.1367
289266542,2.2962,3754.8828,8622.1182
289266582,2.3490,3730.4688,8762.9785
289266622,2.2171,3754.8828,8324.8037
289266661,2.1379,3750.0000,8017.0503
289266701,2.2698,3750.0000,8511.9297
289266740,2.4546,3725.5859,9144.8340
289266780,2.4018,3730.4688,8959.8994
289266820,2.4018,3710.9375,8912.9883
289266859,2.3490,3686.5234,8659.7500
289266898,2.5866,3691.4063,9548.0840
289266937,2.4546,3720.7031,9132.8486
289266977,2.4018,3706.0547,8901.2607
289267017,2.2435,3735.3516,8380.0908
289267056,2.3226,3725.5859,8653.1768
289267096,2.2698,3759.7656,8534.0957
289267135,2.1643,3740.2344,8094.8911
289267175,2.1115,3764.6484,7949.0039
289267215,2.1643,3754.8828,8126.5942
289267254,2.1907,3735.3516,8182.9121
289267294,2.2435,3725.5859,8358.1826
289267333,2.1643,3759.7656,8137.1621
289267373,2.1115,3750.0000,7918.0742
289267411,2.2435,3745.1172,8402.0000
289267451,2.4546,3715.8203,9120.8633
289267491,2.1907,3745.1172,8204.3057
289267530,2.1379,3706.0547,7923.1006
289267570,2.3226,3740.2344,8687.2002
289267609,2.4282,3691.4063,8963.5078
289267649,2.3754,3720.7031,8838.2412
289267689,2.4282,3706.0547,8999.0771
289267728,2.4018,3725.5859,8948.1719
289267768,2.4282,3720.7031,9034.6465
289267807,2.4810,3696.2891,9170.4805
289267847,2.4546,3662.1094,8989.0244
289267887,2.3226,3715.8203,8630.4951
289267926,2.3226,3735.3516,8675.8594
289267965,2.3226,3706.0547,8607.8125
289268004,2.4018,3701.1719,8889.5332
289268044,2.2962,3715.8203,8532.4209
289268084,2.1907,3750.0000,8215.0020
289268123,2.1643,3740.2344,8094.8911
289268163,2.2962,3740.2344,8588.4814
289268202,2.4018,3715.8203,8924.7158
289268242,2.5338,3715.8203,9415.0850
289268282,2.4282,3686.5234,8951.6514
289268321,2.5074,3715.8203,9317.0117
289268361,2.4810,3642.5781,9037.2236
289268400,2.4282,3701.1719,8987.2207
289268440,2.3490,3720.7031,8740.0391
289268480,2.3226,3725.5859,8653.1768
289268518,2.3754,3715.8203,8826.6426
289268558,2.2435,3740.2344,8391.0459
289268597,2.3754,3701.1719,8791.8457
289268637,2.2171,3740.2344,8292.3271
289268676,2.2962,3706.0547,8509.9971
289268716,2.2435,3745.1172,8402.0000
289268756,2.4282,3701.1719,8987.2207
289268795,2.3226,3740.2344,8687.2002
289268835,2.2171,3735.3516,8281.5020
289268874,2.2962,3710.9375,8521.2090
289268914,2.3490,3701.1719,8694.1592
289268954,2.2962,3715.8203,8532.4209
289268993,2.3226,3706.0547,8607.8125
289269032,2.2435,3750.0000,8412.9541
289269071,2.2698,3710.9375,8423.2637
289269111,2.3754,3725.5859,8849.8398
289269151,2.4282,3681.6406,8939.7949
289269190,2.2698,3750.0000,8511.9297
289269230,2.1643,3730.4688,8073.7554
289269269,2.2171,3715.8203,8238.1992
289269309,2.4018,3686.5234,8854.3506
289269349,2.3226,3745.1172,8698.5410
289269388,2.3490,3642.5781,8556.5215
289269428,2.1907,3754.8828,8225.6982
289269467,2.4546,3710.9375,9108.8779
289269507,2.6130,3686.5234,9632.7549
289269547,2.4810,3696.2891,9170.4805
289269585,2.4546,3696.2891,9072.9219
289269625,2.5338,3720.7031,9427.4570
289269664,2.6394,3662.1094,9665.6182
289269704,2.3490,3710.9375,8717.0996
289269744,2.2435,3740.2344,8391.0459
289269783,2.2698,3754.8828,8523.0127
289269823,2.3226,3701.1719,8596.4717
289269862,2.3754,3701.1719,8791.8457
289269902,2.2435,3666.9922,8226.7295
289269941,2.2435,3759.7656,8434.8633
289269981,2.1907,3710.9375,8129.4287
289270021,2.3490,3740.2344,8785.9180
289270060,2.3226,3710.9375,8619.1543
289270099,2.2171,3740.2344,8292.3271
289270138,2.3490,3710.9375,8717.0996
289270178,2.4018,3740.2344,8983.3545
289270218,2.7185,3632.8125,9875.9414
289270257,2.6130,3686.5234,9632.7549
289270297,2.3226,3701.1719,8596.4717
289270336,2.4546,3706.0547,9096.8926
289270376,2.4282,3710.9375,9010.9336
289270416,2.6130,3710.9375,9696.5488
289270455,2.3490,3735.3516,8774.4482
289270495,2.1907,3730.4688,8172.2153
289270534,2.2435,3706.0547,8314.3652
289270574,2.4018,3691.4063,8866.0781
289270614,2.2435,3735.3516,8380.0908
289270652,2.3226,3730.4688,8664.5176
289270692,2.1379,3764.6484,8048.3667
289270731,2.3226,3701.1719,8596.4717
289270771,2.5074,3725.5859,9341.4980
289270811,2.2435,3720.7031,8347.2275
289270850,2.3490,3740.2344,8785.9180
289270890,2.2698,3706.0547,8412.1807
289270929,2.3490,3730.4688,8762.9785
289270969,2.3490,3710.9375,8717.0996
289271009,2.4018,3691.4063,8866.0781
289271048,2.4282,3696.2891,8975.3643
289271088,2.4810,3696.2891,9170.4805
289271127,2.5866,3671.8750,9497.5654
289271166,2.6130,3691.4063,9645.5137
289271205,2.4810,3710.9375,9206.8232
289271245,2.3490,3750.0000,8808.8584
289271285,2.4018,3710.9375,8912.9883
289271324,2.3754,3701.1719,8791.8457
289271364,2.3754,3720.7031,8838.2412
289271403,2.3754,3710.9375,8815.0439
289271443,2.3490,3730.4688,8762.9785
289271483,2.5338,3696.2891,9365.5967
289271522,2.4810,3706.0547,9194.7090
289271562,2.3226,3710.9375,8619.1543
289271601,2.3490,3730.4688,8762.9785
289271641,2.5074,3691.4063,9255.7959
289271681,2.4546,3715.8203,9120.8633
289271719,2.5338,3676.7578,9316.1094
289271759,2.5074,3754.8828,9414.9570
289271798,2.4018,3706.0547,8901.2607
289271838,2.4018,3715.8203,8924.7158
289271878,2.5074,3735.3516,9365.9844
289271917,2.5074,3696.2891,9268.0391
289271957,2.3490,3730.4688,8762.9785
289271996,2.4282,3701.1719,8987.2207
289272036,2.3754,3725.5859,8849.8398
289272076,2.3490,3710.9375,8717.0996
289272115,2.2435,3730.4688,8369.1367
289272155,2.2435,3735.3516,8380.0908
289272194,2.2962,3720.7031,8543.6328
289272233,2.2698,3696.2891,8390.0137
289272273,2.1643,3833.0078,8295.6777
289272312,2.2435,3715.8203,8336.2734
289272352,2.4282,3706.0547,8999.0771
289272391,2.4546,3681.6406,9036.9658
289272431,2.5602,3696.2891,9463.1553
289272470,2.4546,3681.6406,9036.9658
289272510,2.6130,3720.7031,9722.0654
289272550,2.5602,3686.5234,9438.1533
289272589,2.4546,3676.7578,9024.9805
289272629,2.3490,3730.4688,8762.9785
289272668,2.4018,3710.9375,8912.9883
289272708,2.4282,3720.7031,9034.6465
289272748,2.2962,3725.5859,8554.8447
289272786,2.1643,3754.8828,8126.5942
289272826,2.2698,3730.4688,8467.5967
289272865,2.3226,3735.3516,8675.8594
289272905,2.4282,3710.9375,9010.9336
289272945,2.2698,3754.8828,8523.0127
289272984,2.3226,3701.1719,8596.4717
289273024,2.3490,3725.5859,8751.5088
289273063,2.3490,3725.5859,8751.5088
289273103,2.2962,3735.3516,8577.2695
289273143,2.3754,3701.1719,8791.8457
289273182,2.4282,3720.7031,9034.6465
289273222,2.5074,3657.2266,9170.0947
289273261,2.6130,3701.1719,9671.0313
289273300,2.4018,3701.1719,8889.5332
289273340,2.4282,3691.4063,8963.5078
289273379,2.3754,3706.0547,8803.4443
289273419,2.5074,3706.0547,9292.5254
289273458,2.2698,3740.2344,8489.7627
289273498,2.2962,3720.7031,8543.6328
289273538,2.2962,3710.9375,8521.2090
289273577,2.3226,3720.7031,8641.8359
289273617,2.3490,3720.7031,8740.0391
289273656,2.2435,3720.7031,8347.2275
289273696,2.3490,3730.4688,8762.9785
289273735,2.3226,3706.0547,8607.8125
289273775,2.5602,3681.6406,9425.6533
289273815,2.5074,3681.6406,9231.3096
289273853,2.5866,3701.1719,9573.3438
289273893,2.4282,3701.1719,8987.2207
289273932,2.5338,3696.2891,9365.5967
289273972,2.5602,3701.1719,9475.6563
289274012,2.4018,3701.1719,8889.5332
289274051,2.2698,3715.8203,8434.3467
289274091,2.3754,3715.8203,8826.6426
289274130,2.4282,3720.7031,9034.6465
289274170,2.2962,3710.9375,8521.2090
289274210,2.3490,3740.2344,8785.9180
289274249,2.3754,3701.1719,8791.8457
289274289,2.1643,3730.4688,8073.7554
289274328,2.1379,3759.7656,8037.9282
289274368,2.4018,3725.5859,8948.1719
289274407,2.4810,3676.7578,9122.0234
289274446,2.3754,3715.8203,8826.6426
289274486,2.2435,3706.0547,8314.3652
289274525,2.3226,3735.3516,8675.8594
289274565,2.3490,3696.2891,8682.6895
289274605,2.4282,3725.5859,9046.5029
289274644,2.2435,3710.9375,8325.3193
289274684,2.3754,3735.3516,8873.0371
289274723,2.3490,3691.4063,8671.2197
289274763,2.4546,3715.8203,9120.8633
289274803,2.4282,3691.4063,8963.5078
289274842,2.4282,3715.8203,9022.7900
289274882,2.5338,3676.7578,9316.1094
289274920,2.5602,3671.8750,9400.6514
289274960,2.6921,3676.7578,9898.3662
289274999,2.5338,3666.9922,9291.3652
289275039,2.4810,3701.1719,9182.5947
289275079,2.4282,3701.1719,8987.2207
289275118,2.4810,3676.7578,9122.0234
289275158,2.4282,3720.7031,9034.6465
289275197,2.1907,3720.7031,8150.8223
289275237,2.0851,3759.7656,7839.4609
289275277,2.1115,3735.3516,7887.1440
289275316,2.2171,3759.7656,8335.6289
289275356,2.1907,3730.4688,8172.2153
289275395,2.3490,3725.5859,8751.5088
289275435,2.3490,3715.8203,8728.5693
289275474,2.4282,3696.2891,8975.3643
289275513,2.5074,3696.2891,9268.0391
289275553,2.3490,3715.8203,8728.5693
289275592,2.4546,3696.2891,9072.9219
289275632,2.4282,3710.9375,9010.9336
289275672,2.4546,3696.2891,9072.9219
289275711,2.2962,3725.5859,8554.8447
289275751,2.4018,3701.1719,8889.5332
289275790,2.4282,3715.8203,9022.7900
289275830,2.3226,3706.0547,8607.8125
289275870,2.2962,3735.3516,8577.2695
289275909,2.2962,3720.7031,8543.6328
289275949,2.3754,3730.4688,8861.4385
289275987,2.3226,3696.2891,8585.1309
289276027,2.4018,3720.7031,8936.4443
289276067,2.2698,3701.1719,8401.0967
289276106,2.4282,3706.0547,8999.0771
289276146,2.5074,3681.6406,9231.3096
289276185,2.4018,3706.0547,8901.2607
289276225,2.3490,3725.5859,8751.5088
289276264,2.4546,3706.0547,9096.8926
289276304,2.5074,3701.1719,9280.2822
289276344,2.4282,3691.4063,8963.5078
289276383,2.3754,3720.7031,8838.2412
289276423,2.4018,3681.6406,8842.6230
289276462,2.3754,3696.2891,8780.2471
